"chaptername","chaptername href","chapterbody","chapterbody 2","chapterbody 3","chapterbody 4","chapterbody 5","chapterbody 6","chapterbody 7","chapterbody 8","chapterbody 9","chapterbody 10","chapterbody 11","chapterbody 12","chapterbody 13","chapterbody 14","chapterbody 15","chapterbody 16","chapterbody 17","chapterbody 18","chapterbody 19","chapterbody 20","chapterbody 21","chapterbody 22","chapterbody 23","chapterbody 24","chapterbody 25","chapterbody 26","chapterbody 27","chapterbody 28","chapterbody 29","chapterbody 30","chapterbody 31","chapterbody 32","chapterbody 33","chapterbody 34","chapterbody 35","chapterbody 36","chapterbody 37","chapterbody 38","chapterbody 39","chapterbody 40","chapterbody 41","chapterbody 42","chapterbody 43","chapterbody 44","chapterbody 45","chapterbody 46","chapterbody 47","chapterbody 48","chapterbody 49","firstcharacter","chapterbody 50","chapterbody 51","chapterbody 52","chapterbody 53","chapterbody 58","chapterbody 61","chapterbody 62","chapterbody 63"
"009 Concerning Arousal, Distractedness, and Drowsiness","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000309&chapter_id=c009","oncerning the Chinese term “diao ju” [arousal], I myself also think it strange. This term is very difficult to comprehend.","","What is this “diao” [fall, drop]? What is this “ju” [lift, raise]?","Might as well use “stimulation” or “excitement”!","A mind that is too excited causes insomnia and likewise is unable to enter into meditation.","","I remember there was a joke (attachment to excitement):","A patient told a psychiatrist, “All last night, I dreamt that I was playing baseball. I was quite bothered by this.”","The psychiatrist replied, “Ah! That is easy to treat. Which female star do you like most?”","The patient said, “Elizabeth Taylor!”","The psychiatrist said, “Then think of her before you go to sleep!”","The patient said, “That could never be, because I am up next to bat!”","","●","","The remedy for “arousal” (over excitement) is to relax. It is not easy to relax.","Therefore, use the:","“Skeleton Visualization”","“Breath Counting Exercise”","“Contemplation of Impermanence”","Let one’s excitement “settle down” first. It then becomes easy to enter into meditation.","","●","","In regarding to “distractedness”:","Many people say,","“As soon as I sit down, the mind is scattered with thoughts, which never stops. Thoughts about the past, the present, and the future keep coming up. They dash from the east to the west, to the north, and to the south. What can be done?”","I answered, “Use the method of cessation!”","He said, “Still unable to cease [thoughts]!”","I answered, “Recite the mantra ‘pei!’”","In this way, one thought gets one recitation of the mantra “pei”; keep on chanting as many “pei’s” as thoughts occur. Let all the restlessness and distractedness be “pei’d” away! Or, use the “visualization method” to stop these distracting thoughts.","","●","","Some people have told me, “As soon as I sit down to meditate, I start dozing off with sleep quickly following.” It is so true that I [the people] sleep many times a day!","This is “drowsiness.”","The remedy for “drowsiness” is to “tense up,” generally to invigorate the spirit.","Reciting the mantra “hum, hum!” can awaken oneself.","Or, one can get up and practice the Vajra Fist.","Use the right “wisdom.”","Use the right “thoughts.”","Recite the vajra mantras.","","●","","I say:","“Arousal” and “drowsiness” are exact opposites.","“Arousal” is caused by being too tense. Need to relax a bit. “Drowsiness” is caused by being lax. Need to tighten up a bit.","To be able to adjust the two to just right is most wonderful and makes it easier to enter into meditation.","C","","","","","","","",""
"010 Tactile Sensations Arising During Meditation (1)","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000309&chapter_id=c010","y experience was:","","The first time I sat down to meditate, my hands started to move by themselves. The movement was incredible!","The hands and feet moved as if in a dance.","The hands started waving.","The feet began stomping.","What’s even more amazing was that the body also started moving. The hands were forming mudras all by themselves. The legs were taking the seven-star steps.","I unexpectedly performed “spiritual movements.”","Because of this, I visited many well-known religious senior cultivators to consult them about this phenomenon.","One said, “Spiritual medium.”","Another said, “It is a god descending [onto the body].”","A third said, “Spontaneous energy.”","The fourth said, “Wai Tan Kung.”","A fifth said, “Don’t know.”","The sixth said, “Movement of the spirit.”","A seventh said, “It is a possession by the devil.”","The eighth said, “It is the movement of qi.”","","The Venerable Yin Shun was the one who said it was “the movement of qi.” Mr. Li Bingnan, a well-known lay Buddhist, was the one who said it was “possession by the devil.”","Afterwards, I started to research it myself. I discovered that I was in control of the movements. If I wanted it to move, then it would move. If I wanted it to stop, then it would stop.","I wrote a book called “The Study of Spirit Awakening”.","I believe it is the “movement of qi.” If the movement cannot be self- controlled, then the person is a spiritual medium.","If one is too fanatical about the awakening of the spirit or if one is being possessed by demonic spirits, then it will affect one’s livelihood and one will enter a demonic state.","","My personal comprehension is:","Many religions or qigong masters use “spirit awakening” to lead","innocent people into believing in them (as a way of self-promotion).","“Spontaneous energy”, actually happens quite easily. It is one’s own","qi moving within the body. That’s all! Meditators are in control of it and pay no attention to it.","Furthermore, I want to tell everyone:","Practicing qi movement can strengthen the body. If practiced correctly, it can keep the body fit.","Practicing qi movement enables one to be close to supernatural beings and easily become a psychic.","Practice qi has its upsides.","Practice qi has its downsides.","A cultivator must know that.","","●","","I have also experienced:","During meditation, my whole body inexplicably started to itch here and there.","My scalp was itching.","The soles were itching.","I was itching everywhere.","Once in meditation, the skin on my entire body seemed to become allergic. I didn’t know what to do.","However, as soon as I stood up and quit sitting, the itching immediately stopped.","In the beginning, I didn’t know why this was happening.","Someone said, “It’s karma!”","Someone said, “Impure body!”","Someone said, “Killed too many bugs!”","M","I say, “It is the movement of the qi on the skin! Let it be and it will","","","","","resolve itself!”","",""
"011 Tactile Sensations Arising During Meditation (2)","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000309&chapter_id=c011","y experience was:","","In a moment, I got the sensation of lightness as if the body had no weight and had acquired a pair of wings and, like the cloud, rose up into the empty space.","Like a bird, smoke, fog, and a UFO.","Wow! I found myself flying!","I entered into outer space.","It was the complete emptiness that made me feel so unreal. My fear inevitably surged. I quickly opened my eyes which returned everything to normal.","I closed my eyes again and the same thing happened. I was deeply afraid that I would enter the state of nothingness and be unable to return. What should I do?","Unable to return, death!","Isn’t this like “passing away while in a sitting posture”?","I requested guidance from senior cultivators:","Answers were, “Don’t know!”","“Lost in thought!”","“Illusion!”","“Out of body experience!”","“You should have taken this opportunity to go to Maitreya Buddha’s","palace in Tusita Heaven and listen to his Dharma discourse.”","Later on, I came to understand that the weightlessness was caused by the merging of qi with wind. With this knowledge, I was able to move on without fear!","","●","","As mentioned in one of my previous books I once became immovable like a mountain when engrossed in concentration during a meditation.","My body became a mountain.","The mountain peak extended into the clouds.","I was as heavy as a boulder.","I felt like a vajra, indestructible.","This kind of feeling was very stable and joyful, likeness to real meditation.","Two ghosts arrived.","One ghost said, “How come there is a huge mountain here that wasn’t here before? Let’s go around it.”","The other ghost said, “I have an axe. I will hack it and split it!”","The ghost raised the axe and gave it a whack.","Golden light shot out in four directions.","The axe broke!","","However, the mountain was perfectly fine!","The two bitter ghosts angrily took the route to go around the mountain.","On the contrary, I was delighted.","","Afterwards, I realized that it was qi merged with earth that transformed me to become heavy like a mountain.","One must continue the meditation.","","●","","A disciple once came to ask me:","“Every time I meditated, I would become a speck enveloped by darkness, where I would fall into an immeasurably deep, dark hole. In a flash of light, I would fall deeper and deeper as the sound of the wind echoed loudly in my ears.","Fear arose in my heart as I panicked at the thought of entering but being unable to escape. What shall I do?”","I said:","“As far as I know, all tactile sensations that happen during meditation are due to the merging of qi with either earth, water, fire, wind, space, or consciousness. Actually, there is no need to be afraid. However, if fear does not subside, then it is best to temporarily halt meditation to avoid side effects.”","All of this is worth studying.","M","","","","","","","",""
"012 Tactile Sensations Arising During Meditation (3)","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000309&chapter_id=c012","y experience was:","","Once, during meditation, my body felt cold from head to toe as if I was trapped in a world of ice and snow.","I got up to put on more clothes; I still felt cold. I put on a coat; I still felt cold.","Lastly, I wrapped myself in a comforter, but I still felt icy cold. Then, I realized that the coldness was from within and not from outside. Therefore, it didn’t matter what I put on.","I asked senior cultivators and their answers were of the following:","1. “Bewitched”","2. “Offended a spirit”","3. “Weak body”","4. “Lack of positive energy”","5. “Kidney weakness”","6. “Possessed by a ghost”","Later on, I came to realize that this was qi merging with water. It happens to be that an abundance of water forms ice resulting in sensation of coldness.","","On the other hand:","During another meditation session, just the opposite of being cold, I felt the sensation of heat. It was so hot that sweat came down like the rain.","My undergarments were all wet.","I took off all my clothing, but I was still feeling so hot that my head was letting off steam.","The heart was on fire.","This could also count as another kind of “inner fire”!","I felt, at the time, that if I was sitting in the middle of an ice cube, I could melt all the ice around me.","If a kettle with water was placed on my head, I could boil the water. The heat almost suffocated me to death.","Later on, I came to realize that this was the result of qi incorporating with fire.","","Moreover:","The body may feel like tree bark, an astringent-like sensation.","The body may feel smooth like milk: very, very smooth, like it was smeared with a layer of oil, not slippery but smooth.","The body may feel very soft and flexible.","","Or:","The private part may be as hard as a rock for a whole day. I read a segment in a sutra that states:","","“Qi in sync with earth causes heaviness. Qi in sync with wind causes lightness. Qi in sync with water causes coldness. Qi in sync with fire causes heat. Qi in sync with earth causes astringency. Qi in sync with wind causes smoothness. Qi in sync with water causes flexibility. Qi in sync with fire causes rigidity.”","","Also:","“Qi in sync with space causes the feeling of rising and falling. Qi in sync with consciousness produces many more spiritual transformations.”","Especially when in sync with consciousness:","One may become big,","become small,","travel spiritually,","see far and near,","hear far and near,","recall the cause and effect of three lifetimes,","transform into many bodies,","and many more.","","To summarize, in the process of entering samadhi, cultivators will encounter many situations.","Based on my experience, these situations can be good or bad. To understand the underlying reason, one must find an experienced vajra master to point it out.","","M","","","","","","","",""
"013 Pith Instructions for Meditation","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000309&chapter_id=c013","y experience is:","No movement of the body.","No movement of the mouth.","No movement of the mind.","No movement of the body is Seven-featured Vairocana Posture.","No movement of the mouth is not speaking.","No movement of the mind is void of all thoughts.","Another word:","No matters.","No mind.","These simple pith instructions seem easy, but are quite hard to follow, especially the non-emergence of thoughts and no mind.","","My understanding is:","In Vajrayana Buddhism, there is a phrase “sameness of mind and qi.” This phrase is the pith instruction.","Let me truthfully tell all of you:","The mind and body in every one of us is “moving.”","The eyes move -- to see.","The ears move -- to hear.","The nose moves -- to breath.","The tongue moves -- to speak.","The body moves -- to act.","The mind moves -- to think.","Ha! Ha! There is not a thing that isn’t moving.","","Furthermore:","One not only has things move externally, but also internally.","Brain -- functions.","Heart -- beats.","Arteries and veins -- circulates.","Lungs -- inflates and deflates.","Stomach -- digests.","Intestines -- transmits food through.","These are namely the movement of earth, water, fire, and wind.","","Every cell in our body is:","Transforming","Transitioning","Metabolizing","Breathing","Actually, the insides of a human body are all in a cycle of “executing, changing, transmitting,” which makes meditation difficult.","It is also difficult to quietly sit!","The most important pith instruction I would like to transmit here is “no sense of qi movement in the channels.”","","That is:","When the qi is faint, the mind is faint, which leads to the thoughts being faint.","Maybe some people don’t understand the word “faint.”","Here is my answer:","Subtle. Extremely subtle.","This is the state of “primordial chaos.”","M","At this moment, the heavenly wind is silent, and the clouds disappear from the oceans and mountains.","In other words, when in this primordial chaotic state, there is nothing to be found. As a result, not a single thought arises.","Heaven descends to the earth. Sun and moon combine.","This is the cryptic meaning behind “samadhi.”","Only at this time can one truly reach the state of “no thought.” No self, no person, no sentient beings, no lifespan, this is when Buddha- nature reveals itself.","","At this time:","Not a single thought arises."
"014 This is Concentration of the Mind and Abiding Qi","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000309&chapter_id=c014","remember a poem from Zhang Boduan:","","Deluded thoughts, no need to forcibly eliminate.","True Suchness, why need to seek.","It is the original buddha nature.","Confusion and enlightenment are not bound to succession.","Enlightened, in an instant becomes a buddha.","Confused, sink into the cycle of reincarnation for ten thousand kalpas.","If there is single-mindedness to truly cultivate.","Eliminates the sins as countless as grains of sand in the Ganges River.","(The important point is the single-mindedness.)","","Also:","People, I, sentient beings and lifespans.","Discriminate high and low among each other.","The Dharma Bodies’ luminosity shines just the same.","Differentiation is constantly in the mind.","(The important point is no hindrances.)","","Also:","A thought of good or evil is in that moment a deluded thought.","Not caring whether thriving or withering.","Let drift the darkness or brightness, hidden or visible in life.","Naturally fulfill hunger with a meal and thirst with a drink.","A deeply calm mind is often in a peacefully quiet state.","Might as well sing proses everyday as usual.","The water in the autumn pond remains jade and deep.","Fish naturally startled when the wind blows.","(The important point is on the calm mind.)","","I say:","In the chapter before, I emphasized on “qi abiding” as the pith instruction. In this short essay, the most important pith instruction is “concentration of the mind.”","When the qi abides, then the mind can “concentrate.”","The mind easily runs away.","The mind easily scatters.","The mind easily drifts.","The mind easily divides.","The mind easily gets mixed up.","(This is why it is not easy to meditate. Sitting for a longer time would be a waste of time.)","I think:","Cultivate abiding qi first.","Then, cultivate concentration of the mind.","Abiding qi is the breath!","","In Vajrayana Buddhism, the mention of “breath” is as:","One breath = sixteen times breathing in and breathing out.","Six breaths = one fen (of water clock time).","Sixty fens = one ke (of water clock time).","Sixty ke = one day.","I","One fen = twenty seconds (our time).","This is according to the “time wheel algorithm,” which we are not going to discuss now.","From turning “abiding qi” into “concentrated mind” and the qi merging with the mind to become one, this is when one can enter meditation.","Concentrated mind and abiding qi, self-appearance of the Buddha-nature, this is the truth!","We as mankind are deviants by karma.","One ke = twenty minutes (our time).","Most importantly is we use the “breath counting method” to achieve “abiding qi.”","When one enters deep meditation, the Buddha-nature will be self revealed!"
"015 What is True Meditation?","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000309&chapter_id=c015","omeone asked of me, “What is true meditation?”","","I answered, “When the spirit enters a wondrous state and merges with the Tao.”","“Is it what the Buddha said, ‘Greatness is to be one with the Tao’?”","“Exactly.”","“Is there another way to explain ‘being one with the Tao’?”","“It is discovering one’s true mind and seeing one’s true nature. Discovering one’s true mind is to see clearly the ultimate truth. Seeing the true nature is to witness one’s Buddha nature.”","“How do you say it in even simpler language?”","“Natural pureness and perfect wisdom.”","“How does one cultivate this?”","“Abiding qi with a concentrated mind.”","“Is it one-pointedness?”","“According to Mahamudra, one-pointedness is the first step. The second step is simplicity. Third step is of one taste. The fourth step is non-cultivation.”","","“Master Lu, how do you explain these four steps?”","“One-pointedness is no movement of the mind.","Simplicity is no movement of thoughts.","One taste is unification to become one.","Non- cultivation is the Great Perfection.”","","“How do we begin cultivation?”","“Here is a poem that can exemplify:","In the heavens beyond the thirty-three heavens, heavenly beings appear in the white clouds.","Heavenly beings also come from human beings. The only fear is that the human mind is not immovable.”","(What I mean is, one only needs an unwavering will and enduring determination. Constantly concentrate on cultivation, then one will certainly succeed.)","","One asked, “How do you cultivate Vajrayana Buddhism?”","I answered, “Qi, channels, and light drops.”","“We begin with practicing qi, and then?”","“Clear one’s channels.”","“Then what?”","“Cultivate the inner fire, including raising and lowering the light drops.”","“What kind of meditation is inner fire samadhi?”","“Vajravarahi’s inner fire samadhi.”","(This is similar to Taoism’s “fire in the pot.” In meditation, the “fire of the mind” merges as one with the primordial spirit.)","“Afterwards?”","I answered, “Forever and ever enlightened and one’s Buddha nature","reveals itself!”","","","","","","","","","","","","S","","","","","","","",""
"016 Empowerment by the Buddhas of the Ten Directions","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000309&chapter_id=c016","rom my own experience:","After I was enlightened, one time during deep meditation, at the stage of “deep paramita,” the buddhas of the ten directions entirely manifested themselves to give me empowerments. They shouted out:","“Enlightened!”","“Enlightened!”","“Enlightened!”","This is “the supreme perfect enlightenment.” (In the great Vairocana’s ocean of bright light.","My Buddha name is:","“Lotus Light Unhindered Buddha!”","","●","","I say:","“This kind of experience doesn’t come in a snap of the fingers, but achieved by passing through many sequential stages.”","For instance:","The light from light drops ()","Vajra chain () ()","Vajra screen ()","Manifestation of half a buddha’s body ()","Manifestation of a buddha’s entire body ()","One buddha","Buddhas of the ten directions.","Among these, there is also a distinction of “true and false.”","In deep meditation — all true.","In light meditation — only half true.","In a dream — only a few can be trusted.","If it occurred in the daytime, there are two kinds [of outcomes]:","True manifestations.","Hallucinations (mental illness)","","●","","A lot of people encounter visionary and auditory hallucinations. They thought they had seen a buddha and, thus, they become controlled by these illusionary visions and auditory hallucinations. These kinds of phenomena happen quite often.","Usually, it is a deception by ghost spirits or a transformation from one’s own mind.","Meditating without the right view and right mindfulness, one can easily be entrapped within these pitfalls, completely having no concept of the right meditation.","Trapped in a demonic state!","Being checked into the mental hospital.","What a pity!","Became a snack for the devil!","That is why in Zen Buddhism, they say:","Kill the buddha who comes.","Kill the devil who comes.","(Namely, do not attach oneself to whatever one sees. Otherwise, one can easily be led astray.)","Actually, practicing meditation and quiet sitting is originally about not paying any attention to the illusions.","If any attention was paid, one may be mesmerized by the illusions and unable to take control again.","Right view.","Right mindfulness.","Right meditation. (Very important)","","Regarding these three aspects, right view, right mindfulness, and right meditation, it is very important to have the guidance of a vajra master.","F","Someone also has said that it is not necessary to meditate since everything is empty, and it is not necessary to meditate since we are originally a buddha.","If one does not have right view, right mindfulness, and right meditation, then one has not understood the Buddhadharma. On the road of meditation cultivation, one will naturally encounter obstacles. That is why it is so very important to have the guidance of someone who had experienced it all!","","","","(The statement can only be claimed by someone who has reached attainment. For someone who has not reached attainment, they cannot claim so.)","",""
"017 Is Empty Mind Meditation Right?","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000309&chapter_id=c017","remember having seen a written account that went like this:","","During the Ming Dynasty, there was a woodsman in the mountains chopping for wood. He chopped down a big tree that was as high as the sky.","The surprise was that within the center of the tree sat a cultivator in deep meditation. The woodsman realized that the cultivator was still alive, so he asked, “Sir, who are you?”","He answered, “Disciple of the Sixth Patriarch.”","The woodsman said, “The Sixth Patriarch was of the Tang Dynasty. We are now in the Ming Dynasty, which has passed through the Tang Dynasty, Song Dynasty, and Yuan Dynasty. This is really astonishing!”","He wanted to question some more but the cultivator already went back into deep meditation.","","●","","I myself think that:","The meditations similar to this belong to “empty mind meditation.”","This cultivator’s meditation lasted through four dynasties. It was amazing.","Recorded in the book by Senior Monk Hsu Yun: The senior monk was cooking taros.","Outside was snowing.","While the senior monk was sitting beside the fire stove, he accidently entered into deep meditation.","When he came out of the deep meditation, the snow had already stopped.","The hot coal in the fire stove had long been extinguished.","He took a look at the taros in the pot; it had mold already growing on it.","Once the Senior Monk Hsu Yun went into deep meditation, how much time passed by? This was marvelous!","This can also be an example of “empty mind meditation.”","","●","","Someone asked me, “Is empty mind meditation right or not?”","I answered, “I personally have had this experience. I once made an appointment to meet someone in two hours. I then wished to meditate awhile, so I closed the door to my room and drew the curtains to relax into meditation. I became completely oblivious. When I came out of meditation, two days and two nights had passed. But I felt like I had only sat for a little while!”","“These kinds of incidents have happened a lot of times. This state that is completely oblivious can last either a long or short time.”","I say:","Sitting quietly with the mind being empty (meditation) cannot be","categorized as right or wrong.","During the state of empty mind, one enters into a state of primordial chaos.","The universal dharma stream flows into one and one enters it as well.","One’s mind and body disappears.","One and void are merged together and there is no self, no person,","no sentient beings and no lifespan. There is not a thing.","One becomes like a “no mind cultivator.”","Under these conditions, the bright light emits from the ten directions, which can also imperceptibly save sentient beings.","But--","Some of the cultivators of meditation oppose it.","Taoists believe that, in meditation, the fire needs to be ignited in the furnace to form a pellet of elixir, so they’re against “empty mind meditation.”","Some Vajrayana cultivators are also against it because, if all is empty, then it’s non-functional. It will not be useful for cultivators of the inner fire.","","","","","","","","","I","","","","","","","",""
"018 The Meditation of the Four Tantras","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000309&chapter_id=c018","n Vajrayana Buddhism, the Four Tantras are:","Action Tantra","Performance Tantra","Yoga Tantra","Highest Yoga Tantra","I say:","Action Tantra is the level that most emphasizes the ritual procedure of Vajrayana Buddhism. It is comprised mostly of the prayer ritual.","Recitation ritual.","Dharma instrument ritual.","Invocation ritual.","Mandala offering ritual. Etc…","All are about the external appearance of Vajrayana and for attending upon [deities].","","At the Performance Tantra, half of it then becomes meditation cultivation while the other half pertains to prayer rituals.","Actually, the meditation portion is just a small part of it.","Considerable importance is still placed on the rituals.","As we go further, into the Yoga Tantra, importance is placed on the internal meditation more so than the external practices of action yoga.","All practices are through the intrapersonal mind.","External action becomes less.","At the Highest Yoga Tantra,","Action Tantra disappears.","Performance Tantra disappears.","Everything is on the meditation of the inner mind.","Highest Yoga Tantra is comprised solely of meditation of the inner mind.","Therefore, I say:","Action Tantra -- consists of no meditation.","Performance Tantra -- has some meditation.","Yoga Tantra -- consists of half meditation and half Action Tantra. Highest Yoga Tantra consists of all meditation.","","●","","When a cultivator reaches the Highest Yoga Tantra, it is the same as having all things created by the mind.","Food -- offerings.","Clothing -- boundary setting.","Dwelling -- pure land.","Action -- diligence.","Wealth -- giving.","Sex -- meditation.","Fame -- attainment.","Food -- offerings (for bardo deliverance).","Sleep -- bright light","Most people have never thought that “sexual desire” is actually meditation?","","I say, “It’s no mistake!”","When yin merges with yang, it is:","Qi merges with qi.","Channels connect to channels.","Drops merge with drops.","Light shines on light.","I","This is one of the highest levels in meditation. How high is it? It is a kind of high that is unsurpassed, unimaginable by people, and is the Highest Yoga Tantra.","How can mundane people ever understand this kind of meditation?","people.","As far as I can see, in this world, I have achieved it. The others, I do not know.","","Ha! Ha! Ha!","Of course, this kind of meditation cannot be achieved by ordinary","However, many people will fake the achievement, whereas only one or two have truly attained it."
"019 Zhang Boduan’s Deduction","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000309&chapter_id=c019","he Chinese philosopher Laozi said:","“The Tao gives birth to one. One gives birth to two. Two gives birth to three and three gives birth to all.”","Zhang Boduan however believes:","Tao — nothingness","One — qi","Two — yin, yang","Three — third body","From Zhang Boduan’s poems, one can see his deductions:","The Tao, from the nothingness, gave birth to qi.","From this one qi, gave birth to yin and yang.","The coming together of yin yang creates the third body.","The repetition of the third body creates everything else.","","Also:","One arose from the nothingness.","The dual facets then arose from the split of one.","Four manifestations emerged from the division of the two.","The eight trigrams are descendants of the four.","All phenomena once created, transforms.","Good and bad, fortune and misfortune are now distinctly separate.","","Zhang Boduan said:","“One wishes to eliminate one’s sufferings, better to understand the Tao. One wishes to understand the Tao, better to understand one’s true mind. Therefore, the mind is the body of Tao. What is Tao. It is of the mind. If one can examine one’s mind and observe one’s nature, a pure and complete nature thus appears. Without effort, it naturally succeeds. Without outside forces, immediately reaching the other shore. If this mind is not as clear as a mirror, the spirit not as clean and bright, how can all phenomena quickly disappear? Not even bothered by a speck of dust, mastery of the mind, guaranteed to reach the state of no-birth. For the cultivators who have awakened the mind and understood the Tao, the physical body and the outside environment cannot disturb their true nature.”","In this paragraph, it includes:","Awaken the mind","The true Buddha-nature appears","Meditation — not influenced by the outside world.","Concentration — non-chaotic mind","","Zhang Boduan said:","“Effortlessly reaching the other shore.”","“Understand the original nature of true suchness.”","“[Wisdom] immediately exceeding non-leakage is the enlightened man.”","This is the experience from the meditation of Zhang Boduan (Purple Yang Enlightened Man).","","Zhang Boduan also said:","“Being unconditioned is the body of Taoism.”","“Being conditioned is the root of Taoism cultivation.”","","I say:","“Being unconditioned is Buddha-nature. Being conditioned is Zen meditation. To return to the unconditioned state, start from Zen meditation.”","I myself believe that, although this is Taoism, it is associated with the meditation in Buddhism.","","Confucius even said:","“The Great Tao teaches enhancing one’s luminous virtue, becoming a new person who has discarded the bad, and resting in the highest excellence.”","This is the preparatory practice. (Cultivate virtues)","","Also:","After knowing when to stop, then comes stability; tranquility comes after stability; peace comes after tranquility; contemplation comes after peace; attainment comes after contemplation. (The method of cultivating Zen)","T","","The meditation cultivation methods of Taoism and Vajrayana Buddhism are, for the most part, similar. Only in the cultivation rituals is there a little bit of a difference.","Taoism — the current acquired state returning to the original state. Vajrayana Buddhism — the child light returning to the mother light.","","","Let me tell all of you:","In terms of their theories, it is the same!","Purple Yang Enlightened Man, Zhang Boduan, is worth referring to."
"020 The Mind for Meditation","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000309&chapter_id=c020","myself feel that there are three main points to learning Buddhism:","","1. Mind to renunciate.","2. Mind to generate bodhicitta.","3. Right view of the middle way.","Among these, the practitioners’ mind is especially important. Let us first talk about this “renunciation”!","For ordinary people, if they don’t even have a mind to renunciate, it is not worth talking about cultivation, let alone practicing meditation.","These are some common problems for most people:","1. Making a living","2. Too many mundane tasks","3. Time constraint","4. Too busy","5. Providing for oneself and others’ livelihood","6. Study, career, family, work, socializing, human affairs, desires, and etc…","","How can they ever succeed in meditation and entering samadhi? Therefore, in order to meditate, one must first have a mind to renunciate.","A. One must believe in cause and effect and reincarnation and becomes liberated through meditation.","B. Believes in an afterlife and that one is going to a better place, such as heaven and Buddhaland or becoming a buddha. This requires spiritual elevation.","C. Becoming ordained would be best. However, if one is unable to become ordained, at least reduce some of the mundane tasks so as to be able to have some time to cultivate meditation.","D. One must find a vajra master to teach one the proper meditation methods. Don’t go at it blindly.","E. In this busy life, find some time to cultivate, at least once a day.","F. It is best to have a designated room for meditation.","G. Provisions.","H. Easily accessible food and water.","I. Cultivation room has to have ground qi.","J. Has to have a human guardian, a heavenly guardian, and a vajra protector.","…","","I feel more importantly is:","1. One must understand the Buddhadharma. Buddhadharma is the only way and the unsurpassed dharma to enable one to achieve liberation.","2. One must purify oneself. Perform more virtuous deeds. In this way, one will avoid the evil attacks and at the same time obtain the support of kind gods.","3. One must have provisions.","4. One must be instructed and guided by one’s root guru.","5. One has an auspicious place and a good environment.","6. One has virtuous friends.","(Money, companion, dharma, location.)","","●","","When the Buddha was in this world, he wanted to save a man, who was in the construction business.","The first time he approached him, the man said, “I can’t. I am too busy.”","Then again at the second time, he said, “I can’t. Wait until I finish this building.”","Then the third time, he said, “I can’t. I have another project. Wait until I finish being busy.”","Again, for the fourth time, he said, “I can’t. This is a big project.”","The fifth time, it was too late, because the man had fallen on the construction site and died!","The Buddha sighed and sadly walked away.","I say:","Very few people in this world have a mind to renunciate. Most people are busy with mundane tasks. This is why propagating the dharma is so important. This is also my motivation for writing books.","","I","","","","","","","",""
"021 Planning Your Life","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000309&chapter_id=c021","frequently think:","To reincarnate as a human is very lucky. The life in the lower three realms has too much suffering to cultivate. The life in the heaven realms has too many enjoyments to cultivate. Only in the human realm can one diligently cultivate.","A human’s time in this world is short, only about 100 years.","Time easily passes by.","Busy studying in youth.","Busy in career during middle age.","Busy in family life after marriage.","Busy in children’s education after having children.","Busy taking care of one’s health during old age.","And then:","Unable to move!","Died!","(This is roughly a human’s life. How can we escape karma with this kind of life?)","","Therefore:","You must, in this short life, awaken quickly in order to cultivate meditation, jump out of the six realms of reincarnation, and reach the four holy realms.","1. Buddha","2. Bodhisattva","3. Pratyekabuddha","4. Arhat","(This is the ultimate practice.)","We cannot be like ordinary people who go through life letting karma dictate.","","●","","My simplified summary of these saints’ doctrines are as follows:","Buddha -- tranquility","Laozi -- being unconditioned","Confucius -- loyalty and forgiveness","Zhuangzi -- being liberated","Mengzi -- cultivating qi","I am a person who does not particularly have any prejudices on these views. Don’t belittle these simple doctrines. They are all of essence.","As to tranquility, it is to reach the “original nature.”","As to being unconditioned, it is to reach the “primordial chaotic state.”","As to loyalty and forgiveness, it is to be “completely unhindered.”","As to being liberated, it is to be able to reach “enlightenment.”","As to cultivating qi, it is to reach “equanimity.”","There are many schools of teaching, they are all one.","No matter which school of teaching or method of cultivation, the most important method is:","To meditate and enter samadhi!","","●","","It goes without saying how important cultivation is. I continuously propagate the dharma through writing books to widely advise all sentient beings:","I cannot heartlessly forsake anyone,","to let them forever suffer in the six realms of reincarnation.","I mercifully gaze upon sentient beings.","Pity was all that’s left.","One by one, I tearfully and earnestly advise.","I","This path of deliverance is long.","Dharma","Will guide you!","One must keep one’s mind to be forever in peace.","","Buddha","Sangha","Don’t get lost in the ocean of karma! Don’t blindly drift along with the crowd! Don’t distort the truth!"
