"chaptername","chaptername href","chapterbody","chapterbody 2","chapterbody 3","chapterbody 4","chapterbody 5","chapterbody 6","chapterbody 7","chapterbody 8","chapterbody 9","chapterbody 10","chapterbody 11","chapterbody 12","chapterbody 13","chapterbody 14","chapterbody 15","chapterbody 16","chapterbody 17","chapterbody 18","chapterbody 19","chapterbody 20","chapterbody 21","chapterbody 22","chapterbody 23","chapterbody 24","chapterbody 25","chapterbody 26","chapterbody 27","chapterbody 28","chapterbody 29","chapterbody 30","chapterbody 31","chapterbody 32","chapterbody 33","chapterbody 34","chapterbody 35","chapterbody 36","chapterbody 37","chapterbody 38","chapterbody 39","chapterbody 40","chapterbody 41","chapterbody 42","chapterbody 43","chapterbody 44","chapterbody 45","chapterbody 46","chapterbody 47","chapterbody 48","chapterbody 49","chapterbody 50","chapterbody 51","chapterbody 52","chapterbody 53","chapterbody 54","firstcharacter","chapterbody 55","chapterbody 56","chapterbody 57","chapterbody 58","chapterbody 59","chapterbody 60","chapterbody 61","chapterbody 62","chapterbody 63","chapterbody 64","chapterbody 65","chapterbody 66","chapterbody 67","chapterbody 68","chapterbody 69","chapterbody 70","chapterbody 71","chapterbody 74","chapterbody 75"
"009 The Same Hand","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000044&chapter_id=c009","t the first dharma ceremony after my return to Taiwan on November 22, 2014, a student captured two light photographs.","","In one photograph, I am holding a vajra bell facing upward. From the opening of the bell, a beautiful beam of red light radiates. In the other photograph, I am holding a mudra with the right index finger in a vertical position. From the tip of the index finger a white circular light with a touch of red and gold is emitted. This light even has its own halo, which is quite remarkable.","","The photographs were passed around, and many people found them rare and inconceivable.","","Someone asked: “Are these real?”","","My reply: “That is my hand. It is of course real.”","","That person asked: “What I meant was, are the lights real?”","","My reply: “My hands are of course real. As for the lights, please ask the lights, okay?”","","That person was speechless.","","Let me tell everyone:","","This is the same hand I hold chopsticks with when I eat.","This is the same hand I hold brushes with when I paint.","This is the same hand I hold toilet paper with when I clean my butt.","This is the same hand I stretch out to give everyone mo-ding.","When this hand of mine emits light, it is still my hand!","","I am someone who has attained mingxin jianxing (understanding the nature of mind and recognizing the Buddha-essence), and it is not strange at all that my palms emit light.","","Around my head is a halo.","Behind my back, a light shines.","My palms give off light.","Lotus lights are under my feet.","Light emanates from every pore of my body.","When I consecrate a Buddhist statue, the statue will emit light.","When I hold a vajra bell, the vajra bell will definitely emit light.","","All tantrikas who attain great achievements in the Great Perfection","Dharma will ultimately transform into rainbow light and ascend into","space.","In my earlier books, I often wrote about the three lights on my","body:","Buddha light.","Spiritual light.","White light.","I have had the following conversation with myself –","","“When you rang the vajra bell, did you know the vajra bell radiated light?”","","My reply: “I did not know.”","","“When you extended your index finger, did you know the index finger was emitting light?”","","My reply: “I did not know.”","“When the student took those pictures, did you know?”","My reply: “I did not know.”","“If you did not know any of those, what do you know?”","A","","","","My reply: “I know of not knowing.”","","“What is the esoteric meaning of this?”","","","My reply: “The esoteric meaning of emitting light!”","","●","My reply: “Ziran (at ease, natural and free from affectation).”","I added: “Whatever task I am undertaking my mind is very focused.”","“Does the emitting of light have any esoteric meaning?”","If the Buddha’s enlightenment is the hilltop, wisdom is just a path leading to the hilltop, and so is compassion.","","","Sheng-yen Lu",""
"010 Skillful Means","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000044&chapter_id=c010","student, an analytical thinker, once said to me: “Grand Master Lu! I know now the reason behind your writing every day. It is a skillful means to guide sentient beings to the road that leads to enlightenment.”","","I nodded.","Sheng-yen Lu","He also said: “The contents of your books focus on wisdom and compassion. Although publications such as Remembrance of the Moon River, Intimate Talk with Moon, and The Dreamland Diary seem to describe emotions, they are still inherently about wisdom and compassion. Am I right in saying so?”","","I again nodded.","","He said finally: “I understand that wisdom and compassion are of utmost importance. I don’t think one can attain enlightenment without either. Wouldn’t you agree?”","","I said: “Please listen very carefully. Wisdom and compassion are still skillful means. Both are methods to access enlightenment.”","","He asked: “Is Grand Master Lu saying that wisdom is not enlightenment, and neither is compassion?”","","I replied: “If the Buddha’s enlightenment is the hilltop, wisdom is just a path leading to the hilltop, and so is compassion.”","","“So what is the hilltop?”","","I replied: “The hilltop is the hilltop!”","","“Can you reveal a little bit of the enlightenment experience?”","","I gave him the following analogies:","","A cloudless sunny sky.","Inside the Sun Cake there is no sun.","Inside the Moon Cake there is no moon.","Inside the Wife Cake (lao po bing) there is no wife.","A riftless stupa.","A black barrel.","Moon in the water.","Flower in the mirror.","Etc.","","“I don’t understand!”","","I replied: “There is nothing to understand.”","","“Can it be seen?”","","“It cannot be seen!”","","“Can it be heard?”","","“It cannot be heard!”","","“Can it be touched?”","","“It cannot be touched!”","","“Can it be felt?”","“There is nothing to be felt!”","“If one cannot see, hear, touch, or feel, then how does one know if one has attained enlightenment?”","I replied: “In the awareness that there is no seeing, hearing, touching, or knowing, one is enlightened!”","A","","","","“I still don’t understand!”","","Thus I said: “Did you sleep?”","","","“Did you have any dreams last night?”","","“I did.”","“I did sleep.”","“Did you wake up?”","“I did wake up.”","“Was the dream real?”","","","“When I woke up, I realized everything in the dream had been unreal.”","I said:“A little awakening!”"
"011 The Train Analogy","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000044&chapter_id=c011","often sing this song to Ping Er, a three-year-old girl living next to the Ling Shen Ching Tze Temple in Redmond.","“When will this ailment be cured?”","Here goes the song:","People are confused and mistake the events in this life to be in continual existence.","Line the little stools into a row!","Oh little children, hop aboard, hop aboard!","Our train is about to start.","I am the train conductor.","Chooga, chooga, chooga.","Toot, toot, toot…","","The train is the True Buddha Train moving towards the Buddha Pure Land.","The passengers are students who have taken refuge.","The conductor is Living Buddha Lian-sheng Sheng-yen Lu.","I am the conductor who will transport students with affinity to the Maha Twin Lotus Ponds.","","Nagarjuna Bodhisattva has written this verse:","","By the principle of dependent origination,","Arising and disintegration are abandoned.","The Mighty One who proclaims this,","I prostrate and pay homage.","Sheng-yen Lu","Nagarjuna Bodhisattva tells us that Shakyamuni Buddha taught the principle of dependent origination, a method to abandon existence and non-existence. To such a mighty saint, we have to prostrate in reverence!","","Here is another verse from Nagarjuna:","","I take refuge in the One who extinguishes the world in the three times,","By teaching the true doctrine of dependent origination;","If one understands that all dharmas arise in dependence upon other","dharmas,","One abandons desire in one’s actions and activities.","●","I say:","","“If one recognizes all dependently arisen entities have no inherent nature; that is liberation!”","","Thus another analogy:","","I am not the conductor.","There is no True Buddha Train.","There are also no passengers.","(This is the true nature of ultimate reality.)","","I, one who comprehends the nature of mind and recognizes","Buddha-essence, have already understood the “fundamental true condition.”","Chooga, chooga, chooga.","Impermanence","Non-self","Emptiness","Suffering","True nature refers to:","All conditioned things being in a constant state of flux.","Nirvana is quiescence.","I","","All phenomena are without a permanent self.","This is the true condition of the human world.","","I once asked a medical doctor:","","The doctor replied: “At the time of death, it will be gone! After death, all illnesses will be gone!”","When I heard that, I had an awakening!","After reading this, will you have an awakening?","Here I sing:","“You get it. But, have others?”","","","","Oh little children, hop aboard, hop aboard!","","Line the little stools into a row!","I am the train conductor.","Toot, toot, toot…"
"012 Magic Plate and the Ouija Board","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000044&chapter_id=c012","fter watching the American horror movie Ouija, a game I once played called Divination Plate (Diexian) flashed through my mind.","","Divination had once been very popular.","","In this game, a plate is placed on top of a piece of paper, an [Article of One Thousand Chinese Characters]. Three players would each place a hand lightly on the plate. Ask any question and the Divination plate would move on its own to give an answer.","","The American Ouija board is very similar. The Ouija board is marked with numbers and letters of the alphabet. Participants place their fingers on the movable indicator which moves from letter to letter to spell out words.","","At the True Buddha Quarter in the United States, I have an Ouija board which was given to me by Dharma Sister Qian as a souvenir. But I have not played it.","","What I would like to ask everyone is this:","","Are you pushing the indicator?","Am I pushing the indicator?","Is he pushing the indicator?","","The answer is none of the above. There are indeed “spirit” media pushing the indicators.","","The answers provided by the board are only sometimes right. This may be because the spirit coming to give guidance is not a high but rather low level being. Hence, the game is not straight-forward and can be quite complicated.","","If one becomes too attached to the game, one may have trouble pulling away from it.","","It is possible for accidents to happen to players of the Ouija and","Magic Plate, thus leading to the phenomenon of spirit possession or psychosis.","","I say:","","During the two hours you are in a cinema, your eyes and mind are fully invested in the movie, and your thoughts rise and fall with the story line.","","When you integrate yourself into the plot of a horror movie, you become terrified and horrified.","","Two hours later when the movie is over, you stand up and seem to return to reality.","","When you think about the movie –","","Ha!","That is what it was!","Just a movie! You make a clean break from it and never think about it again.","That is how we watch movies most of the time. After the film, you let go!","","But –","","Have you thought about this? Everyone dwells on each day of their lives, yesterday, today, tomorrow… in a continuum.","Last year, this year, next year…","The past, the present, the future…","","People are confused and mistake the events in this life to be in continual existence.","","“Can you cut them off?”","","“No.”","“Why not?”","“Because we do not think life is just a movie!”","Here let me tell everyone honestly:","A","","","","“Cut everything away!”","","“Live only in the moment, if there is still a moment!”","","","“What are you, at this moment?”","","My reply: “Let it go!”","“The past - forgotten!”","“The present – forgotten!”","“The future – not yet here!”","●","","","As long as all obstacles are removed, revealing the Buddha-essence, all living beings are one hundred percent buddhas.","Sheng-yen Lu"
"013 I See Buddha in Every Being","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000044&chapter_id=c013","have great admiration for the Catholic nun the Blessed Mother Teresa of India.","","Her dedication and perseverance to serving the poor really touches my heart.","Shakyamuni Buddha had migraines, bone spurs, and gastrointestinal problems.","“I see God in every human being” is a famous quote of hers.","","I have heard that:","","She brought the sick and homeless to her congregation.","She bathed them.","Personally fed them.","Cleansed their sores with medicinal washes.","Attended to them as if they were her own parents.","","In fact, Mother Teresa served all people as if they were God.","(The Vatican has beatified her, bestowing her the title “Blessed.”)","","In Buddhism –","","We view older women as mothers.","We view younger women as sisters.","This is to arrest “licentiousness.”","Sheng-yen Lu","During Vajrayana practice, we visualize:","","Paternal relatives on our right side.","Maternal relatives on our left side.","Behind us benefactors, teachers, and elders.","In front of us all beings in the six realms of transmigration.","(We practice Vajrayana sadhanas with all beings encircled around us so we can all attain Buddhahood together.)","","Furthermore:","●","I see Buddha in every living being.","","In this way, I am carrying the words of Shakyamuni Buddha to action.","","The Buddha has said:","","“All sentient beings without exception have Buddha-essence.”","Some Buddhists regard all sentient beings as their fathers and mothers from past lives”.","","In Buddhism:","","“We have parents in this life, and we also have parents from countless past lives. These countless rebirths owe their existence to the infinite kindness of our parents. When we recognize this, we should remember to repay their kindness and treat everyone kindly and with equanimity”.","","“What kind of ideas are these of yours?”","The most important point is this:","I replied: “Immeasurable benevolence, immeasurable compassion, immeasurable joy, and immeasurable equanimity. Impartiality and Mirror-like Awareness.”","All sentient beings have Buddha-essence.","As long as all obstacles are removed, revealing the Buddhaessence, all living beings are one hundred percent buddhas.","I said to myself:","“People in the world can be so repulsive. Yet it takes all kinds of people to make this world. Some are like rotten wood that cannot be carved, some are ignoble and have no sense of shame, some are rebellious, some are victimizers, some are murderers and arsonists, some are ferocious brutes, some are criminals, some are robbers and thieves, and some are the devil incarnate. Can you really see Buddha in all these people?”","I replied: “I can!”","I","","","","“What if you try to save them and end up being killed instead?”","","I replied: “The Buddha had in a previous life sacrificed his own life to feed a tiger!”","","","I replied: “I will come again in the next life!”","","I replied: “I am awakened!”","“What if they still do not show any understanding and sympathy?”","I replied: “I have no qualms about sacrificing life for the dharma!”","“What if people still ridicule you after your sacrifice?”","","","“What if you are victimized again in the next life?”","",""
"014 What to Do with the Cough?","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000044&chapter_id=c014","returned to Taiwan on November 15, 2014. Two days later, I woke up and my voice was hoarse.","","I did not mind it at first. Then I started coughing, and this turned into more and more serious and frequent coughing fits. It was such a severe, dry cough that I started heaving slightly each time.","","I visited an ear, nose, and throat specialist and took medication, lozenges, and cough syrup. I finished all the medicine, but there was no improvement.","","During the first week’s dharma ceremony, I would cough before going up to the dais to give a dharma discourse. During the discourse, however, I did not cough at all. After the discourse, the coughing resumed.","","The same situation happened the second week. I started coughing prior ascending to the teaching dais. There was no coughing during the talk, but it resumed right afterwards.","","During the Buddhist ritual “Yoga for Distributing Food to Flaming-Mouth Hungry Ghosts” at the Nectar Vihara (Ganlu Jingshe in Taichung), I did not cough at all when giving the dharma discourse. Other times, I was coughing.","","It was strange! The coughing only stopped when I gave dharma discourses.","","After announcing my cough in public –","","Students started sending me medicine:","Cough syrups.","Herbs.","Lozenges.","Cough powders.","Effervescent tablets.","Western medicines.","Folk remedies…","","With the amount of drugs accumulating in my home, I could open a pharmacy. I picked over the drugs and took some of them. To this date, as I am writing this article, I am still coughing.","","I threatened the Golden Mother of Jade Pond: “If this cough does not stop, I will convert to Christianity!”","","I also said to her: “If I keep coughing, I will become Muslim!”","","But, the coughing continued!","","Suddenly, I was confused! What to do? What to do? What to do?","What to do? What to do?","","Many physician students of mine tried to help me.","","I asked myself what to do?","","I replied: “I don’t know!”","","“Will you blame and complain indiscriminately here and there?”","","I replied: “I will not!”","","“Did someone put black magic or Gu poison on you?”","","I replied: “Ignore it!”","","“Could it be the poor air quality in Taiwan?”","I replied: “Poor air quality is a fact. But no one else in the group that came back has a cough except me. So, I cannot blame the air.”","“You use the throat to speak the dharma and this is creating such an inconvenience for you. Why not find a quick cure?”","I replied: “Let nature run its course!”","I","","","","“Does a great saint, an enlightened guru, and a buddha who has realized the Buddha-essence still have to undergo physical torture?”","","I replied: “Shakyamuni Buddha had migraines, bone spurs, and gastrointestinal problems.”","","","The powers of buddhas are unlimited, but Buddhists have limits.","","Sheng-yen Lu","“When will you be well?”","I replied: “When I am well! Haha!”","●","","","","",""
"015 I Am a Surgeon","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000044&chapter_id=c015","ime: December 12, 2014, evening.","Place: The Sun Moon Lake Restaurant in Taichung.","Character: Indonesian students.","“What is the matter?”","An Indonesian female student in the group paints Buddhist thangkas including those of Vajravarahi, Vajrayogini, and Vajrasattva. Her works are remarkably fine and true to life.","“When sentient beings are ill, I am ill.”","She gave a Vajravarahi thangka to Master Lianhong of Surabaya.","She gave a Vajrayogini thangka to me.","I was very happy.","●","Her English name is Elizabeth.","My practice has enabled me to control my desires and allowed me to transcend them freely.","She gave this account:","Sheng-yen Lu","She was diagnosed with a three centimeter cancerous tumor in her brain. The doctors wanted to surgically excise it.","","She flew to Seattle to seek blessings from me and I told her that I would give her a dream guidance.","","She then had a dream where she saw Grand Master Lu wearing scrubs and using a surgical knife to operate on her.","","When she returned home and went to the hospital for another examination – what a shock! The cancerous tumor was nowhere to be found.","","“The doctors said it was impossible! But it had indeed disappeared!”","","“The doctors said this was just too inconceivable!”","","She was very happy.","","I chatted with myself:","","“Are you a surgeon?”","","“No.”","","“Can you perform operations on others?”","","“I cannot.”","","“The surgery that you performed in this woman’s dream, what is it all about?”","","“It was a dream.”","","“If it were just a dream, how did the tumor disappear?”","","“It was serendipity!”","","“Some dreams coincide with reality while others do not. What is this all about?”","","“It is still fate and affinity.”","","“In dreams you become a surgeon. When those with cancerous tumors beseech you for help and you operate on them, they are healed. Wouldn’t everyone come to you for help?”","“Yes.”","“Will everyone who beseeches you be healed?”","“Not necessarily.”","T","","","","“Some will get well while some will not. Isn’t this favoritism?”","","I replied: “It really depends on fate and affinity!”","","","“The powers of buddhas are unlimited, but Buddhists have limits.”","","“Aren’t you a buddha who has understood the nature of mind and recognized the Buddha-essence?”","“Give us an example!”","I replied: “As an example, my hand can lift an object up to twenty kilograms. If something is within this range, I can cure it. When it weighs more than twenty kilograms, I cannot.”","“Isn’t it true that the powers of buddhas are unlimited?”","“Yes. But my students have limits!”","","","“Is this affinity?”","“Faith is also a factor!”"
"016 Female Belly Dancers","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000044&chapter_id=c016","ianghua Lei Tsang Temple (Taichung) organized an evening party. The first program of the evening was a “belly dance.” Whoa, belly dancers!","I pictured women wearing gorgeous chiffon dresses, their navels exposed, undulating their hips and abdomens to the sound of the music.","","The party started –","","Seven female belly dancers appeared. They were not our students but brought in from the outside. Some were plump and some were slender, and they wore colorful and dazzling costumes.","","But the dance was a little different from what I had imagined:","","The ladies all wore an extra piece of black tulle, covering their bellies!","","I asked: “Why add the black tulle?”","","Someone next to me answered: “Because Grand Master Lu is a monk.”","","I said: “I am also a man.”","","That person uttered “ha ha” and then hemmed and hawed!","","I chatted with myself: “Should monks watch belly dancing? Look at nude paintings? Furthermore, should monks watch a striptease? Can monks…?”","","“What is good?”","","“What is bad?”","","I said: “Most people can watch belly dancing, but, monks cannot.”","","“It is very difficult to draw boundaries between good and bad.”","","When others watch such a dance, it is considered a good thing.","But if monks watch, it is considered a bad thing.","","Therefore, the women had to wear black tulle over their bellies, turning a belly dance into a non-belly dance!","","There is a joke:","","A lumberjack went into the mountains to find firewood.","","Deep in the mountains he met a monk meditating.","","The lumberjack asked: “Do you still have improper thoughts?”","","The monk replied: “Three times a month.”","","The lumberjack said: “What a profound achievement. You are indeed a skillful meditator who commands our admiration!”","","The monk then said: “Three times a month, but each time for ten days.”","","Ha ha ha!","","I asked myself: “Would you become aroused watching belly dancing?”","I replied: “No!” (What is so nice about the belly?)","“Would you become aroused watching a striptease?”","I replied: “No.” (There is no passion or feeling involved.)","X","","","","“Would you become aroused looking at a nude sketch?”","","I replied: “No.” (They are just paper figures.)","","","I replied: “My practice has enabled me to control my desires and allowed me to transcend them freely.”","","I also said: “I know I am empty, you are empty, and they are empty.”","“What about other people?”","“I don’t know about others!”","“Why are you not aroused?”","I can watch “belly dancing”!","","","●","Love and hate are the same thing. Therefore, don’t be persistent and stubborn about them."
"017 I Sing a Song","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000044&chapter_id=c017","love the melody of “Moonlight over the Lotus Pond.” After listening to it several times, I sing a verse:","","I am like a little fish in your lotus pond,","Just so I can watch over that bright white moon with you.","Swimming throughout the four seasons,","The lotuses are still fragrant,","Waiting as if you are in the midst of the water.","","This is a love song:","Very beautiful.","Very sweet.","But filled with “illusions.”","","Because:","","There will not only be one fish in the lotus pond.","The moon is not necessarily very bright and white.","Seasons change.","Lotuses in bloom wither. Will they still be fragrant?","How long will you wait?","What if you wait in vain?","I used to love the lyrics of the song “Holding Hands”:","I love your love,","And dream your dreams,","So I am sad for your sadness,","And happy for your happiness.","I walk your walk,","And suffer your suffering,","So I am joyful for your joy,","And chase the same pursuits.","","I am afraid to hear vows and promises,","So I trust your silence shall persuade the fate of tomorrow.","We can’t escape wind and rain or ups and downs,","So I hold your hands confidently, abandoning thoughts of turning back.","","Our holding hands does not mean we had a good past life,","Our accompanying each other may make our present life even busier,","By holding hands now, we will walk together again in a future life,","On a path with company, there is no time to turn back.","","This song is more “practical.”","It contains a mixture of sadness and happiness, as well as a sentiment of perseverance.","Finally, it mentions:","Past life.","Present life.","Future life.","","Due to “causes and conditions,” “consequences” ensue, entwined with “affinities.” The lyrics are quite touching.","","Next, we can ask ourselves:","“Is there love in your life?”","“Yes.”","“Do you feel alive because of this love?”","I","","","","“Yes.”","","“Do you have hate in your life?”","","","“Isn’t love the same?”","","“Yes,” I replied. “Love and hate are the same thing. Therefore, don’t be persistent and stubborn about them.”","“Yes, I do. But, I quickly put it down.”","“How do you put down hate?”","I replied: “A dream, a play, it is over soon!”","“If you do not persist and are not stubborn about love, is it still love?”","","","I replied: “It depends on the situation!” (To truly love is to give the other person happiness.)","●"
"018 Giving Way","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000044&chapter_id=c018","fter writing “to truly love is to give the other person happiness” in the last chapter, I feel that I have not expressed what I truly meant in my heart. So here is an essay about “giving way.”","","The emotional world of humans is complex. Love is complicated and can become quite chaotic.","","There are many cases of violence attributed to love:","","A highly educated student fell in love with a female teacher. But, the teacher already had a lover. So the PhD student murdered the teacher by stabbing her dozens of times with a knife. With each stabbing, he cried out in tears, “I love you!”","Alas!","","A former husband asked his divorced wife to get back together. The two tried to negotiate. When the wife refused to forgive and forget, the ex-husband killed her.","Alas!","","A young woman fell in love with her coworker. But, this coworker loved someone else. This young woman tried to seduce the coworker while the two were alone and was rebuffed. Later, this woman accused the coworker of sexual harassment.","Alas!","","These “terrorist lovers” are indeed “terrifying.” When their love was unrequited, they killed the other person. If they could not have the other person, then no one else could. Is this love?","I advocate: “To love is to give the other person happiness!”","","For example:","","When you love someone, but that someone loves another person whose attributes are preferred to yours, give happiness to your loved one by:","“Giving way.”","","I am a stone.","The other is gold.","I will “give way.”","I am clay.","The other is cement.","I will “give way.”","I am awkward.","The other is wise.","I will “give way.”","","Because I am able to “give way,” I allow my loved one to be happier. This is then true love.","","“To love” is to give happiness to others. This is my principle. So my life is very calm. There is no violent conflict in my love!","","“Why are you able to give way?”","","I replied: “However strong you are, there is always someone stronger.","","There is always someone better. You cannot always come first.”","","“Can you bear pain to give up what you care for very much?”","","“Yes! This is so a loved one will be happier!”","","“Isn’t this kind of giving way an admission of failure?”","","“Success and failure, misfortune and blessing, good and bad – they often switch interchangeably.”","","","","","A","“What do you mean?”","●","As I administer mo-ding, I fight back the aching in my heart and the tears welling up my eyes while chanting mantras and putting on a pleasant smile to bless each one individually.","","Sheng-yen Lu","","","","","","","","","","","I replied: “Be calm, vast, and wide open.”","","",""
"019 The Aches of Mo-ding","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000044&chapter_id=c019","t Taiwan Lei Tsang Temple, after every fire puja ceremony, I administer “mo-ding” to followers.","I replied: “Just that I am able to care for others! We will put value aside.”","First I visualize myself becoming one with the Yidam.","","Then I extend my hand and touch the crown of those present, one by one. A stream of cosmic energy flows through my hand into their bodies.","","Every time during mo-ding, my heart aches:","There are those upon their last gasp.","Individuals who are intubated.","Some who are wheelchair-bound and cannot stand up.","I stroke their heads, their feet, and think of myself in their place.","","How would I feel?","A blind person wants me to touch his eyes.","A deaf person wants me to touch his ears.","A mute wants me to touch his throat.","A person with an illness of the nose wants me to touch his nose.","Those with strokes, their heads.","Those with thyroid disease, their throats.","Those with lymph node diseases, their armpits.","Those with heart diseases, their hearts.","There are people with pneumonia.","Liver disease.","Gallbladder disease.","Kidney disease.","Stomach disease.","Intestinal disease.","Tumors both benign and malignant.","All kinds of cancers.","All kinds of aches and pains – swollen limbs, swollen abdomen, headaches, aches all over the body…","","As I administer mo-ding, I fight back the aching in my heart and the tears welling up my eyes while chanting mantras and putting on a pleasant smile to bless each one individually.","","I know: “Being sick is the worst misery!”","","They hunger for my extended hand to relieve their suffering and cure their illnesses.","","I do my utmost to bless them and put my feet into their shoes.","","I myself also have had illnesses. I was an insomniac for years and became a bag of bones. If I bent over, I would almost faint. I felt like the walking dead.","","I have also had a chronic cough so bad that my lungs vibrated and my stomach hurt. Not only was I short of breath and choking, I coughed up blood and had pneumonia.","","I have experienced many illnesses and know that the agony of illness is the number one suffering in life.","","Hence, the main purposes of administering mo-ding to others are:","","1. To give others happiness.","2. To remove others’ suffering.","3. To carry out the act with my heart and strength to the utmost.","4. You, he, and I are equal.","I have Buddha-essence.","He has Buddha-essence.","","A","","I see all sentient beings as “buddhas.”","When I see a sick person, I have feelings born of true love and do not feel disgust.","","I asked myself: “Is there any value in doing this?”","","●","I do not have a self myself, so do I still have reputation?","Sheng-yen Lu","","","","","","","You have Buddha-essence.","","",""
"020 Is Sheng-yen Lu a Scoundrel?","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000044&chapter_id=c020","n the internet, there was a period of time when some people called me:","“Scoundrel!” “Big scoundrel!” “Rotten egg!”","","“Who is the ‘big scoundrel’?”","","“Sheng-yen Lu.”","","I have asked myself: “Are you a bad person?”","","I replied: “Alas! I admit that I am not a saint nor without shortcomings. I am a seventy-year old man with quite a few shortcomings. Am I a bad person? I cannot analyze that.”","","“Then are you a good person?”","","I replied: “I am not good in everything. I only know how to write and meditate. I am not very good in other things. But, I do not harm others. Does this qualify me to be a good man? I am not sure.”","","“Which one are you? More good and less bad, more bad and less good, equally good and bad, neither good nor bad?”","","I replied: “I really cannot tell. I don’t know!”","","“Right! When you were a student, did you ever cheat during an examination?”","","I replied: “Yes.”","","“Cheating at exams is bad, don’t you know?”","","I replied: “I know. But I don’t cheat anymore. There are no more exams at seventy-years old!”","","“Have you done other bad things?”","","I replied: “Yes. I have stolen fruit from another person’s tree.”","","“Don’t you know this is a bad thing?”","","“I do.”","","“How many bad things have you done altogether?”","","“Too many to count.”","","“Are those who criticized you good people?”","","I replied: “Some of them I don’t know. Those I know are not saints either!”","","“Do you regard them as enemies? You certainly are not friends!”","","“I simply regard them as human beings.”","","“Enemies?”","","I replied: “I do not consider them enemies. In my view there are no enemies. I see Buddha-essence in every person. Every person is a","buddha. I do not make distinctions between foe and friend.”","“Do you detest those who curse you?”","I replied: “Since taking up Buddhist practice, I have become a different person. Nothing bothers me anymore. Praises are fine, curses are fine. I am indifferent to them. There is nothing to hate or not hate.”","“Don’t you want to maintain your reputation?”","O","","","","I said: “I have learned the truth of suffering, emptiness, impermanence, the non-existence of an inherent self, and liberation. I do not have a self myself, so do I still have reputation?”","","“If someone hits you?”","","","“And criticism?”","","I replied: “Who cares? Scoundrel, big scoundrel, rotten egg, ha ha! That is me.”","“I will not fight back.”","“If someone curses you?”","“I will not curse back.”","●","","","No one can bring with him an iota when he dies!","Sheng-yen Lu"
"021 Major-general Sun Fusheng","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000044&chapter_id=c021","r. Zhu Jinshui, a classmate of mine from the thirty-second graduating class of the undergraduate school of Surveying College, often attends the fire offerings conducted by me at Taiwan Lei Tsang Temple.","","Classmate Zhu Jinshui graduated from college summa cum laude.","","On December 6, 2014, Sun Fusheng, a senior schoolmate from the thirtieth graduating class, also attended my dharma ceremony. Sun Fusheng has remained in the military after graduation and reached the rank of major-general, the highest rank in the department, when he became the director of the Surveying Unit.","","That day, I was especially happy.","","During our school days, Sun Fusheng always wore a smile on his round face. He was a gentle person who got along well with everybody, and I found it easy to discuss things with him.","","After the dharma ceremony, classmate Zhu Jinshui, senior Sun Fusheng, and I sat down together at the same table for dinner.","","I said: “We are all getting old!”","","Sun Fusheng said: “I am seventy-one now.”","","I said: “I am seventy.”","","Sun Fusheng said: “You don’t look old at all!”","","I laughed: “Everyone says so. But, in reality I am a seventy-year-old man.”","","I suddenly became silent. I was pondering a question. During those years in school in the Surveying College, we were young men in our twenties. Now, fifty years have flown by.","","Among our classmates, Hong Jiqiong, Chen Zhenhua, Zeng Yumin, and Shen Yunhai are no longer here. I lamented when I learned of their passing.","","I asked myself: “Will you die?”","","I replied: “Everyone will die!”","","“Are you afraid of losing everything? The True Buddha School, family, wife, children, grandchildren, car, and belongings?”","","I replied: “No one can bring with him an iota when he dies!”","","“How about your most favorite things?”","","“Most favorite or most un-favorite things, they are the same!”","","“How about money, sex, and fame?”","","I replied: “Still the same!”","","“Do you have any regrets?”","","“None.”","","“You have indeed seen through everything, haven’t you?”","","“Yes.”","","“Who has shown you how to become so detached and free?”","I replied: “Shakyamuni Buddha and Manjushri Bodhisattva.”","“What have the Buddha and the bodhisattva taught you?”","I replied: “To die is to wake up from one’s dream!”","M","","","","“Are you certain you will wake up from a dream?”","","I replied: “I have long awakened. I have not yet died, but I have already awakened from my dreams.”","","","","","","●","For a monk, everywhere is home.","Sheng-yen Lu","","","","",""
