"chaptername","chaptername href","chapterbody","chapterbody 2","chapterbody 3","chapterbody 4","chapterbody 5","chapterbody 6","chapterbody 7","chapterbody 8","chapterbody 9","chapterbody 10","chapterbody 11","chapterbody 12","chapterbody 13","chapterbody 14","chapterbody 15","chapterbody 16","chapterbody 17","chapterbody 18","chapterbody 19","chapterbody 20","chapterbody 21","chapterbody 22","chapterbody 23","chapterbody 24","chapterbody 25","chapterbody 26","chapterbody 27","chapterbody 28","chapterbody 29","chapterbody 30","chapterbody 31","chapterbody 32","chapterbody 33","chapterbody 34","chapterbody 35","chapterbody 36","chapterbody 37","chapterbody 38","chapterbody 39","chapterbody 40","chapterbody 41","chapterbody 42","chapterbody 43","chapterbody 44","chapterbody 45","chapterbody 46","chapterbody 47","chapterbody 48","chapterbody 49","chapterbody 50","firstcharacter","chapterbody 51","chapterbody 52","chapterbody 53"
"037 Signs of Attainment","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000542&chapter_id=c037","hite Tara said:","""Cultivators often speak of attainment, and some people even equate attainment with supernatural power. Actually, this is a very laughable matter, because attainment and supernatural powers are completely unrelated.""","","""Then what is attainment?"" I asked.","White Tara answered:","A cultivator is able to face and endure all kinds of suffering and hardships, and without feelings of suffering. This is the attainment of the realization of impermanence.","","When worries and afflictions do not arise in the mind of a cultivator, or even if worries arise, the cultivator is able to cease or subdue it immediately. This is the attainment of defeating the mara of worries and troubles.","","In all situations, whether favorable or adverse, a cultivator is always able to quiet his mind, to be completely without waves.","This is the attainment of meditative stability.","","A cultivator never tires of dharma practice, but cultivates diligently and persistently without slackening.","This is the attainment of the spontaneous accomplishment of the mind and qi.","","A cultivator regards his Root Guru as Buddha, and perceives his Root Guru's merits to be of Buddha, and his Root Guru's shortcomings as teachings.","This is the attainment of equanimity.","","When erroneous or discursive thoughts do not arise in a cultivator","(The attainment of stability)","When a cultivator dwells continuously in the lucid clarity of enlightenment","(The attainment of wisdom)","When a cultivator is immune to the Five Poisons","(The attainment of precepts)","White Tara said:","""True attainment refers to these. Only these are attainment. As for divine sight, divine hearing, knowledge of the minds of others, knowledge of previous lifetimes, unimpeded bodily action, and the cessation of outflows - these are supernatural powers, but only the power of the cessation of outflows can be counted as the attainment of the complete extinction of afflictions.""","","* * *","","White Tara continued:","Aside from these, there are some other small attainments, which will also be specially mentioned here:","Having less attachments.","Less worries and troubles, and a bit more understanding and clarity.","Not as selfish as before.","Less desire for fame and gain, letting things come and go naturally.","No longer envious of those more successful than oneself.","Departed from craving, seeking and gaining.","Abiding in the lucid clarity of meditative cultivation even when not meditating.","Whenever any thought arises, a cultivator is able to banish thoughts instantly without letting them dwell in his/her mind; this is the dharma practice of a quiescent mind.","Being accepting of both nirvana and reincarnation; this is the attainment of a mind of equanimity.","No longer seeking special relationships to climb the social ladder.","Abiding peacefully in all matters.","","* * *","","White Tara said:","There are some cultivators who self-proclaim that they have already achieved attainment, and their attainment is extremely great, so much so that they have ascended beyond nine levels of heavens.","If these cultivators:","Crave fame and status","Contend for profit and gain","W","Exaggerate false claims of supernatural power","Vie for territory","Mislead other cultivators (not in accord with Dharma)"
"038 Encountering a Rare and Precious Master","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000542&chapter_id=c038","hite Tara said:","""In this human world, it is not easy to meet a genuine precious master, as fake masters are everywhere and masters with real attainment are very few. Being able to encounter a rare and precious master is definitely due to the accumulation of good karma in previous lives.""","White Tara continued:","""It is not by chance that Grandmaster Lu appeared in this world. You are a rare and precious master replete with virtue and merit. The rare and precious masters that you yourself have met, such as Reverend Liaoming, His Eminence Sakya Zhengkong Rinpoche, His Holiness the 16th Karmapa, Vajra Acharya Thubten Dargye and so on, are all kind friends and companions on the path of cultivation from many previous lifetimes. These are not chance encounters or coincidences, but karmic affinity.""","White Tara then said:","""When people who want to cultivate happen to meet you, and then take refuge in you, these are also not by chance or coincidence, but rather the thread of affinity has linked everyone together. It is a basic fact that you are Amitabha Buddha. It is also a fact that there are countless padmakumaras. All of your cultivation natures from previous lives have been awakened, bringing about the encounters between holy disciples and a rare and precious master. These are all facts.""","","I asked:","""What about the ones who leave?""","White Tara answered: ""They are like the sun covered by clouds, like a sail boat blown off-course by a great wind, like a pearl necklace with a broken string, like eggs fallen from an overturned nest, like a wild goose separated from its flock... this human world is indeed not perfect. There will be a few camels amongst a flock of sheep, and insects can also grow in the rice barrel. At this time, a rare and precious master is also aware that this is Buddhadharma encountering baffling and inexplicable enmity, which is also a kind of teaching, best remedied by silence and patient endurance.""","I asked:","""Is there no way of saving them?""","White Tara answered:","""Bad karma and pollution from this world cause these disciples to leave their rare and precious master, this is also a fact. Their names are all listed in the . Only when their faith, intelligence and wisdom arise again, and through the teaching and empowerment of Re- Purification, can they then be rescued!""","White Tara said:","""It is because of the fact of these desertions that you, Grandmaster Lu, thoroughly understand the impermanence of conditioned phenomena, the selflessness of Dharma, nirvana and quiescence. This enabled the transformation of your heart to renounce the human world, to distance yourself from worldly life, and thus become enlightened about the true nature of reality. Isn't it so?""","","I asked:","""Why do disciples cast aside their genuine precious master?""","White Tara answered:","Their faith is not lasting, and if they are only momentarily touched by you, that is not enough.","Their faith is weak, while worldly inclinations are too strong.","They regard themselves too highly, and believe that their rare and precious master is ordinary.","They believe that they themselves are the leaders, and disregard their rare and precious master.","They deceive their rare and precious master, to gain profit and benefits.","Utterly disregarding their rare and precious master, they believe themselves to be more capable.","They obtain worldly gains under the guise of Buddhism.","They use their rare and precious master as a pretext, with the intention of burning the bridge after crossing the river.","Not actualizing cultivation, they have no proof of attainment.","Wandering about, having wavering faith, they follow profitable opportunities wherever these arise.","Exaggerating supernatural powers, they boast falsely about having attained enlightenment, proclaiming to be more powerful than the rare and precious master, mystifying fellow cultivators.","Having a fondness for stirring up troubles, they lack Buddhadharma in their hearts.","They are like wandering tricksters.","Their speech and actions are not in accord with Dharma, but they use their wits and twisted reasoning to justify and explain their inconsistencies.","Erroneous views.","I asked:","""Any more?""","White Tara answered:","""Are these not enough?""","","","","","","","","","","","","W","Highly Confidential Register of Those Fallen into the Three Lower Realms","",""
"039 Fake Masters","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000542&chapter_id=c039","asked:","""There are rare and precious masters; are there no fake ones?""","White Tara answered:","""How could there be none? Not only so, there are as many fake masters as there are carps in the river, while genuine precious masters are very difficult to find.""","I asked:","""Who are the fake masters?""","White Tara answered:","""All of their names have been listed in the !""","I asked:","""How could it be him or her?""","White Tara answered:","The ultimate aim of Buddhadharma is only for ""mastering one's own life and death,"" ""the extinction of afflictions,"" and ""disseminating Buddhadharma so that others may become emancipated too.""","When one abandons these three main goals, then one is a fake master without a doubt. For instance:","An erudite authority in Buddhism, who has studied and researched the Tripitaka in great depth and detail, and is able to understand all the Sutra, Vinaya, and Abhidharma Pitakas, but if he does not engage in actual cultivation, then this person is a fake master.","","For instance:","An eminent Buddhist scholar who has read more than three hundred books about Vajrayana Buddhism and has published quite a bit on this topic, but if this person has never taken refuge, received empowerment, and engaged in actual practice, then this person is a fake master.","","For instance:","There is a great master of a Buddhist sect, who likes politics and focuses wholeheartedly on political affairs, more so than his/her personal cultivation. Although this person may be renowned worldwide, he/she is similarly also a fake master.","","For instance:","There is a Vajrayana practitioner who has taken refuge, received empowerment, and uses money and persuasiveness to procure the empowerment to be an acharya master. Thereafter, this person proceeds to deceive the world. Lying to everyone that he/she cultivates when in reality he/she does not. This is also a fake master.","","For instance:","There is an acharya who frequently speaks about supernatural powers, exaggerating his/her own clairvoyance, speaking of clairvoyance as if it were the same as Buddhadharma, equating supernatural powers with attainment, and other such pretentious and inflated talk. Eventually, this becomes a habit.","In actual fact these are all bluff and bluster.","This kind of master is certainly a fake master.","","For instance:","An acharya who accumulates money, more so than cultivating his/her heart to become one with Buddhadharma, then this is definitely a fake master.","","For instance:","There is an acharya who pours his/her heart into building up his/her own position and fame, (wanting to climb the social ladder) by closely associating with world-famous people, and wants to become the most well-known master. (Overzealousness in climbing the social ladder.) In reality, his/her heart is not yet one with Buddhadharma; this is definitely a fake master.","","For instance:","An acharya who acquires a lot of disciples, and exerts great effort in expanding his/her territory, while his/her heart is not yet one with Buddhadharma; this is certainly a fake master.","","All in all:","An acharya, who focuses mostly on worldly gain, more so than transcendental attainment.","An acharya, who focuses on outward appearance, and overlooks inner cultivation.","An acharya, who is obsessed with clairvoyance, and does not know the ultimate fruition.","An acharya, who pursues fame and gain, false glory and flattery, and has not really actualized cultivation.","An acharya, who has committed many evil deeds, and does not abide by the precepts.","An acharya, who has turned away from his/her own Lineage Guru. All these, are fake masters.","","","","","","I","Highly Confidential Register of Those Fallen into the Three Lower Realms","",""
"040 White Tara's Warning","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000542&chapter_id=c040","asked:","""Are we, True Buddha School, walking on the regular path of cultivation?""","White Tara answered:","""There are some disciples of True Buddha School who are on the right path, however, most people are very corrupted.""","I was greatly shocked.","White Tara said:","""Some people only pay lip service to cultivation and use True Buddha Dharma as a facade. They self-proclaim to be cultivators and dharma propagators, but what they love most are material and worldly things. There are far too many of these fake cultivators.""","I asked:","""What is our fault?""","""A plateful of scattered sand.""","""How is our future?"" I asked.","""Many do not have the slightest bit of mastery in cultivation, and do not abide by Buddhist regulations, while fervently going after worldly pursuits. Disciples with attainment will not be many, and only a minority of people will be able to free themselves from the cycle of reincarnation.""","I asked:","""What about masters?""","White Tara answered:","""Regarding themselves too highly; believing themselves to be the greatest leaders; are number one in social networking; are attached to erroneous views; do not have a transcendental mind of renunciation; covet money and material things; their speech and behavior deviate from lineage; not carrying out actual cultivation at all; speaking falsely about supernatural powers; beguiling believers; hypnotizing and brainwashing others; building up his/her influence with the intention of breaking away to establish his/her own independent sect...""","As I listened, my face turned pale.","I asked:","""What will happen to them?""","White Tara answered:","""Descent into the three lower realms.""","I asked:","""How can they be saved?""","White Tara answered:","""Abiding by precepts is the foundation of Buddhadharma. If disciples do not abide by precepts, then True Buddha School would be a plateful of scattered sand.""","""What is the greatest failing of masters?""","White Tara answered:","""Going further and further away from their Root Guru, and believing themselves to be right. Their so-called devotion and reverence are only on the surface. They are unable to receive lineage empowerment, and not only so, they are unable to benefit others, only benefitting themselves. The number of greedy masters is increasing, and this is extremely alarming and to be feared.""","","I asked:","""Which precepts are suitable for which people?""","White Tara answered:","The Five Precepts are suitable for people who have just received the refuge empowerment.","The Eight Precepts are suitable for lay cultivators who practice at home.","The Sramanera Precepts are suitable for people who wish to free themselves from the reincarnation cycle.","The Bodhisattva Precepts are suitable for cultivators who practice loving-kindness, compassion, joy, and equanimity.","The Bhikkhu Pratimoksha is suitable for monks.","The Bhikkhuni Pratimoksha is suitable for nuns.","The Aspiration Bodhicitta Vows are suitable for people who have a heart of equanimity, regarding themselves and others equally.","The Action Bodhicitta Vows are suitable for people who regard others more than themselves.","The Fifty Stanzas of Guru Devotion are suitable for Vajrayana cultivators.","The Fourteen Root Tantric Vows are suitable for yogi cultivators.","The Complete Monastic Code (Pratimoksha) are suitable for great cultivators.","I asked:","""Are these important?""","White Tara answered:","""Of course they are important. If the Sangha or household cultivators are completely without precepts, the whole True Buddha School would be too loose and lax. There would be such things as: cultivators of Mahayana without bodhicitta; yogis who do not abide by samaya; masters without actual cultivation; cultivators who are not zealous about attainment, but instead the obtaining of worldly items; cravings for fame, fortune, and sensual pleasures. In this way, success in cultivation would be very difficult, and instead it would be very easy to fall into the Hell of Uninterrupted Suffering.""","I was silent.","","","I","","",""
"041 The Danger of Falling into Traps","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000542&chapter_id=c041","ultivators who have left their homes, namely bhikkhus and bhikkhunis, have single-mindedly renounced worldly life in pursuit of the holy spiritual path.","I asked White Tara:","""Do bhikkhus and bhikkhunis ever go astray?""","White Tara answered:","""Quite a few!""","I asked White Tara to please explain and give examples.","White Tara said:","For instance: A bhikkhuni, whose ""fame"" was so great, that people all around the world knew of her.","This thus created the danger of falling into a trap. For, in order to keep her fame, she had to focus all her attention on this matter, and this bhikkhuni became more worldly instead. Becoming worldly (when worldliness surpasses the transcendental) is a deviant path.","This bhikkhuni had forgotten about cultivation and enlightenment, and about renouncing worldliness.","For instance: An eminent master, who wished to receive the glory of winning the Nobel Prize.","Day and night, he would spend his time and energy on devising ways to meet the requirements to qualify as the Nobel Peace Prize is not easily acquired. If one keeps dwelling on attaining the Nobel Peace Prize, one would certainly fall into a trap, and not be able to cultivate to enlightenment and attain the ""absolute.""","","For instance: A Zen master, who built the biggest Zen temple in the world.","Building Zen temples is not wrong. However, the building of one great temple after another requires a lot of money and energy.","The gain of money is inestimable.","The expense of mind and energy is incalculable.","If the Zen master only concentrates on the building of one great temple after another, then how will he be able to cultivate to enlightenment?","Forgetting the ""renunciation of worldliness"" is a trap, and is the danger.","","For instance: Another Zen master, who aspired to establish a Buddhist college. This is also not a bad cause.","However, establishing a college requires money and resources, as well as manpower, as well as management and maintenance staff, as well as faculty members, as well as administrators, as well as land, as well as students...","An ordained Zen master pouring himself into the establishment of a college, while the college is also not completely dedicated to teaching Buddhadharma. Rather, the courses offered are more worldly than spiritual.","Is this appropriate?","Bhikkhus and bhikkhunis, please contemplate this carefully.","Is this a wayward path in cultivation?","","For instance: Another well-known master who has a million disciples, and every disciple wishes to meet and talk to him.","If this master puts all his attention and energy on his disciples, wanting to acquire more disciples as well as wishing to meet with his disciples every day, then in this way, having many disciples has instead become this master's dangerous trap.","His cultivation towards enlightenment, renunciation to attain the ""absolute"" has developed an obstacle.","White Tara said:","Family and relatives can obstruct the holy path.","Engaging in management can obstruct the holy path.","Engaging in business can obstruct the holy path.","Even worse:","Fame can obstruct the holy path.","Glory and reputation can obstruct the holy path.","The worst of all:","Indulgence in the enjoyment of pleasures will obstruct the holy path.","Laziness and laxity will obstruct the holy path.","Indulgence in sleep will obstruct the holy path.…","If there are any obstacles hindering your cultivation towards enlightenment and the renunciation of worldly entanglements, these could all be dangerous traps, and it is then necessary to adjust one's footsteps!","","","","","","","","","C","","",""
"042 Naive, Naive, and Still Naive","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000542&chapter_id=c042","asked White Tara:","""In the eyes of buddhas, how do they regard sentient beings?""","White Tara answered:","""Naive.""","I then asked:","""How do bodhisattvas regard sentient beings?""","White Tara answered:","""Naive.""","I asked again:","""How does White Tara regard sentient beings?""","White Tara answered:","""Still naive.""","I said:","""Didn't you say that sentient beings are amazing? That sentient beings are not sentient beings and are sentient beings? That buddhas arise in the world because of sentient beings? Then how are sentient beings naive?""","White Tara replied:","""Sentient beings are indeed amazing. From their naiveté, they are able to see and validate buddha-nature. That's what's truly amazing.""","I asked:","""What makes this possible?""","White Tara answered:","""The teachings of Tathagata!""","","* * *","","White Tara said:","""Although some people already know to cultivate Buddhadharma, however, they are still very naive. Grandmaster Lu, you must teach them!""","I asked:","""How do I teach them?""","White Tara said:","Fishing while trying to cultivate the Four Immeasurable Vows of loving-kindness, compassion, joy, and equanimity. This is very naive.","Asking the Root Guru for empowerment every day, but never keeping the samaya of purifying one's own body, speech, and mind. This is very naive.","Listening to Root Guru's dharma discourses every day, but unable to put into practice what was taught, and simply not able to fulfill the teachings. This is naive.","On one hand, wishing to do good deeds, but on the other hand, behaving wickedly; on one hand, practicing repentance, but on the other hand, repeating one's transgressions. Isn't this naive?","Following the Root Guru very closely, and attending to the Root Guru. However, still engaging in misbehavior and unwholesome actions. Isn't this naive?","Having already received the empowerment to be an acharya master, one is already equivalent to being a teacher. However, one is still engaged in secular business dealings, dedicating a large amount of energy and mind on worldly business. This is naive.","Already a master, but making supplications every day, and finding ways to fulfill these wishes. What are these wishes? To receive the Nobel Prize, Peace Prize, Goodwill Ambassador Award, Benevolence Award, Achievement Award, Lifetime Award, Good Deed Award, Light of the Society Award... Fostering worldly honor and prestige. Isn't this naive!","Already a master, but still criticizing this person as not good or saying that person is bad, and commenting about the rights and wrongs of others. This is indeed naive and pitiable.","Cultivators going forth to receive various precepts and vows, but are unable to abide by them. This is also naive.","One's habitual tendencies have not changed in the slightest bit, yet claiming to be cultivating the paramita of patient endurance, this is really naive.","Being fearful and apprehensive every day, yet claiming to be cultivating the paramita of meditative stability, this is really naive.","Always busily concerned with worldly affairs, leaving no time for Vajrayana practice, yet claiming to be cultivating the paramita of diligent effort, this is really naive.","Self-proclaiming to have attained enlightenment, but then saying that one has been aggrievedly insulted, mistreated, discriminated against, slandered... This type of person has not yet attained enlightenment. Isn't this naive?","Self-proclaiming to have become a buddha, yet not being willing to benefit sentient beings. Isn't this naive?","Self-proclaiming to be a bodhisattva, yet not having a compassionate heart. Isn't this naive?","Self-proclaiming to have become accomplished in cultivation, yet being jealous of others. Isn't this naive?","Having already taken refuge, and having received the empowerment to practice, as well as the sadhanas of the practices, and also having set up a cultivation shrine, but in the end, not having any time to cultivate dharma. Isn't this very naive?","","","","","","I","","",""
"043 Begin with the Practice of Antidotes","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000542&chapter_id=c043","asked:","""Among all the methods of cultivation, where should one begin?""","White Tara answered:","""The practice of antidotes.""","I said:","""Would it be necessary to permanently practice antidotes?""","White Tara said:","""One has to practice antidotes until there is no longer any need for antidotes, and one understands and has realized one's own buddha-nature, and can spontaneously and freely move through the course of one's existence. At that time even when one does not practice any antidotes, it will also be an antidote; this is the highest state.""","I said:","""I understand.""","","I then asked:","""What are the different antidotes?""","White Tara answered: The greatest antidotes are:","Using a transcendental mind of renunciation as an antidote to worldliness.","Using bodhicitta as an antidote to Theravada.","Using empty-nature as an antidote to reincarnation.","","Common antidotes are:","Using precepts to remedy transgressions.","Using charity and generosity to remedy stinginess.","Using diligence to remedy lethargy.","Using patient endurance to remedy thoughts of anger.","Using meditation to remedy confusion and distractedness.","Using wisdom to remedy the Five Poisons.","","Also:","Being mindful of death can remedy one's laxity.","Being mindful of the suffering of reincarnation can remedy one's unwholesome karma.","Thinking about the bliss of heaven can remedy one's attachment to this life.","Thinking of kind affinities can remedy all negative affinities.","Being mindful of karmic retribution can remedy even the smallest and most minor misbehavior.","Thinking of one's Root Guru can remedy the loss of Root Guru's empowerment.","Thinking of buddhas and one's personal deity can remedy the loss of the power of assimilation by one's personal deity.","Thinking of one's guardian deity can remedy the loss of protection from one's personal guardian deity.","","Furthermore:","Pursuing greater peace and happiness for one's future lives can be an antidote to falling into the three lower realms.","Pursuing the diligent accumulation of benevolent deeds can be an antidote to reincarnation.","Pursuing liberation can be an antidote to transmigration through the six realms of existence.","(I would say this: what a cultivator seeks is not worldly fame, gain, sensual pleasures, and enjoyment, but rather, not falling into the three lower realms, and even more so, neither falling into the human nor heavenly realm, ultimately not entering into any of the six realms of transmigration, validating and attaining liberation on the path of enlightenment, thereafter becoming truly unhindered, abiding in spontaneous accomplishment.)","","In addition:","Seek and follow a genuine precious master, as an antidote to masters with wrong views.","Seek and follow wholesome dharma companions, as an antidote to unwholesome friends.","Use the repentance sadhana to remedy one's faults.","Use Re-Purification to remedy broken precepts and vows.","Use pure faith to remedy doubt.","Use benefitting others to remedy envy.","Use equality to remedy jealousy.","I","Use simple living to remedy impurities.","Use the awareness of no difference between self and others to remedy prejudice and bias in saving others.","Practice the purification of the body to remedy impure actions."
"044 The Precious Mara Slaying Sword","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000542&chapter_id=c044","hite Tara asked Grandmaster Lu:","""Do you know what mara is?""","I answered:","""Mahesvara Mara, Mara of Afflictions, Mara of the Five Aggregates, and Mara of Death. These are the four maras that Hevajra tramples upon.""","White Tara smiled. She said:","""Yes, these are the four maras. But, do you know? The greatest mara is the mara of attachment to self. Mara is not external at all, but is within oneself. One needs to slay the mara from within, then external maras would become ineffectual.""","White Tara asked:","""Do you understand what is the mara from within?""","I answered:","""Attachment to self, and attachment to phenomena.""","White Tara asked:","""Do you know how to get rid of it?""","I answered:","""With the sword of prajna!""","White Tara said:","""What you said is correct. But it's a pity that in this world, who has the sword of prajna? Among great and renowned masters, great dharma masters, great Zen masters, eminent monks, and eminent living buddhas, who has the sword of prajna?""","I asked:","""If all these renowned cultivators don't have the sword of prajna, then who has the sword of prajna?""","White Tara replied:","""Very, very few people. Grandmaster Lu is one of the very, very few.""","","* * *","","""Look!"" White Tara said:","People with great authority and influence are bound by the mara of arrogance, and are unable to become cultivators.","People with great wealth are trapped by the mara of money, and are unable to become cultivators.","People in eminent positions are tightly bound to their position. How would it be possible for them to humble themselves for cultivation?","People in general have their eyes blinded by the mara of ignorance, to the extent that they are not able to become cultivators.","Entrepreneurs are restricted by the mara of riches and busyness. It would be very difficult for them to become cultivators.","Distinguished scholars are obstructed by the mara of knowledge. It would be very difficult for them to become cultivators.","Distinguished scientists are limited by the mara of science. It would be very difficult for them to become cultivators.","Eminent cultivators are trapped by their own respective domains. It would be very difficult for them to escape the grasp of the mara of domains.","Eminent cultivators are bound by the mara of sectarianism. It would be very difficult for them to become genuinely liberated cultivators.","Eminent cultivators bound by the mara of big temples will always be busy with matters of the temple.","Eminent cultivators trapped by their multitude of disciples would be unable to break away from these fetters and become free.","Eminent cultivators trapped by the mara of worldly matters would be unable to break free to attain enlightenment and truly realize buddha nature.","Some people are bound by their children and family","Some people are bound by lovely women","Some people are bound by people they detest","Some people are bound by name brand goods and accessories","Some people are bound by beauty","Some people are bound by sweet talk","Some people are bound by what they crave or love","Some people are bound by pets","Some people are bound by their habitual tendencies","White Tara told me:","""Attachment to great bliss will cause one to become bound by the mara of great bliss. Attachment to clear light will cause one to become bound by the mara of clear light. Attachment to emptiness will cause one to become bound by the mara of emptiness. Even attachment to merit, attachment to becoming buddha... All are bondages!""","I asked:","""So, what constitutes a sword of prajna?""","White Tara answered:","W","","""Without intentions. Uncontrived!""",""
"045 The Deep Suffering Within","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000542&chapter_id=c045","hite Tara said:","""In this world, there is more pain and sorrow than happiness. On the surface, it seems that sadness and happiness are opposites. In actual fact, sadness and happiness arise from the same mind.""","I said:","""True. Love and hatred also arise from the same mind.""","White Tara said:","""That's why all phenomena arise from the one mind.""","I asked: ""Is the human realm full of hardship and suffering?""","White Tara answered:","""Yes.""","White Tara said:","""In the human world there is only one type of person, who has no suffering or happiness, who feels neither suffering nor happiness. This kind of people have transcended beyond the ordinary and entered the holy stream; their bodies are in this world, but their minds are not.""","I asked: ""If their minds are not in the human realm, then where are their minds residing?""","White Tara answered:","""Taoist of No-Mind! Don't you understand?""","I understood, and nodded my head.","","* * *","","White Tara said:","""Do not think that people in pursuit of the Five Poisons, people who pursue wealth, sensual pleasures, fame, food, and sleep, and people who are greedy, angry, ignorant, arrogant, and jealous would attain happiness. In reality, hiding deep beneath this sort of happiness is also just a kind of sorrow and suffering!""","I asked: ""How so?""","White Tara replied:","People who are greedy have a great amount of anxiety, and their minds are often in a state of anguish, afraid of being found out. People whose minds have a great amount of enmity, when they lash out in anger, their bodies are already submerged in the burning sea of suffering. People who are ignorant are like birds and beasts, the strong preying on the weak. Their minds are confused, and they are unable to extricate themselves, alternately floating and sinking. Isn't this painful?","People who are arrogant are already suffering from the disdain of others. People who are greatly jealous tend to be ambitious and scheming. In fact, envy itself is a kind of pain.","","White Tara continued:","Grandmaster Lu, take a look: People who cannot adjust their minds, are all suffering! People who cannot get rid of their attachment to themselves, are all suffering! People who are never content and never fulfilled, are all suffering! People who cannot get rid of material desires, are all suffering! People who cannot endure humiliation, are all suffering!","Those who are envious are suffering!","Those who are jealous are suffering!","Those who frame others are suffering!","Those who are indolent are suffering!","Those who torment others and those being tormented, are all suffering! To gain is also suffering! To lose is also suffering!","The worries of gaining and losing are all suffering!","White Tara added:","Beings in the wheel of reincarnation, are all suffering! People in pursuit of special relationships, are all suffering! People in the highest positions, are all suffering! People in the midst of beauty and sensual pleasures, are all suffering the most! People in the midst of obsessions or infatuations, are all suffering!","Those who yearn are those who are suffering.","I asked:","""How does one not suffer?""","White Tara answered:","""Understand one's own mind!""","","","","","","","","","","","W","","",""
"046 The Most Crucial Key","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000542&chapter_id=c046","asked:","""What is the most crucial key to success in cultivating Vajrayana Buddhism?""","White Tara answered:","""One's Root Guru.""","I asked:","""Why?""","White Tara answered:","""Vajrayana cultivation begins from receiving the refuge empowerment, and this refuge empowerment is given by one's Root Guru. All Buddhadharma is transmitted by one's Root Guru. Without the Root Guru's teaching of pivotal keys and pith instructions, how would all cultivators be able to know these? Even if one has the cultivation procedure, but does not have the power of empowerment and blessing from the lineage dharma stream, one will also not be able to attain accomplishment. The cultivator would also not know the Root Guru's pivotal keys and pith instructions leading to accomplishment, hence his/her cultivation would be futile. In short, in Vajrayana Buddhism, the Root Guru is the embodiment of the Three Jewels: Buddha, Dharma, and Sangha. Hence, one's Lineage Root Guru is the most crucial key to accomplishment in the cultivation of Buddhadharma.""","I asked:","""If one does not respect one's guru, would he/she also be able to attain accomplishment?""","White Tara replied:","""That would be a joke. If one does not respect one's Root Guru, then one would not respect Dharma. If one does not respect Dharma, then one would not practice sincerely and diligently. These are all interrelated.""","I asked:","""What if one only respects the Dharma, or only diligently practices cultivation?""","White Tara answered:","""If one is without the empowerment and blessing from one's Root Guru, then it would be like having firewood but no kindling material, forever unable to be lit. How can the torch of dharma cultivation be lit without any tinder?""","White Tara said:","Look! Cultivators who have broken their samaya, are like this: They only proclaim their attainment in Vajrayana Buddhism, but would not mention the empowerment they received from their Root Guru, concealing the name of their Root Guru, either afraid of mentioning it, or intentionally obscuring it.","They only proclaim that all Buddhadharma comes from the heavens, or was taught to them in their dreams, or taught personally to them by the buddhas and bodhisattvas, or transmitted to them by mysterious sages. They have no lineage, no Root Guru. They may say that they received instructions from high spiritual entities supporting them. Those who proclaim thus have utterly forsaken Vajrayana Buddhism, and are not in keeping with Vajrayana Buddhism.","(White Tara pointed out: These so-called instructions from the heavens, dreams, buddhas, bodhisattvas, mysterious sages, or high spiritual entities could all be manifestations of mara. If one person is led astray by mara, then this person's followers or disciples would all be led astray by mara.)","They only proclaim their own names, exaggerating and aggrandizing their reputation, casting their Root Guru to the recesses of their minds. Or they proclaim their own accomplishments to have long surpassed the accomplishments of their Root Guru, and that their Root Guru is insignificant!","They only proclaim that they are pure, and defame their Root Guru, blaming their Root Guru for all failings and mistakes.","They only proclaim the greatness of their own accomplishments, while deriding their Root Guru to have long become beneath them, that their Root Guru's level is inferior to their own, judging and casting aspersions on their Root Guru's level of attainment.","(In fact, disciples should not speculate on their Root Guru's level of accomplishment.)","They regard the group of people that they are leading as belonging to themselves, wanting to pull them away from their Root Guru, and with the intention to rival their Root Guru in the future.","They only pretend to respect their Root Guru, and in reality, their heart is already set on betrayal. They secretly pirate their Root Guru's sadhanas, and teach them as their own. They embezzle the money meant as offerings for their Root Guru. They steal the material items meant as offerings for their Root Guru.","They lie to their Root Guru.","They proclaim: That their Root Guru is not important. That they have reached enlightenment, although they have not yet received validation or approval from their Root Guru. That their Root Guru has no empowering ability, and claim that they are the ones who actually have the ability to give empowerment.…","I asked:","""Why are there disciples like these?""","White Tara answered:","""This is the human world.""","","","","","","","","","","","","","","","","","","","I","","",""
