"chaptername","chaptername href","chapterbody","chapterbody 2","chapterbody 3","chapterbody 4","chapterbody 5","chapterbody 6","chapterbody 7","chapterbody 8","chapterbody 9","chapterbody 10","chapterbody 11","chapterbody 12","chapterbody 13","chapterbody 14","chapterbody 15","chapterbody 16","chapterbody 17","chapterbody 18","chapterbody 19","chapterbody 20","chapterbody 21","chapterbody 22","chapterbody 23","chapterbody 24","chapterbody 25","chapterbody 26","chapterbody 27","chapterbody 28","chapterbody 29","chapterbody 30","chapterbody 31","chapterbody 32","chapterbody 33","chapterbody 34","chapterbody 35","chapterbody 36","chapterbody 37","chapterbody 38","chapterbody 39","chapterbody 40","chapterbody 41","chapterbody 42","chapterbody 43","chapterbody 44","chapterbody 45","chapterbody 46","chapterbody 47","chapterbody 48","chapterbody 49","chapterbody 50","chapterbody 51","firstcharacter","chapterbody 52","chapterbody 53","chapterbody 54"
"009 “无明”是轮回之根","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=414&chapter_id=c009","空行母说：“从无始以来，人们已经转世了无数次了，但，始终未能终止轮回，未成就四圣位。究其原因，是『无明』障碍的过患。”","白空行母的这句话，令我感动深深。","是的。","很多很多人，他们的人生过程“大同小异”：","“出生”、“幼稚园”、“小学”、“初中”、“高中”、“大学”、“硕士”、“博士”。","“就业”、“退休”。","“结婚”、“成家”、“生子”。","“子女结婚”、“子女生孙”。","“老”、“病”、“死”。","","所以陈传芳说：","一岁出场亮相。","十岁学业至上。","二十岁春心荡漾。","三十岁职场闯荡。","四十岁稍微发胖。","五十岁老当益壮。","六十岁血压向上。","七十岁记忆渐忘。","八十岁摇摇晃晃。（走路不稳）","九十岁迷失方向。（失忆）","一百岁挂在墙上。（去世）","","这就是“人生”，大致上，很少人能脱离这个框框，这个人生的模式。","在这模式中，所有的人，对世俗事物穷追不舍，因为穷追不舍，便有了“贪”、“瞋”、“痴”。因此，煽动自心，犯了很多的黑业，黑业累积，造成了下“三恶道”的因。","白空行母说：","“这是无明！”","","我说：","如果有人能有机会接触到“佛法”，这真是三生有幸，因为只有佛法能接引你，离开俗世，进入圣域，解脱轮回，达到四圣界。","有些人虽然已接触了“佛法”，也遇到了“大善知识”，但，仍然受不了世俗的诱惑。","和增长恶行的人为伍。","追逐功名。","贪色。","伤害别人。","强取豪夺财物。","为贪食而杀生。","贪豪宅、名车、珠宝。","","白空行母说：","“这一类的追逐，往往煽动自心造恶，永无止尽的追索而不疲惫，是快乐与痛苦的循环，不是得，就是失，不能让自心安住，也是无明。”","","我个人认为：","行者要专一的修持佛法。","始终将自己的身、口、意清净是绝对必要的。","要出离世俗。","自己想办法，对治世俗的贪求。","不只自己学习对治，还要度化他人学习对治，这是菩提心。","最重要的，不要有自私之心，时常观照自己是否自私。","更重要的是，要爱他人更甚于自己，这就是大慈大悲的心。","","白","白空行母说：","“只有这样的人，才叫真正行者，才算是出离了无明。”",""
"010 众生不可思议","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=414&chapter_id=c010","空行母说：","“众生不可思议，一个行者须以众生来锻炼自心，如此，对众生用慈悲，发菩提心，才能成就佛道，这就是佛出世间。”","我觉得这段话，不可思议。","我说：","“众生非众生即是众生。”","白空行母答：","“这是大悟者才知，所以是不可思议。一个行者，要成就佛菩提，要为众生而修习，一切为众生，借此才成就佛菩萨。”","我说：","“若无众生。”","白空行母答：","“无法成佛。”","“何以故？”","“菩提心无由发起故！”","","●","","卢师尊在此提醒所有的修行人。","就算你拥有般若之智，拥有最大法力的咒语，拥有大神的力量。","但，没有众生。","你发不起菩提心，就无法有成就，就算有成就，也等于零。","这是非常奇妙的一件事。","","我在一次说法中，如此说：","“卢师尊是一位具德的大善知识，但是若无众生来听佛法，有何屁用？”","不如涅槃算了！","不如入灭算了！","套一句现代话“毫无一点成就感！”","","所以，要依着众生，生起菩提心，这点就是成佛的口诀。","因为有了众生，才会有“烦恼”和“世俗”，行者要对治烦恼和世俗，这才会禅修。","行者因有了众生，修行除去一切世俗的“污染”，及世俗的“攀缘”，这才是大瑜伽士。","行者不贪图世间八法。","行者要救度众生。","行者在基本上，认知情器世间也是幻影，我们不堕落在幻影之中，而沉沦下去。我们借着幻影的众生，对治烦恼，发菩提心。","（这是白空行母的口诀）","","●","","我如此的说明，也许仍然有很多人不能明白和了解，或许会生起矛盾。","总之，我的旨意是：","行者不离众生。","又不受众生污染。","行者不执着世间八法。","对世间发菩提心。","行者要度化众生。","一切众生的幸福快乐，来自于佛陀的法教。","众生有苦有乐。","众生有善有恶。","行者在众生之中，要善护自己的誓愿及三昧耶，守戒律，不被腐蚀。","这样才叫“修练”。","我个人明白“白空行母”的旨意和口诀，一个行者和众生种种的关系。","白","众生可以帮助行者。","众生也可以毁灭行者。","众生实在不可思议，我的誓愿是，不舍一个众生，其意义在其中。"
"011 行者与众生的三昧耶","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=414&chapter_id=c011","问白空行母：行者与众生有三昧耶吗？","白空行母答：","有。","卢师尊可曾听闻一首颂偈？","","偈曰：","只要虚空仍然存在着，","地水火风空就必定遍满虚空。","只要地水火风空仍然存在着。","众生就一定遍满。","只要众生仍然存在着。","情欲与贪、瞋、痴就一定遍满。","只要这五毒仍然存在着。","行者的大悲就一定遍满。","","卢师尊啊！卢师尊，这就是行者与众生的三昧耶。","","我问白空行母：","行者对众生有什么三昧耶？","白空行母答：","行者如太阳，要照众生的黑暗。","行者如明眼者，要引导众生的瞎子。","行者如富者，要救济众生的贫困。","行者如转法轮者，要众生有依止。","行者如导师，要众生学习法教。","行者如金刚，要保护百病的众生。","行者如大悲观音，要行六度的佛法，施惠众生。","行者如菩萨，要能够利益众生。","行者如卢师尊，要不舍一个众生，对一切众生平等无分别的教授佛法，让众生个个能成佛。","这就是三昧耶！","","●","","我问白空行母：","众生如海，可载舟，可覆舟，当众生覆舟时，行者怎么办？","白空行母答：","我现在就教导行者如何修行，这就是行者修行的契机了。","当众生贫困之时，","就是教导行者“布施”的时机。","当众生侮辱你之时，","就是教导行者“忍辱”的时机。","当众生欺压你之时，","就是教导行者“精进”的时机。","当众生引诱行者犯罪恶的时候，","就是教导行者“守戒”的时机。","当众生盲目迷惑之时，","就是教导行者“智慧”的时机。","当众生颠倒妄想之时，","就是教导行者“禅定”的时机。","这也是三昧耶啊！","","我","●","","我卢师尊说："
"012 皈依的三昧耶","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=414&chapter_id=c012","空行母问：","“卢师尊！你知道皈依的三昧耶吗？”","我答：","“知道，皈依证书写的明明白白。皈依佛，就不能向其他神明寻求皈依。皈依法，就应该学习佛法，不伤害任何众生。皈依僧，就不能与外道为伍了。”","","白空行母说：","“卢师尊！你知道皈依的真实义谛吗？”","我说：","“皈依了三宝，佛就是大导师，法就是道路，僧就是法侣。”","我又说：","“最后证得佛果。”","白空行母说：","“什么是佛、法、僧？”","我说：","“佛是觉者，正遍知，无人能及，无上尊贵。法是佛所传下来的法，传承法教才能终结众生的生死轮回。而僧人，是执持法教者，正是我们修行的道伴。因此佛、法、僧是我们唯一皈依的对象。”","","白空行母说：","“你所说的全对，那如何是破三昧耶呢？”","我说：","“皈依了，又去皈依邪道，三昧耶就破了；皈依了，又伤害他人，三昧耶就破了；皈依了，又舍弃了三宝，三昧耶就破了；皈依了，为了世俗的追求，放弃了修行，三昧耶就破了；皈依了，不恭敬佛、法、僧，三昧耶就破了；皈依了，不论发生任何顺逆的事，都不应该舍弃三宝。”","","白空行母问：","“你只皈依一次？”","我答：","“不，我时时都在皈依！”","白空行母问：","“什么是时时皈依？”","我答：","“这是秘密，我每天念四皈依咒，时时忆念三宝、观照自己的皈依处，召请三宝，大礼拜三宝，大供养三宝，赞颂三宝，祈请三宝加持力，直至成佛我皈依。”","白空行母说：","“这才是正皈依！”","","白空行母问：","“你真正的皈依，又是谁？”","我答：","“这是非常秘密的。我真正的皈依，是自皈依，皈依自己的佛性。”我接着说：“我皈依圆满正觉的法身佛性；我皈依自性的殊胜寂静；我皈依一切同体的圣贤，无二无别。”","","白空行母赞叹我：","传承根本上师尊。","成就本源即本尊。","赐予加持空行母。","时时不离三根本。","","白空行母说：","你已“见”证佛性。","你已“修”入禅境。","你已“行”一皈依。","这已是最高境界的皈依了。佛果与轮回是一，不落入任何言诠，不落入任何范畴，这是无上正等正觉。","这才是：","密密密密皈依。","","白","","",""
"013 开悟者有三昧耶吗？","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=414&chapter_id=c013","空行母说：","“觉悟的佛也有三昧耶的！”","我问：","“佛的三昧耶是什么？”","白空行母答：","“大悲、空智、自在、任运、圆满。”","","我问：","“行者已达到开悟，开悟者也有三昧耶吗？”","白空行母答：","有的。","开悟者完完全全明白“心即是佛”、“即佛即心”、“自心即佛”，佛不离己，己不离佛，佛己不分，二是一的道理。","虽然已知道自己是佛，但，对于自己皈依的根本上师仍然恭敬。","承事。","供养。","敬礼。","祈请加持。","（这是开悟者与根本上师的三昧耶）","","开悟者已了悟万法唯心造，知道功德非功德即是功德。","所谓功德就是没有功德，因知没有功德，才是功德。","但，绝不中断累积功德的种种因缘。","（这是开悟者与功德的三昧耶）","","开悟者不畏惧一切，例如轮回、下三恶道、处险恶的环境......。","明知轮回是幻化，三恶道是梦境，险恶也是一时。","但，对于最微细的恶行，也摒弃而不为，不以恶小而为之。","（这是开悟者与恶行的三昧耶）","","开悟者明白“无上正等正觉”，了知许多净土也是化土。","知道阿罗汉、缘觉、菩萨、佛的任何法教。","知道小乘、二乘、大乘、金刚乘的法教。","知道圆满的法教。","知道三乘、五乘、九乘的法教。","但，不去诋毁任何的法教。","（这是开悟者与法教的三昧耶）","","开悟者已经证知许多三摩地，能入三摩地，证明了悉地。","开悟者修道有成就，菩萨十地，一一证明。","但，","不自满。","不自夸。","不骄傲。","（这是开悟者与证道的三昧耶）","","开悟者深深明白平等无分别的玄旨，根本了知自己与他人无别，自己与众生无别，我即众生，众生即我，原原本本就是如此，我与众生也是一时。","但，","开悟者不能停止对众生的大慈大悲的心。","（这是开悟者与众生的三昧耶）","","开悟者已明白轮回与涅槃二者，其本质是一，而不是二，所以轮回就是涅槃，涅槃就是轮回，烦恼即菩提，菩提即烦恼。","白","但，","开悟者并未停止“修道”。","（这是开悟者与修道的三昧耶）"
"014 精进的三昧耶","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=414&chapter_id=c014","空行母说：","“实修的佛法，是精进不懈的，如同大河的水潺潺，流入汪洋大海。”","我说：","“卢师尊精进第一。”","我这个人，什么长处也没有，但，谈起毅力，堪称第一。","写作，一天一篇，永不止息。","修法，天天修，永不止息。","画画，一天一张，永不止息。","读书，天天读，永不止息。","禅定，天天禅修，永不止息。","我说：“不管是禅、净、密、律的祖师爷，只要我走过他们的藏身之处，他们都会站起来，向我鼓掌，卢胜彦精进第一。”","其实我也不是“拚命三郎”，我是安止明觉，清楚、清醒、鲜明的精进。","我每天完成我的功课而已矣！","白空行母说：","“在这天底下，要找像你这种人，已难矣！”","我答：","“我只是全力以赴，其他不知。”","","白空行母说：","在这世上，有很多的行者，修到了某一境界之后，他就永远停留在那个境界之上，他们不知道，那只是暂时的禅境而已。","（这是犯了精进三昧耶的）","","例如：","修气脉明点，贪着于“气通脉”、“拙火通脉”，那种欲仙欲死的大乐觉受，确实是非常迷人的，这只是欲界天的欲乐禅定。","如果执着乐。","不再精进。","那就只停留在“欲界天”了！","","又：","行者从大乐禅定中，升起了“光明三摩地”，行者身、口、意无竭的光明成就，照天澈地，于是便认为“光明三摩地”已到地头，这也是很迷人的境界。","这是“色界天”的境界。","如果执着光明。","不思精进。","那就只停留在“色界天”了！","","又：","行者从“光明三摩地”升起了“空”，由光明进入“四空”，一空无边处定，二识无边处定，三无所有处定，四非想非非想处定。","行者认为已到地头了。","不思精进。","那就只停留在“无色界天”了。","","●","","白空行母说：","“这些都是有成就或大乐的觉受，行者经历了乐、明、空的觉受，这些都是暂时的禅境，不应认为了不起，很满足了，如果如此认为，就犯了精进的三昧耶！”","白空行母说：","“现代修行人，乐、明、空皆未证得，倒是证得烦躁、昏沉、呆滞，就停步不前了，这更是等而下之了。”","我说：","“瑜伽士的修行，就算到了无修瑜伽，其实无修也是修。”","","","白","","",""
"015 膨风法王","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=414&chapter_id=c015","度母（白空行母）说：","“有很多修行人，未得言得，未证言证，这都是夸大的。卢师尊，你当知，这是犯戒的，这是夸大妄语的三昧耶！”","我听了，汗涔涔下！因为在《下三恶道名册》之中，夸大妄语的，竟然比比皆是。所以，追寻具德的上师，才不容易落入魔掌。","","有一位“膨风法王”，膨风到了极点，可以说，无所不膨风。实在“太超过了”！","例如：","膨风法王说：","“原始佛（本初佛），现身，称膨风法王我为父王。给法王顶礼、献供、祈求加持，在本初佛之前，我才是无上佛。”","（事实上，膨风法王，不是很懂得佛法）","","膨风法王说：","“我的神通无人能比，宇宙是我创造的。具有无尽的神力，五方佛，甚至无量诸佛，全是由我调教而成佛的。”","（事实上，膨风法王从来未修持过仪轨）","","膨风法王说：","“卢师尊只是一个小有通力的人，是我给他加持的，我只需吹一口气，他就死了。他应该来皈依我才是，我不收拾他，是我的慈悲心，杀鸡何用牛刀，我只一念，他就圆寂了！”","膨风法王说：","“密教莲华生、龙树、毕瓦巴、那洛巴、宗喀巴，想当我的徒弟，我都不收。他们的根器都太差了，我得佛果比他们早。我不用禅修，就早已成佛，他们都需要禅修，才能成佛。”","（不禅修，能成佛，怪哉！）","","膨风法王说：","“我是不需要传承的，因为我是传承之始。在我之下，红、黄、白、花的上师，全是我的徒子徒孙，真佛宗的卢师尊，是我徒子徒孙之外的徒子徒孙，应该来服侍我。”","（没有传承，太夸大了）","","膨风法王说：","“我是不需要佛法的，我超越佛法之上。不需要法教，法教劣根的人才需要的。不需要守戒，因我在戒之上。我原始以来，已得解脱，已得证悟，佛法、戒律，在我眼中全是垃圾。”","（没有佛法，没有戒律。经、律、论全无）","","膨风法王说：","“要跟我学解脱，不用修任何法，只要我的加持力，你就能速速成佛。就算你在三恶道，我喊一声你的名字，你就解脱成佛了。而地狱，就在我的小指头的指甲之内。我只需一弹指。”","膨风法王说：","“不需要六度，也不用精进，成与不成，全包在法王一身。不必经过魔难，只要我念及你，你就解脱了。”","膨风法王说：","“解脱道只是名词，菩提道只是名词，我加持的，才是真实。”","说也奇怪，膨风法王这一套说词，听得一些人一愣一愣的，也有一批人会去相信他。","","然而，真正的行者，要紧记：","听闻法教。","明白佛法。","专一修法。","取得传承。","受持戒律。","禅修证悟。","","","","","","","","","白","","",""
"016 瞎猫碰到死老鼠","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=414&chapter_id=c016","空行母说：","“行者的过患之中，有一种是自述功德之罪，其实并无其事，但，行者为了名闻利养，便自述功德，久而成习，便犯了妄语的三昧耶！”","","我问：","“什么是自述功德？”","白空行母答：","“例子一。有一人去世，其眷属来告之行者，行者即说，昨夜亡者灵魂已来，我已特别超度接引，现在已达西方净土矣！其眷属一听，心存感激，奉送大供养，并且感动，供行者驱使。”","（其实根本无此事）","","白空行母又说：","“例子二。有夫妇二人，久无孩子，来告之行者，行者说，当给加持，后来真的生了一个孩子，行者说，这小孩是我从天上抱下来，送给你们的。孩子的父母，感激啼泣，当然，又是一个大红包，尊敬行者如神仙一般。”","（其实并无其事，偶尔中耳！）","","白空行母又说：","“例子三。有一人生病，久病不愈，来告之行者，后来好了。行者就宣扬，他到了天上界，请来神医，特别给病人治病，如今果然好了，又是一件大功德。”","（其实根本无此事）","","白空行母说：","“例子四。行者预言，此人半年内会死，该人心生恐惧，来求助行者，行者答应守护，半年后，该人并没有死，行者说，是他请了护法神将，上下左右守护，才不死的。”","（其实预言是“假”，守护也“子虚乌有”）","","白空行母说：","“例子五。行者自称知三世因果，凡有人至，就述说，在前世我就是你的上师，你发誓，生生世世要跟随我的，这一世，你非跟随我不可，于是，来人供其驱使。”","（事实是，行者根本不知三世因果）","","白空行母说：","“例子六。行者自称上天入地，其实从来也未上天入地，行者自称可以役使鬼神，其实鬼神常常暗中耻笑他。”","（行者根本功力不够）","","白空行母说：","“例子七。行者说，龙从湖中现身，向行者朝拜，他一去寺庙，寺庙神佛列队迎接，他走到何处，山神土地均给供养。”","（根本虚夸）","","白空行母说：","“行者自称，与诸佛会议，如何拯救地球，救度众生，全世界的修行人，唯他一人代表参与拯救人类的会议。”","（根本胡扯吹牛）","","白空行母说：","“例子八。行者自称天上的天人，全依止他为师，是天人师。地狱中的阎王判官，也听命于他，他是至尊，天上天下，唯我独尊了！”","（早呢！）","","白空行母说：","“这一类的行者很多，均列名《下三恶道名册》之中。其实夸大不实，妄语连连，久而久之，自然成习，为了名闻利养，犯下了一件又一件的罪业，无法超生出苦矣！”","此等事！","戒之！戒之！","","","","","","","白","","",""
"017 丘长春真人","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=414&chapter_id=c017","空行母说：","“行者的第一大戒，就是戒杀。五逆罪最重，也最难化解了。像杀父、杀母、杀阿罗汉、出佛身血、杀圣贤僧。这些杀的罪业，很难解除，如此，才称五逆罪。”","我问：","“破和合僧，罪业如何？”","白空行母说：","“和合僧是修行的僧团，破坏僧团，等同杀了众僧人的慧命，此罪业甚重。等同五逆罪，入无间地狱，求出无期。”","（以上是最重、最重的罪业了！）","","白空行母说：","“不管怎么说，杀业被列第一，下三恶道，第一重罪。行者要注意，勿犯三种杀业。一、出于贪的杀业，贪求牠们肉、贪求牠们的皮、贪求牠们获取的利益。二、出于瞋的杀业，因为嫉妒、吃醋、怀恨、为钱、为色......而杀害了人。三、出于痴的杀业，例如，毁了鸟巢、蜂巢、蚁窝等等。”","白空行母说：","“存心不良、计划谋略、实际杀生，并不忏悔，其罪不可赦！”","","●","","白空行母的说词，使我想起了蒙古的大汗“成吉思汗”（铁木真），成吉思汗的大军，英勇骁战，他建立了蒙古大帝国。","当年，成吉思汗攻打印度。","他想起了，在中国的北方，有一位有道行的丘长春真人。","成吉思汗在印度边境，约丘长春真人见面，请教他的道。","长春真人披星戴月，到了印度边境。","成吉思汗问：","“如何是道？”","丘长春真人只答：","“少杀人！”","成吉思汗与丘长春真人订了誓盟，铜符铁印。后来，成吉思汗攻入中国，在北方的居民，只要贴上丘长春真人的铜符，蒙古兵马便不入屋杀人，救了不少生命。","我说：","成吉思汗。","秦始皇。","汉武帝。","亚历山大。","凯撒。","......。","他们都是杀人无数的，像这样的人，在地狱中，罪业深重，往往都是求出无期的。到了现在，仍然在地狱中，唉唉叫！","","●","","密教瑜伽士，其修行的“气、脉、明点”，“气”及“拙火”，均借助动物的血肉。","密教瑜伽士，懂得不可杀生。","所以在“饮酒食肉”之时。","已做了超度。","须将被食的动物，以咒力、印力、观力，将动物本身，转投入更高的境界之中。","（这样才不会有过患）","","佛曰：","一口清净水。","八万四千虫。","如果不持咒。","如同杀众生。","","","","白","","",""
"018 瓜田李下","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=414&chapter_id=c018","空行母说：","“据他人财物为己有，或用暴力抢劫，或偷偷取走，或用诈骗手法。这些，是犯戒的，犯此戒，大部分生在饿鬼道。”","我说：","“尤其偷窃寺庙的东西，偷窃僧人的钱财，或用根本上师的名，去诈骗他人的钱财，这些都是非常要不得的。”","","以前。","有一位弘法人员，以自己的名义，在银行设立“供养卢师尊”帐户。","众弟子以为真的供养卢师尊。","其实是全部窃为己有。","等到有一天，弟子问我，师尊收到我们的供养了吗？","我哑口无言。","这时才拆穿他的诈骗手法。","","以前。","又有一位弘法人员，从寺庙取走大量的金钱，借口说要供养卢师尊。","事实上，私吞了去。","等到寺庙人员告知了我。","始知又上当了！","......。","","又有一次。","一位远地而来的贵宾，这位贵宾对我们真佛宗的未来甚为重要。","我们非常礼貌的接待他。","一切小心的侍候。","结果，他在听我说法的时候，却有人偷走了他的钱包。","他说：","“你们雷藏寺有贼！”","我汗涔涔而下。","我请问：","“这位贼，你听的，是什么法？”","","●","","无知的人。","无良心的人。","无道德的人。","无耻的人。","才会犯下了抢劫、偷盗、诈骗的行为。","我们学佛的行者，明知这是“五戒”的第二大戒，根本不可以犯，连“瓜田李下”都要避嫌，更何况去犯如此重戒，如此贪财之徒，不是修行，而是行恶，列入《下三恶道名册》之中。","","我卢师尊说：","“凡是贪取钱财的人，你们不要不自觉，在夜里，摸摸自己的良知看看，你是否太超过了？你是否拿了不该拿的？你是否贪欲过重？你还在修道吗？”","不要自欺。","不要欺人。","如果自欺欺人，下三恶道，你已列名其中。","","白空行母说：","“犯偷盗罪的，下饿鬼道。就算投生为人，一贫如洗，贫穷一辈子。尤其，这种不好的习性，将使你在未来世中，累世都会犯偷盗罪。”","我说：","“这种行为，连弘法人员也犯，我们不知，你弘的是什么法？”","我说：","白","“弘法人员，贪财习气太重，所有同门，用智慧之眼，看他！”","",""
"019 大乐的下堕","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=414&chapter_id=c019","空行母说：","“男女交媾是淫，如法的是正淫，不如法的是邪淫。正淫是正常的，邪淫是不当的。不当的邪淫会下堕到畜生道。”","白空行母又说：","“凡是出家的修行人，必须戒淫。连正淫也是不容许的。出家人在密教，属于单修行者，截然不同于在家人。比丘、比丘尼，均是如此，如果行淫，必下堕到畜生道。”","","白空母再说：","“密教是有双身法，道家亦有截接法。这双身截接，是极秘密的法教。上上根器，如法的修习，不是过患。但，一涉不法，即是下堕之因。故，由此道成就者，稀也。只有真正的金刚上师，才可以行之，否则，必入无间地狱，而且多世转劫，也是畜生道中。”","（在本文中，不谈双身法，不谈截接法，只谈淫，什么是不当的淫）","一、非自己妻子，即不当。","二、法律所禁止，即不当。","三、非人，即不当。","四、母亲或姐妹，即不当。","五、未成年，即不当。","六、出家人，即不当。","七、比丘尼、修女，即不当。","八、动物，即不当。","九、替代物，即不当。","十、二人以上，即不当。","白空行母说：","不当的时间——佛菩萨圣诞日。","不当的地点——三宝之前。","不当的交合——使用孔口。","","●","","据我所知。","人生于世，是由“淫欲”所生，也就是父母交合，父精母卵所生。","所以每一个人都有“淫欲”的种子习气，故有“食色”性也之说。","“淫”是人性之一。","“淫”也是人类众生，生生不息之因也。","“淫”生至乐，人生之乐，莫过于此。鱼水之欢，令人欲生欲死，沉迷于其中的人，乐此不疲。上至达官贵人，下至贩夫走卒，均是如是如是。","只要是人。","均是如是如是。","一般动物畜生如是如是。","","但，修行人，慎犯此戒，此戒非常容易犯，只因为人人皆有“淫欲”之念。","一般说来，唯有修至“气通脉”、“拙火通脉”、“明点通脉”的密教行者，才能以“大乐”胜过“淫乐”，如此，自然无欲。","禅宗的行者，以“禅乐”胜“淫乐”。","显教的行者，以“法乐”胜“淫乐”。","我说：","“大乐、禅乐、法乐，均称为法味，有了法味，才有可能胜过淫乐之魔。”","如果用压制法：","如同用石头压住草。","只要石头一移去。","草又长也。","我如此奉劝：","行者若尚未得“法味”，宜用“转移法”，将“淫念”转移。","如此幸甚！如此幸甚！","","","","白","","",""
"020 无的放矢","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=414&chapter_id=c020","空行母说：“不善的语言，容易犯。言语上颠倒是非，或是有的说成无，或是无的说成有，或是随口胡扯，久而成习，是口的三昧耶，是一种业，大祸由此而生。”","我说：","“出家人不打诳语！”","其实不只出家人不打诳语，连在家人也不应该打诳语的。","事实上，打诳语的人很多。","这世上，要找一位真正说“实话”的人，已几乎快接近于“零”了。","人人都在：“无的放矢！”","","●","","例如：","有某人编了一整套诽谤“卢师尊”的故事。","其他的人，看了，轰传全世界。","这个媒体也登。","那个媒体也登。","各个媒体也登。","卢师尊仿佛成了十恶不赦的、穷凶恶极的罪人。","然而，事实上，并非如此。","这就是言语上颠倒是非了！","我们修行人，不想答，也不想辩。","我一直在想。","“如果这故事是真实的，那就应该改过迁善。如果这故事是假的，诳语多多，那也就不必放在心上。”","（因为这是人间）","","●","","例如：","有一位同门带着孩子过海关。","海关问：","“你身上怎么带了如此多的钱？”","同门答：","“我卖了房子！”","同门的孩子在旁说：","“妈妈！我们没有卖房子呀！”","同门：“......。”","海关：“......。”","","所以诳语也分很多种：","一、无利无弊的。","二、有利无弊的。","三、无利有弊的。","四、有利有弊的。","另外，我曾说过，有的行者，自述自己的神通有多大，其实根本就没有神通。","（这也是诳语）","","白空行母说：","“不要无的放矢！无的放矢是有业报的。会堕入恶道之中，未来世讲的话，无人会相信。未来世，诳语连连，久而成习。”","我觉得“狼来了”这个典故，倒是给讲诳语的人，一个教训。","“狼来了！”大家四散逃跑。","说谎的孩子哈哈大笑。","“狼来了！狼真的来了！”大家又四散逃跑。","白","说谎的孩子又哈哈大笑。","有一天，狼真的来了。","所有的人，听说“狼来了！”也不跑了。"
"021 毒舌","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=414&chapter_id=c021","空行母说：","“有一等人，是两片唇动个不止，所说的话，都是不善的。专门毒害他人，说东说西，说来说去，引出了大祸。”","白空行母说：","“出口伤人，就是毒舌。未来下三恶道，成了毒蛇。此等人下三恶道，成了毒兽毒禽毒物，就算是人，争议不止，而且以两舌为乐。”","我们常听人说：","有人串门子，喜说东家长、西家短。","三姑六婆，专道人是非。","好朋友之间的离间。","双面刀鬼。","公说公有理。","婆说婆有理。","这等人，一大堆的道理，其实全是“歪理”，伤人无数。","其实，毒舌之祸，其祸不小，大的可以引起两国的战争。","家族与家族的战争。","民族与民族的战争。","家庭内的战争。","人与人的战争。","","在宗教界——","提婆达多的“毒舌”是最厉害的，他细数佛陀生活上的所有缺点，扩大渲染。","他在僧团中游说。","于是他把僧团分裂成两半，一半的僧人对佛陀信心尚坚定，跟随了佛陀。","另一半的人相信提婆达多所说的，随着提婆达多走了。","僧团分裂。","这是佛陀的十恼之一，佛陀最大的忧患。","","我们宗派中，当然一定有这种人，在宗派中混水摸鱼。","说东道西。","表面上是真佛同门，其实是离间真佛同门，有智慧的人仔细看，仔细听。","谁在分裂僧团？","谁在离间同门？","谁在搞私人的小圈圈？","非常清楚的。","（只是卢师尊一向抑恶扬善，不愿道出而已，众弟子何不睁大眼睛看）","","●","","白空行母说：","“说善言。”","白空行母说：","“沉默是金。学一学少说话，多念佛持咒。”","白空行母说：","“禁口。”","","我分析：","一、有人是公然的离间。","二、有人是迂回间接的离间。","三、有人是私下讲悄悄话的离间。","这三种，都是离间。同样都是犯口业的，弘法人员有“毒舌”的毛病，一定下三恶道的，何不扪心自问：","“你自己是不是毒舌？”","若有。","白","速速忏悔，以“还净法”清净。","这一类的“毒舌”很容易犯，甚至还有人以“毒舌”为乐，这种习性要不得，害人等于害己，是令人怖畏的！",""
