"chaptername","chaptername href","chapterbody","chapterbody 2","chapterbody 3","chapterbody 4","chapterbody 5","chapterbody 6","chapterbody 7","chapterbody 8","chapterbody 9","chapterbody 10","chapterbody 11","chapterbody 12","chapterbody 13","chapterbody 14","chapterbody 15","chapterbody 16","chapterbody 17","chapterbody 18","chapterbody 19","chapterbody 20","chapterbody 21","chapterbody 22","chapterbody 23","chapterbody 24","chapterbody 25","chapterbody 26","chapterbody 27","chapterbody 28","chapterbody 29","chapterbody 30","chapterbody 31","chapterbody 32","chapterbody 33","chapterbody 34","chapterbody 35","chapterbody 36","chapterbody 37","chapterbody 38","chapterbody 39","chapterbody 40","chapterbody 41","chapterbody 42","chapterbody 43","chapterbody 44","chapterbody 45","chapterbody 46","chapterbody 47","chapterbody 48","chapterbody 49","chapterbody 50","chapterbody 51","firstcharacter","chapterbody 52","chapterbody 53","chapterbody 54","chapterbody 55","chapterbody 56","chapterbody 57","chapterbody 58","chapterbody 59","chapterbody 60","chapterbody 61","chapterbody 62","chapterbody 63"
"009 忘忘忘忘忘","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=440&chapter_id=c009","迦牟尼佛的一生，其重点是在“菩提迦耶”的菩提树下，面向东方，结跏趺坐，发誓不证菩提，绝不起坐。","","后来，于黎明时分，佛陀证知，自己已经断一切烦恼垢染，明心见性，不必六道轮回，终于成就无上正等正觉的佛果。","","佛陀的初转法轮是：《念住经》为代表。","苦当知。","集当断。","灭当证。","道当修。","","佛陀的二转法轮：《般若经》为代表。","开悟明心。","般若智慧。","六度万行。","","佛陀的三转法轮：《解深密经》为代表。","唯识。","中观。","瑜伽。","金刚乘。","","小乘“上座部”认为佛陀在过去无数世中，是菩萨行，积集二资粮，祂下凡尘娑婆，在菩提迦耶，得道时，才是眞正成佛。","","而大乘佛教，是如此认为，过去的佛陀早已成佛，祂下生人间，纯属“游戏”，示现的原因是教导众生，凡夫也可以达成圆满觉悟。","","我个人如此认为：","“游戏”是修行的大口诀，一个行者如果以“游戏”的心看芸芸众生，再反观自己，对一切人、事、物，不会执着。","","而不执着就是：","“忘忘忘忘忘……。”","这就是“心”、“境”皆在，只是不着“心”，不着“境”。","自然。","一切都忘了，心无牵挂。","","曾经有一个形容是：","一个小童子，走入了画画的展览室，小童子绕了一大圈，看了很多世界名画，看完了，也忘完了。","","这叫“童子观画”。","虽然看完了全部的名画，却没有一幅画留在心中。","这是“游戏”，也是“忘”。","如果一位修行人，也能以“游戏”的心情，来看自己及周遭的环境，凡事“忘却”，不留心中，就不会影响自己的心，也不会有情绪波涛，妄念也就不会产生了。","","佛“游戏”示现娑婆，如同“狮子游戏佛”，游戏完了，就忘了。","“游戏”是口诀。","“忘”也是口诀。","","有一个笑话是：","情人节与清明节有什不同？","","答案是：","情人节与清明节是“送花”，是一样的。","释","情人节是花眞钱买花，送给情人，讲了一堆鬼话，给情人听。","清明节是烧假钱，送给鬼，讲了一堆人话，给鬼听。","","看来全是“游戏”，不要放在“心”上，“忘了”就是了。","“不忘”是凡夫！","“忘”是圣贤啊！","","","","哈哈哈！","",""
"010 空、明、乐的三部曲","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=440&chapter_id=c010","常常提到三界天的分别是：","空——无色界天。","明——色界天。","乐——欲界天。","这个“空”是指空(四空天)，“明”是指光明庄严，“乐”是指受用快乐无比。","要到这空、明、乐，须要一步一步的修行。","","有人问我：","“空、明、乐与佛的法、报、应三身，是不是有关联性?”","我答：","“有同有不同！”","","我如此解释佛的三身如下：","法身——这是诸法形象的本体，称呼甚多，眞如、空性、眞实、实相、眞心等等，是非常难以解释的。","","所以：","恒在、不审、不生、不灭、不垢、不净、不来、不去、不一、不异、无差别、无分别、平等、实性，又是身空、心空、法空、性空。","","我们常说“法身佛”是毘卢遮那佛(大日如来)。","(这个空性比四空天，更高超。)","","报身——是佛的圆满功德所感的圆满色身，具有三十二种庄严，八十种随形好，是一种光明无尽，无自性的幻化，卢舍那佛即是报身佛。","","所有的佛国净土显化出来的佛，都是报身佛，释迦牟尼佛的报身是常居色究竟天。”","(佛的报身，比色界天的光明，更无尽。)","","应身——是慈悲六道众生，应世显出来度众生而化现的。","出现在世间是为了“无缘大慈、同体大悲”变化出来，度化众生的明师即是也。","促使众生因应身佛(化佛)的指引，利益有情众生而出现。","世界存在，轮回不空，所以(化佛)就不停的出现。","应身佛教导众生的修行。","应身佛的形象不一，也无所不在。","在人间的“释迦牟尼佛”也就是应身佛。","","我认为：","空性——法身。","光明——报身。","光明觉性——应身。(化身)","","简单的说：","“空、明、明空”。","空性证法身佛。","光明庄严证报身佛。","光明觉性证应身佛(化佛)。","讲了这么多，到底口诀是什么？","","口诀在一个字：","“修”。","","有一个笑话：","甲说：","我","“我太太最近迷上吹口琴，我好喜欢！”","乙问：","“为什么？”","甲答：","“她天天练习吹口琴，就不会对我唠叨了！”","哈哈哈！","","我教大家修行，是有益处：","","","修行之后，有了证悟，便不会生贪心，不生妄念，不生烦恼，不生迷惑，清净无染了。这“修”之一字，是众生获得解脱的基点。","要离开六道轮回，只有一个字："
"011 瑜伽念诵法","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=440&chapter_id=c011","讲一个笑话：","有一个人，刚出生的时候，就请相命师来算命。","相命大师是威名显赫的。","","他说：","“面相太好了，有帝王之运，长大之后，出入皆有车，住豪华的酒店，到处受人拥戴，看遍名胜古迹，吃喝不尽，无论走到何处，都有一帮人紧紧的跟随…..。”","“哇！好伟大！”","后来这个人长大了，他的职业是：","“导游”。","哈哈哈！相应了！","","我说：","密教的生起次第，有“相应”法，什么是相应？相应就是“瑜伽”。","相应是：","合一。","共振。","相通。","圆满。","我们密教行者修相应法，要修“四加行相应”、“上师相应”、“本尊相应”等等。","","我说：","李商隐有一首诗，诗中有一句：","身无彩凤双飞翼，","心有灵犀一点通。","相应是非常美妙的，是非常神秘的，是心灵与心灵的彼此契合，是二等于一。","夜夜同眠。","朝朝共起。","一种互相依持的现象。","","如同，你的呼吸、你的心跳、你的念头与你的本尊是共通的，那是来自心灵的深处。本尊的意旨，一点一滴，你都能清楚明白，而且一一准的，不会出现了差错。","完全相融合了！","你心中有本尊。","本尊心中有你。","","我常常说：","每当我上了飞机，我才一坐下，我便念诵本尊的咒语，想念本尊，一直到本尊住我顶，进入我的心中，与我合一。","此时，一切安啦！","不管发生什么事，我就飞到本尊的净土，因为，我与本尊完全相应之故。","","我告诉大家：","密教行者要时时刻刻忆念着自己的本尊，或忆念着根本上师，或忆念着根本护法，最少要一日六时忆念。","要修相应念诵法。","观想本尊。","念本尊咒。","结本尊印。","","我有一个与本尊相应的最重要的口诀，这个口诀是：","凡供养本尊的食物供品。","你要吃少许。","完全吃完是第一好。","勿与他人食用。","我","","还有一个重要口诀，你发的誓愿，要与本尊的誓愿完完全全的一致，不能有分别，每回的修法，誓愿一致。","“食同”。(身的转化)","这是本尊相应法，最重要的口诀了！","","","","","","“誓同”。(意的转化)","",""
"012 密教相应瑜伽的特色","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=440&chapter_id=c012","们学佛的人都知道，依循渐修的方式，须历“三大阿僧祇劫”的时间。","先修：","布施、持戒、忍辱、精进、禅定、智慧。","","通达：","人空。","法空。","无我。","空性。","把烦恼断除及习气断除。","经历了“资粮道”、“加行道”、“见道”、“修道”、“究竟道”。","这是“大乘”、“菩萨乘”的修持方法。","","然而：","密教也是“大乘”的分支，自然也是要经历这种次第。但，密教有特别殊胜方便修法，也就是“相应瑜伽”，这在显教是没有的，密教有相应瑜伽就是特色。","","我们称这种修法是“天瑜伽法”，也即是“本尊瑜伽”。","这种特殊就是行者自身，选定一位本尊，由观想、结印、持咒的方式。","把自己与本尊绑在一起。","","本尊是佛或菩萨，出现天相身，而后行者依方便出现的天相身，紧密的绑在一起，甚至合一，行者出现了“佛慢”。","","我的意思是说，行者与本尊，无二无别，互相融合为一的修持方法，是其他宗派所没有的，这个就是特色。","我与瑶池金母相应，我就是瑶池金母。","我与阿弥陀佛相应，我就是阿弥陀佛。","我与地藏菩萨相应，我就是地藏菩萨。","这就是以“果”为“道”。","","我们也如此认为，这种密教相应瑜伽的修持念诵方式，可以把修行的时间缩短，本来要经过“三大阿僧祇劫”的时光，一世就可以成办。","这就是“善巧”。","这也是“速疾”。","","我们“大乘佛法”的共同点是：","“为利有情共成佛”。","“一切诸法自性空”。","但密教有特殊的“方便”与“智慧”共同结合的“天色本尊瑜伽法”是最大的特色。","","其他大乘是：","行者与智慧互为道伴助伴。","密教是：","和合一体。","只有这种观想本尊与行者的方便念诵，才能圆满福德资粮，而引发了报身及应身相合一的不共法门。","我认为这就是“微妙的口诀”。","","密教的本身就是：","“口诀”。","我个人从基督教，成为道教，修佛门显教，修佛门密教。","","因为我欣赏：","“本尊合一的念诵法”。","","我","有一则笑话很短：","怎样才叫单身汉住处？","也就是：","冰箱里却长出了霉花。","","我告诉大家：","我的四周及我，全是佛菩萨诸尊了！","","","室内盆栽全部都枯死。","",""
"013 大瑜伽的秘密","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=440&chapter_id=c013","个人已修至“本尊瑜伽”相应的时候，自然而然明白“佛慢”的本义。","原来“佛慢”就是大瑜伽。","","当自成本尊时——","就可以进入大瑜伽了。","食——净治成甘露。","衣——净治成微妙天衣。","住——净治成本尊宫殿。","行——净治成本尊的一切事业。","育——净治成本尊的佛慢。","乐——净治成本尊的受用。","人——净治成本尊天众眷属。","音——净治成咒语。","等等…..。","其实这些，统称“佛慢”，这些是行者模拟成本尊的观想。","","这些模拟，很可能被外界解读成：","自欺。","狂妄。","无意义。","但是，我个人如此认为，在这当中，已经在修行了，这大瑜伽就是修行，修行的本义就是转化清净，不是吗？","","世俗凡夫，走入修行的路，他原有五蕴、概念、欲望，全部要转化净治。","再说，世间的一切都是“无自性”的，我们行者运用“观想”、“手印”、“咒语”，全部把世俗的一切，转化清净成本尊的一切。","","更高明的是：","五烦恼(五蕴)——五智佛。","欲望——佛母。","财色名食睡——菩萨。","忿怒——金刚。","","我在这里要说明的是，诸法由意念为先导，“净治转化”就是口诀。","修行在其中也。","就算是“双身法”，也是“净治转化”。","世俗的男女合体是“淫欲”。","","一般人都在做，很平常的事，如果“净治转化”了，也变成修行。","在“双身法”方面，批评谩骂实在太多了，很难解释清楚。","但是，在大瑜伽当中，也不过是把世俗男女或居士们的淫行。","转化净治而已！","(怕就怕，那些色欲中人，假“双身法”之名，行骗邪淫而已。)","说到这里，大家应该明白，我最主要的口诀，就是“净治转化”了。","","我讲二个笑话：","老王到太太房间，对太太陪笑说：","“孩子们吵着要去动物园看老虎。”","王太太大怒：","“下这么大的雨，怎么出门？”","","老王说：","“就是嘛！所以请妳勉为其难到客厅，让孩子们，看一看妳！”","我","哈哈哈！这也是转化！","","又：","“送葬的时候，要在灵车前面走才好呢？还是在灵车后面走才好呢？”","老王回答：","“只要你不睡在棺材里，你想怎么走，就怎么走！”","哈哈哈！","转化是自由自在的！","","有一天，有人问老王：","",""
"014 召请与观想、咒印","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=440&chapter_id=c014","先讲笑话：","甲说：","“我太太执意睡前一定要学静坐，让我受到很大的困扰！”","乙说：","“她静坐还说话？”","","甲说：","“不！她坐不到三分钟，就打呼如雷响了！”","又：","妻子说：","“刚才街角处那个乞丐，脸色好难看，是不是病了？”","丈夫说：","“不是，是因为妳只扔一块钱的铜板给他！”","(哈哈哈！)","","这两个笑话，主要是为了“引伸”到主题。","在本尊的召请观想、念咒、手印上，都是有口诀的，初习者，一定要重视之。","","从三段法生说起——","先观“空”，出现“月轮”，月轮出现“咒字”(种子字)，再放光，本尊出现。","","召请本尊的重要口诀如下，我举例说明：","如果召请观世音菩萨，要观想天衣重裙飘飘然的飞舞。更细微的是，胸前璎珞及手钏均微微的动。这是口诀。","","如果召请文殊师利菩萨，要观想手上的剑，摆动着舞刺。","如果召请金刚手或其他金刚，要观想闪电霹雳，雷声“吽吽”。；","这是口诀。","","在念咒音方面：","息灾——用柔声。(慈悲)","增益——用切声。(力促)","降伏——用厉声。(怒吼)","敬爱——用喜声。(欢喜)","","在结印方面：","息灾——轻握。","增益——结实。","降伏——舞动。","敬爱——互抚。","手印要触动本尊的心，另有秘密口诀，在本文中，不一一说出，因为本尊百尊千尊，写也写不完。","","在颜色方面：","白色——息灾。","黄色——增益。","蓝色——降伏。","红色——敬爱。","这些口诀，在事部、行部的“有相瑜伽”中，运用非常广而且活泼生动。","到了瑜伽部及无上部就运用少了些，主要是“无相瑜伽”之故。","例如在入三摩地之前，如果念咒，是用“无声”的，只是在“心命之火”中，出现了咒字放光，不出声音的，就这样入了定中。","","我觉得密教很活泼的，例如本尊进入行者的心中的“入我我入”，就用了四个比喻，四部续亦如此比喻。","我","互视——行者与本尊互相对视。","微笑——行者与本尊互相欢喜。","拥抱——行者与本尊互相亲密。","密教“双身佛”的出现，根本是一种表征，是方便与智慧相结合，是相应的现象，是合一的现象，代表着一种圆满。","不用大惊小叫。","那是世间与出世间互相结合。","","","","合一——二根交接。","",""
"015 虚幻中的虚幻","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=440&chapter_id=c015","先说二则笑话：","甲女：","“妳的男朋友条件非常好，又高又帅，又是心臓科的权威医师。妳怎会跟他分手？”","乙女：","“那有什么用，他从来不听我的心声！”","哈哈哈！","","又：","一个妇女听她的朋友细述害病的过程，朋友讲得非常细，又非常认眞。","但，这位妇女听了听，竟然迷迷糊糊的打起了瞌睡。","猛然醒了过来。","","对朋友说：","“那么妳死了没有？”","哈哈哈！","(这两则笑话，非常的虚幻。)","很多人对密教的“幻身”非常的好奇，“幻身”是什么东东？","","很多人问我：","“幻身是什么？”","“幻身是很虚幻的。”我说。","如果按照一般人的说法，幻身就是“灵魂”，讲“灵魂”大家都很清楚了。","","灵魂就是“中阴”。","但“灵魂”也分等级：","鬼灵。(小力)","神灵。(大力)","精灵。(变化)","佛灵。(圆满)","等等等等。","","密教的修行，是在行者未死亡之前，把“幻身”修了出来。","幻身有时候不只一个，修出来的幻身可以有很多个，这就是“身外化身”。","","我个人以为修“幻身”最好的方法是：","“铸镜法”。","铸镜法我曾经细述过，不在这里重复述说，其口诀是：","行者自身。","本尊。","镜中的你。","(三者合一)","","在虚幻中的虚幻，“幻身”就出生了。这个“幻身”是行者自身的最细身，是心力所化，是意生身，也可以说是“精神身”。","","我告诉大家一个秘密，要修持达至佛果，是二个东西的结合：","一、“幻身”。","二、“净光”。","佛果是平等的、是甚深的、是恒在的、是唯一的、是正妙的、是清净的、是光明的、是受用圆满的。","这也就是无上的佛性。","","我请大家要注意，“那洛巴”六法中，有修“幻身法”，也有修“净光法”，这些是参考资料，而我认为修“幻身”最好的方法是：","我","“铸镜法”。","","我个人的“幻身”，可以“身外化身”，佛经里的千百亿化身，等于是千百亿幻身。记得我被瑶池金母开天眼之后，那时候，我的幻身就出现了。我的幻身去看自己的前世，游遍二十八天及六道世界，这正是幻身的游历。","","","","","","","行者要见自己的幻身，当铸镜法修成，在禅定中可以自见。","",""
"016 “无所谓”是口诀","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=440&chapter_id=c016","讲笑话吧！","有一位新婚太太，想要给出差的先生，来一个罗曼蒂克的简讯，于是，发简讯给先生：","如果你在睡觉，送个美梦给我。","如果你在笑，送给我你的笑容。","如果你在吃饭，送给我一小口。","如果你在喝酒，送给我一点酒香。","如果你在哭，送给我你的眼泪。","我爱你的一切！","","先生很快的回了简讯：","我现在正好坐在马桶上，妳要我送给妳什么？","送给妳…..。","(哈哈哈！)","","我个人觉得，这位先生不懂得幽默，如果是我，我会如此回简讯：","一、送妳黄金。","二、送妳蛋卷。","三、送妳冰淇淋。","四、送妳舒解后的快感。","(哈哈哈！)","","我实实在在的告诉大家，修行最大的口诀是“无所谓”。","“无所谓”接近于“道”。","你必须保持着“无所谓”的心，享受着一种“空”与“明”的心情。","“无所谓”不是呆瓜。","“无所谓”不是白痴。","“无所谓”不是木头人。","“无所谓”不是植物人。","“无所谓”不是毫无知觉。","无所谓是每时每刻都保持着清明的觉知，同时又安住在“空寂”的状态之下。","","简而言之：","有敏捷的反应。","又能轻松自在。","而且不计后果如何。","","例如：","我每天固定修行的功课，脚踏实地的“观修”。","至于将来成佛否？成菩萨否？成阿罗汉否？成金刚否？成护法否？成空行否？成诸天否？","","我统统：","“不理会，也不去想。”","他人损你，不理会。","他人骂你，不理会。","他人陷害，不理会。","他人赞扬，不理会。","他人歌颂，不理会。","他人颁奖，不理会。","","我只是继续我自己的“观修”。","顺境，不理会。","先","逆境，不理会。","没有什么内外，没有什么东南西北，没有什么是眞妄，没有什么是轮回涅槃，没有什么前后，没有什么是非，没有什么的什么。","这是：","妙用现前。","","我没有弟子，不理会。我有一百位弟子，不理会。我有万名弟子，不理会。我有亿万弟子，不理会。弟子来了，不理会。弟子去了，不理会。","嘿嘿嘿","哈哈哈！","这就是大圆满口诀当中的“明空”，因为是“明空”，所以“无所谓”。","随缘任运。","我全然不理会。",""
"017 修法的基本模式","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=440&chapter_id=c017","教修法仪轨，有基本模式，大约是：","一、恭敬礼拜。","二、呈献供养。","三、持诵〈四皈依咒〉。","四、忏悔罪障。","五、发四无量心(慈、悲、喜、舍)。","六、祈请诸佛转法轮。","七、请佛住世不入涅槃。","八、观空。","九、观想本尊。","十、持咒。","十一、入三摩地。","十二、诵赞。","十三、回向。","十四、诵〈百字明〉(补阙)。","","这样子的修法仪轨，一至七项被称为“前行”；八至十一项被称为“正行”；十二至十四项，被称为“后行”，这是完整的修法仪轨了。","一般的喇嘛上师，把这一套仪轨用在于平日的修法上。","另外，也可以用在祈福祈愿法会上，也可以用在超度亡魂上。(加上诵经)","至于开光，绕礼寺塔，也一样可以用得上。也有很多藏于山林洞窟的瑜伽士，他们也可以每日修如此的仪轨。","","至于加上修气、修脉、修明点，或专修拙火，也一样可以用于祈请：","上师加持。","本尊摄受。","护法拥戴。","当然，仪轨是人定的，自然也可以增加某些自己想诵念的。如果是在旅行的舟船飞机汽车之上，当然也可以只修“正行”。这一切情形，依时间地点而定。","","四部密续必须学习正规的仪轨作法，像立坛城(曼陀罗)。","制作“供品”的技术。","事部仪轨。","行部仪轨。","瑜伽部仪轨。","无上部仪轨。","另外，各种本尊，都有不同的教规，虽有大同小异之分，但也要注意其特别之处，显示其互异的部分。","","密集金刚、胜乐金刚、喜金刚、大威德金刚、大幻化网金刚、时轮金刚……等等等等，其修持法并非完全一致，有同有不同。其中有很多的幽微及深奥之处，不可不知。","","不管修法仪轨如何，行者必须要有信念，有大前提，这离不开宗喀巴大师的“三主要道”：","一、出离心。","二、菩提心。","三、中观正见。","","我今天写了这么多，其实每一小项都有口诀，口诀非常多，这些全是走过来的经验，如果没有一位够格的上师教导，我认为，密教修行其实非常不容易。","","我讲一个笑话：","滴酒不沾是俗子。","浅尝即止是君子。","有酒必喝是呆子。","每喝必醉是疯子。","喝酒开车是阎罗王的儿子。","哈哈哈！","密","一个“酒”字，学问何其大哉！","","","","","","","","","","",""
"018 大礼拜有何利益","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=440&chapter_id=c018","弟子问我：","“西藏人从自己的故乡去拉萨朝礼大昭寺、小昭寺，三步一拜，到底有何益？”","","我答：","藏人的三步一拜，这一拜是全身投地的大礼拜，与中土的跪拜有不同。","前者是全身投地(全拜)。","后者下跪顶礼(半拜)。","藏密的大礼拜是属于前者。","大部分的藏人，做大礼拜，有的是去朝礼寺庙，有的是去朝礼圣山，有的是朝礼圣湖，绕寺、绕塔、绕山、绕湖。","","其利益有：","坚定自己修行的决心及毅力。","获得修行的资粮。","理解人身的可贵。","锻炼体魄。","断恶行善。","训练一心。","降伏行者自己的傲慢。","结佛缘。","等等等等。","","弟子问：","“哇！这么多的利益，想也没有想过！那卢师尊，你认为哪一项最重要？”","","我想了一想，答：","训练一心及降伏自己的傲慢最重要。","因为，做大礼拜时，全神贯注在头、手、脚、全身。动作一致的时候，就不容易产生了妄念，没有妄念，就是一心。","另外，行者全身投地，就是置身于卑下，自己顶天俯地，那是表现最大的恭敬，傲慢的心就消失了。","","我们行者的修心，主要是断除贪念、瞋念、痴念、疑念、慢念。","这个傲慢的心不除，就有了骄傲，我们晓得骄傲会成了“阿修罗”道，会有斗争的心，斗争使我们不知不觉变成魔。","","弟子问：","“大礼拜有什么口诀吗？”","我答：","我个人的经历如下：","我做大礼拜时，口中诵：","“南摩三十六万亿，一十一万九千五百同名同号阿弥陀佛。”","","心中念：","“眼前阿弥陀佛千百亿化身，出现在对面虚空。”","如此一个大礼拜。","等于念了无数的佛号。","等于拜了无数的佛。","如此：","资粮无尽。","功德无尽。","","我讲一则笑话：","妻子说：","“我们结婚多年，你不曾对我说过好话，缺点却全讲出来了，但，你也该讲一讲我的一些优点啊！”","有","丈夫说：","“除了缺点，那剩下的就是优点！”","","“那就说吧！我有什么优点？”","丈夫说：","“哎！那有什么好说的！”","","我的意思是说：","","妻子说：","一个行者，多做大礼拜，少说无聊的废话。",""
"019 由一变多的供养秘密","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=440&chapter_id=c019","教修行，有很多种的成就，但总归纳起来，有三大成就：","一、持明成就。","二、护摩成就。","三、三摩地成就。","第一个成就是持咒到出现大净光。","第二个成就是火供养到福德圆满。","第三个成就是三摩地中明心见性的大成就。","","又有人说：","“密教的修行，统归供养，因为供养法，是第一重要的。”","","密教有大曼达供养法，这个“供曼达”我认为是把整个宇宙浓缩成一个曼达，而在曼达上，放上殊胜的供品。","曼达盘有多层：","上面立着法轮——象征宇宙最高的光明成就。","中央摆满供品——金、银、珠宝、药材、米。","底盘——石头、沙子。","西藏密宗的大曼达供养，有修法仪轨，仪轨繁复。(宜请教金刚上师)","另有三十七供。","坛城立八供。","五堆供。","米供。","水供。","火供。","等等等等。","","有弟子问我：","“供养的目的为何？”","我答：","“是积聚福德、智慧之资粮。”","","弟子问：","“重点是什么？”","我答：","“重点是心力，只要尽心尽力，就是最好的供养了。所以供养的功德，并非来自于七珍八宝，而是取决于自心。有广大的发心，就有广大的功德。”","","我告诉弟子，我的经验是：","我修供养法是“身、口、意供养诸佛、菩萨、金刚、护法、空行、诸天、六道……。”","身的清净供养。","口的咒语供养。","意的观想供养。","食的供养，凡一切食物，要吃前先供养，用心力，化为供养云。","衣的供养，凡着衣，将衣物用心力，化为供养云。","住的供养，将房子、物品、寝具，一一化为供养云。","行的供养，将车子及一切交通工具，一一化为供养云。","凡一切乐事，将快乐的意悦，一一化为供养云。","首饰珍品，将一切七珍八宝，一一化为供养云。","……。","","我实实在在的告诉弟子，你将你的一切，一切行为，一切修行，一切日常生活，全部化为供养云，由一变多。","(这就是口诀)","","密","我说：","将来我若转世为人，我仍然是世界第一：","我将一块金子，化为金山。","我将一块土，化为地球。","我将一美女，化为十方三世的仙女。","我将一心，千变万化。(广大的发心)","我成就了佛。","","","我将一口食，化为无尽的佳肴。","",""
"020 开启慧命之门","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=440&chapter_id=c020","不觉得吗？现代人的生命有它的规则性，从生到死，每个人都差不多。","出生。","婴儿时期。","求学时期。","事业时期。","婚姻时期。","生男生女时期。","老人时期。","死亡。","","也就是我常写的：","一岁——出场亮相。","十岁——学业至上。","二十岁——青春荡漾。","三十岁——职场闯荡。","四十岁——稍微发胖。","五十岁——老当益壮。","六十岁——血压向上。","七十岁——偶而遗忘。","八十岁——摇摇晃晃。","九十岁——迷失方向。","一百岁——挂在墙上。","大家都差不多，你说有何意义？","","我认为：","“只有修行，才能解脱人生的一切烦恼，佛法才是开启慧命之门。要能不受轮回，直至涅槃，成为一个悟者，唯修行耳！”","","修行的开始，得先皈依金刚上师、皈依佛、皈依法、皈依僧。","下士皈依——惧怕畜生道、饿鬼道、地狱道的痛苦，求人天的安乐。","中士皈依——为了摆脱轮回，求取涅槃。","上士皈依——为了救众生脱离苦海，普度众生。","","要生起信心皈依：","有些人是看了我的书，及听了我的佛法。","有些人是有了感应，及我的加持使痛苦消除而皈依。","有些人是看到他人确有感应而皈依。","","我个人觉得，很多人有初发心，但，没有长远心，这是人的通病。如果人没有很坚定自己的信念，半途而废的人也非常多。因为人心会变，这是心的无常，我常说，人心如水，流来流去，所以，一下子皈依这个，一下子皈依那个，一下子信，一下子不信，根本就是正常的现象，不足为奇。","","所以密教规定：","要诵满十万遍的〈皈依咒〉：","南摩古鲁贝。(皈依金刚上师)","南摩布达耶。(皈依佛)","南摩达摩耶。(皈依法)","南摩僧伽耶。(皈依僧)","我的皈依是因为瑶池金母帮我开启“天眼”，见到了自己的前世大白莲花童子及净土，从此一心学佛、一心学法、一心向善。","","我信心不退的原因是：","一、眞实见。","二、有感应。","三、有法力。","你","四、能度众生。","五、明心见性。","六、成佛。","将来圣弟子学习眞佛密法，也达到了我的六种能力，自然也是信心不退的。","这才是长远心的圣弟子。","我为了度众生，有必要令弟子有感应，使之成为信心坚定的弟子。","","皈依能不退转的口诀是：","聪明的弟子，当能看出我的努力不懈，看出卢师尊的成就。","如果我的圣弟子，确信“莲生活佛卢胜彦”确实能如此。","“感应生起信心。”","若不能，你仍然是水，流向东南西北，哪边凉快哪边去。"
"021 诵金刚萨埵咒","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=440&chapter_id=c021","常常教人诵〈金刚萨埵咒〉：","短咒：嗡。班杂。萨埵。啊。吽。呸。","长咒：百字明咒。","我们晓得，从“本初佛”到“五方佛”，从“五方佛”到“金刚萨埵”。","所以“金刚萨埵”是五佛的法王子。","密教金刚乘是以“金刚萨埵”为教主。","","金刚萨埵的咒，有二大意义：","一、“空”。","二、“明空”。","诵〈金刚萨埵百字明〉，就是忏悔的大法。","","为什么要忏悔？","因为众生“起止动念”无不是罪。","另外，每一个人，今世或无数的前世，都积下了无数恶业，恶业不忏悔，就会成了障碍，障碍修行不成，便堕入三恶道。","这是我们修忏悔法的主要原因。","","我说：","先观自己的顶轮之上有千叶白莲花，白莲花上有金刚萨埵双身。","金刚萨埵心际有“吽”字，周遭有〈百字明〉咒字。","行者诵〈百字明咒〉，观想咒字，变白色甘露，白色甘露自顶轮，源源而入，体内一切疾病化为黑血，一切魔障化为毒虫，一切恶业化为黑气。","从：","足底。","肛门。","毛孔。","排了出去。","行者自身清净圆满。","诵〈百字明咒〉，七遍，或三七遍、百〇八遍，愈多愈好。","最后，诵〈忏悔文〉。","","我个人觉得，修忏悔法的至要口诀，就是：","“眞心忏悔！”","忏悔不是形式，也不是仪轨，而是“一心诚意”的行法。","圣贤有言：“罪由心起将心忏。”","","金刚萨埵曾发大愿：","“如果有众生造五无间罪，破坏三昧耶誓言，一旦他们能听到我的名号，对我有虔信，念诵咒王〈百字明〉，则一切罪障清除无余。”","","我认为：","忏悔法以金刚萨埵为第一。","","最后我告诉大家一个重要口诀：","忏悔法如果罪障涤除，一定有忏相出现，其忏相是：","梦见吃白物吐黑物。","梦见肛门拉黑血秽物。","梦见毒虫从毛细孔爬出。","梦见黑气逸出体外，或从足底。","自己看见自己全身透明，清净光四射。","自己脚踏莲花或骑天马。","飞行虚空。","梦金刚萨埵或本尊来摩顶。","我","本尊授记……。","以上就是忏悔法的忏相。","","有一家人准备外出旅行。","太太慢条斯理的挑选衣服整装。","","先生等得不耐烦，大叫：","“快，不要再拖了！”","儿子在旁插嘴：","我讲一则笑话：","","“爸，妈妈是在穿衣服，不是在脱衣服。”"
