"chaptername","chaptername href","chapterbody","chapterbody 2","chapterbody 3","chapterbody 4","chapterbody 5","chapterbody 7","chapterbody 8","chapterbody 9","chapterbody 10","chapterbody 11","chapterbody 12","chapterbody 13","chapterbody 14","chapterbody 15","chapterbody 16","chapterbody 17","chapterbody 18","chapterbody 19","chapterbody 20","chapterbody 21","chapterbody 22","chapterbody 23","chapterbody 24","chapterbody 25","chapterbody 26","chapterbody 27","chapterbody 28","chapterbody 29","chapterbody 30","chapterbody 31","chapterbody 32","chapterbody 33","chapterbody 34","chapterbody 35","chapterbody 36","chapterbody 37","chapterbody 38","chapterbody 39","chapterbody 40","chapterbody 41","chapterbody 42","chapterbody 43","chapterbody 44","chapterbody 45","chapterbody 46","chapterbody 47","chapterbody 48","chapterbody 49","chapterbody 50","chapterbody 51","chapterbody 52","chapterbody 53","chapterbody 54","chapterbody 55","chapterbody 56","firstcharacter","chapterbody 57","chapterbody 58","chapterbody 59","chapterbody 60","chapterbody 61","chapterbody 62","chapterbody 63","chapterbody 66","chapterbody 67","chapterbody 68"
"013 A Surgery in Dream","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000016&chapter_id=c013","was administering mo-ding between two long queues of people. There were really many people.","Sheng-yen Lu","A gentleman hurried towards me shouting at the same time, “Please excuse me. Let me through.”","","People replied, “We are all waiting in line. You also need to wait in line. Just go to end of the line!”","The man said, “I have kidney stones, and I am in great pain now. I cannot wait. Please help me. Grand Master Lu, please help me. Come on! Come on!”","","I raised my head to take a look at the man. Beads of perspiration glistened on his brow. He was shouting, “It hurts, it hurts, it hurts.”","","I walked out of the crowd, and I started chanting:","","Heaven is round and earth square,","Nine codes of law and ethics,","I now cast the spell,","To give you peace.","","I lightly tapped the man’s back over his kidneys. And I chanted the mantra: Om, si-ba-wa, su-da, sa-er-wa, da-er-ma, si-ba-wa, su-do-hang.” (This is the Emptiness Mantra. I also visualized the kidney stones turning into emptiness.)","","After tapping him a few times, the gentleman suddenly stood up and said, “It doesn’t hurt anymore! The pain is gone! Thank you! Thank you!”","","When the crowd witnessed this, everyone was wowed.","","Even stranger, that same night, after this man returned home, he had a dream. Several people suddenly walked into his room and called out, “Surgery! Surgery!”","","The man said, “I don’t want surgery!”","","Those people said, “Grand Master Lu has tapped your kidneys a few times to stop the pain, but it was just symptomatic relief. You will still have recurrent pain in the future. We are celestial doctors coming to perform surgery on you.”","","The man said, “I only believe in Grand Master Lu!”","","Those people said, “It is because of your belief in Grand Master Lu that we have come.”","","Without further explanation, the celestial doctors surrounded the man and started working.","","One opened his abdomen.","One took out his kidney.","One removed all the kidney stones by picking them out - pointed ones, round ones, odd-shaped ones. Then he swiped his hand over the incision of the kidney, and the kidney healed.","","Another placed a hand on his abdomen, and the incision wound also healed immediately.","","The man saw these surgical procedures vividly, but he did not feel any pain.","","One of the celestial doctors wore a white cap, white mask, and white robe, and he stood on the sidelines observing everything. At the end of surgery, this celestial doctor removed his mask.","","The man then saw his face, and he exclaimed, “It is you, Grand Master Lu!”","","With this yell, he awoke and realized it was only a dream.","","This man subsequently went to the hospital for a checkup. The doctor said, “How strange! All your kidney stones have vanished! Your previous ultrasound images showed numerous stones. Now, there is nothing there.”","","The man hurriedly came to tell me the result of the examination.","","","●","","I","I said, “Life is but a dream, isn’t it?”","","","","","They listened to my dharma teaching and found it full of dharma taste.","","","",""
"014 The Affliction of Nasal Allergies","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000016&chapter_id=c014","he Wu family has three children, two boys and one girl, who all had nasal allergies. Their parents did not pay much attention to it initially. However, when their allergies worsened, they realized something was wrong.","","As soon as they hopped out of bed, their noses started dripping.","","They would sneeze.","Their heads swam.","","They had trouble concentrating on their homework.","","They caught colds and came down with fevers and coughs easily. They had bad moods.","","They went to see medical doctors, but there was not much improvement. They saw traditional Chinese doctors, also without improvement.","","They had running noses, sneezing, nasal congestion, and trouble breathing on a daily basis….","","It was a great nuisance to continually wipe their noses with bathroom tissues.","","Someone suggested they take preventive measures, such as wearing a mask after getting out of bed, keeping the body warm, rinsing the nasal passages, and taking allergy pills.","","At first those suggestions seemed to help. But after a while, their allergies would flare up again. It got to the point that nothing seemed to help.","","These allergies became chronic illnesses which gave their parents a huge headache.","","Someone then told them that Living Buddha Lian-sheng Sheng-yen Lu would be administering mo-ding after the dharma ceremonies at the Lei Tsang Temple in Caotun, and many people with difficult and complicated illnesses were cured afterwards.","","The Wu parents were incredulous and said, “Can such things be possible? What kind of power is that?”","","The messenger said, “It is Buddha power!”","","The Wu parents still did not believe that a mere laying of hand on the head would cure an illness. Wasn’t that just too outrageous?","","But, the bearer of the message said, “Why don’t you give it a try? After all, what is there to lose?”","","So one Saturday, the entire Wu family attended a homa (fire offering) conducted by me at the temple.","","They found the entire ceremony very majestic.","","They listened to my dharma teaching and found it full of dharma taste.","","Finally, they stayed behind to receive the administering of mo-ding. They did not expect to find up to ten thousand people also beseeching mo-ding.","","When I came upon their family, they called out, “Grand Master Lu, can you touch our noses?”","","I asked, “What’s wrong with your noses?”","","They replied, “Nasal allergies!”","","My hand touched the three children’s noses. My hand vibrated slightly and a hot stream of cosmic energy entered their noses.","","After tapping three times, I walked away briskly.","","They called out, “Please touch a few more times!”","I turned my head and said, “That should do it!”","","After the Wu family returned home, the next morning a strange thing happened. The three children’s nasal allergies were gone.","T","","They remained symptom free the next day, the next week, and the next month. They were cured!","The Wu family commented, “It was indeed very miraculous!”","I said, “There are so many efficacious responses. Buddha power is indeed miraculous!”","","","","●","When I heard it, I also found it serendipitous, and an incredible miracle.","Sheng-yen Lu"
"015 You Will Definitely be Admitted!","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000016&chapter_id=c015","student by the name of Ya Jing was applying for a doctoral program at a famous university. He brought his application file to me for a blessing. When my hand touched the documents, I sensed a bright light.","","I said to Ya Jing, “You will definitely be admitted!”","","Ya Jing said, “I am just giving it a try. I am not that hopeful because my scores are below the admission standard.”","I said, “This is an ironclad admission. I can feel it!” “Really?”","","Ya Jing asked.","","“Yes,” I said.","","Although the applicant himself was skeptical, I told him right off that he would be accepted. I did not just see a bright light, I also saw Guanyin Bodhisattva appearing with a smile, nodding to me.","","After Ya Jing submitted the application, the school soon notified him that they were rejecting his application because his grades and scores were sub-par.","","Ya Jing thought to himself, “Grand Master Lu had blessed my application file and he kept saying I would be admitted. But now I am rejected.","","So evidently Grand Master is sometimes inaccurate too. It looks like one should discount his claims to absolute accuracy in spiritual divination.”","","He kept his thoughts to himself. But his heart was full of regret. If he had not asked Grand Master Lu for a blessing in the first place, this embarrassing thing would not have happened.","","How upsetting!","","He had shared Grand Master Lu’s prediction of his admittance with many other people.","","Now, how was he going to justify this rejection?","","Three months later, Ya Jing again received a letter from that university stating the following: One of the students admitted into the doctoral program had come down with a severe illness and was unable to continue. Although Ya Jing did not achieve a certain score in a requisite course, and although his grades did not reach the admittance standard, he nonetheless did well in other subjects. Therefore, the university would admit him to the doctoral program and appoint a professor to tutor him.","","Heavens!","","“He was admitted to the program after all!” This was something very incredible.","","Ya Jing was overjoyed!","","Ya Jing jumped exuberantly.","","It was like running up against a stone wall, followed suddenly by a beautiful vista opening up to him. He was admitted.","","Ya Jing hurried to the Taiwan Lei Tsang Temple to tell me the news.","","When I heard it, I also found it serendipitous, and an incredible miracle.","","However, during the empowerment of mo-ding, I based my predictions on evidence:","","I saw a bright light, not a swirl of darkness.","","I saw Guanyin Bodhisattva, not a rakshasa. I saw a smiling face, not a face of tears.","","Thus I had said, “You will definitely be admitted.”","","I often pray: “Allow me to truly help people. May my psychic abilities provide reliance for sentient beings.”","●","","Reverend Yiming had chanted the Guru’s Heart Mantra over eight million times.","A","","Sheng-yen Lu","","","","","","","",""
"016 Relics Filling the Body","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000016&chapter_id=c016","n olden days, when spiritual cultivators reached a certain level of achievement, at the time of metamorphosis, many auspicious phenomena occurred.","","1. The entire body transformed into rainbow lights appearing in the sky.","2. Except for the remains of hair and nails, the rest of the body transformed into rainbow lights.","3. The body would be filled with rolling relics.","5. Relics adhered to the top of the skull.","6. Relics appeared at joints.","7. The heart turned into a relic.","8. The tongue turned into a relic.","9. Blood turned into a relic.","10. Fingers turned into relics.","","And so on…","","Among my students, there was an elderly monk who lived in Montreal, Canada.","","His name was Reverend Yiming and he was in his nineties.","","In the summer of 2012, Rev. Yiming flew from Montreal to Seattle to see me. It was the last time I saw him. I chatted with him for a little while on the lawn outside True Buddha Quarter.","","“Rev. Yiming, how are you doing lately?","","He replied, “Fine! Fine! Fine!”","","I looked at his face.","","His complexion was rosy, his brows white, his face rectangular, and when he smiled, he looked like a little child.","","I asked him, “How is your health?”","","He replied, “My legs feel a little weak. I lean on a crutch when I walk now. Well, well! I am old!”","","I gave his shoulder a tap and said, “Reverend, you are a great adept. You will go to the Buddha’s Pure Land in the future.”","","Reverend Yiming replied, “Grand Master Lu, please escort me there!”","","I said, “This time I shall escort you. Another time, you will escort me.”","","Reverend Yiming said, “How can that be?”","","I replied, “In the future, you will have many relics. I guarantee that sariras will fill your entire body!”","","I spoke again, “Let’s have a picture taken at the door of the True Buddha Quarter. This is a reunion for the two of us after many lifetimes together.”","","I knew that:","","Reverend Yiming had chanted the Guru’s Heart Mantra over eight million times.","","He had chanted the High King Avalokitesvara Sutra and the True Buddha Sutra several thousand times.","","He had practiced countless sessions of Guru Yoga, Personal Deity","(Yidam) Yoga, and Heruka Yoga.","He had attained extraordinary accomplishment in the inner practices.","","His body, speech, and mind were purified. His wind, channels, and drops were purified.","I","","(He had already attained the fruition of arhathood.)","Although he was in his nineties, Reverend Yiming had attended every Kalachakra Dharma Ceremony I had conducted.","On May 15th, 2013, when I flew to Seattle from Taiwan, I learned that Reverend Yiming had passed away.","","","","After the cremation, his entire body turned into sariras, tens of thousands of them, each one the size of a rice grain.","During the group practices I have since conducted, Reverend Yiming has appeared seven times to me. In his last appearance, he transformed into an awakened arhat and soared into the sky.","Someone asked, “Why was Reverend Yiming able to attain such great accomplishment?”"
"017 Why Didn’t I See the Maha Twin Lotus Ponds?","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000016&chapter_id=c017","female student learned that after another student had chanted the Padmakumara Heart Mantra eight million times, that person had a vision of traveling to the Maha Twin Lotus Ponds.","●","Grand Master Lu has said, “By chanting the Padmakumara Heart Mantra eight million times, one will be reborn to the Maha Twin Lotus Ponds and witness the Pure Land.”","","So she started chanting the mantra.","When she finished chanting seven million times, she did not see anything. When she reached 7.99 million times, she still did not see anything. Finally she indeed reached the eight millionth time, and she almost jumped out of her seat.","","At the sound of the eight millionth chanting of the mantra, in a flash, before her eyes myriad white clouds appeared emitting brilliant lights.","","In the middle of the lights a Wish-granting jeweled tree appeared.","","Padmasambhava sat in the middle of the jeweled tree.","","Above Padmasambhava’s head were the ancestor gurus.","","Samantabhadra Tathagata whom she recognized was sitting at the uppermost position.","","Directly in front of Padmasambhava was Shakyamuni Buddha surrounded by many buddhas of the three times and ten directions.","","To the right of Padmasambhava were the Three Masters of Reliance - Manjushri, Vajrapani, and Avalokitesvara.","","To the left of Padmasambhava were Shariputra, Maudgalyayana, and the holy assembly of arhats and pratyekabuddhas.","","Appearing in the space between the branches and leaves of the Wish-granting jeweled tree were vajra wisdom-kings and dharmapalas. The male vajra wisdom-kings faced outwards while the female ones faced inwards.","","By her estimation, thousands of buddhas, bodhisattvas, herukas, dharmapalas, dakas, dakinis, and devas appeared in that vision. It was impossible to count them.","","She came hurriedly to tell me, “What was that I saw?”","","I replied, “It was the Wish-granting jeweled tree, the Refuge Tree.”","","She asked, “Why didn’t I see Maha Twin Lotus Ponds?”","","I replied, “The Wish-granting tree grows in the water of eight virtues. The water of eight virtues is equivalent to the Maha Twin Lotus Ponds.”","","She said, “I don’t care. It only counts if I can see the eighteen Mahapadmakumaras in the Maha Twin Lotus Ponds!”","","I laughed, “Do not be so stubborn. You have chanted the heart mantra eight million times and indeed saw thousands of buddhas, bodhisattvas, herukas, dharmapalas, dakas, dakinis, and devas. You should find that satisfactory.”","","She insisted, “But I wanted to see the eighteen Mahapadmakumaras in the Maha Twin Lotus Ponds! Only that will count.”","","For a moment, I did not know how to respond.","","I then said, “Alright! Let me give you a mo-ding. See if anything will happen!”","The next day she came back and said, “After the mo-ding, there was nothing. I still did not see the eighteen Mahapadmakumaras in the Maha Twin Lotus Ponds.”","","At that point, I was also stumped.","","I then invoked my Yidam to descend.","","The Yidam told me, “Ask her to chant the True Buddha Sutra three times before coming back for another mo-ding. She will definitely get a vision then!”","","","This time, she ran excitedly up the hill to tell me, “I saw it. I can testify that it is true!”","","A","I relayed the words of the Yidam to her.","","","","Sheng-yen Lu","I found it strange that she did not have a vision after the first mo-ding. Only after the second mo-ding was she able to have a vision. Later I learned that she had once taken home three copies of True Buddha Sutra and tossed them casually into the newspaper heap. Because of this, she needed to chant the True Buddha Sutra three times before receiving her vision!","Third, chant my heart mantra. If he tries to get close, he will be bounced.","","",""
"018 Someone Sleeping Next to Her","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000016&chapter_id=c018","Miss Xu told me a very troubling story.","","She recently attended the funeral of her good friend’s brother. While riding a motorcycle, this man was hit from behind by a car and flew off the road into the valley below and died.","","When he was alive, the young man had shown interest in her, and they had gone on outings such as picnics and camping trips together. But, they had not reached the stage of considering each other boyfriend and girlfriend. Each time they met, it was in a group setting with many people around.","After the funeral, she went home. It was raining that day, and the house felt cold. It made her gloomy and she thought to herself, “My house is normally very warm. I wonder why it is so chilly today?”","","The funeral lingered on her mind.","","The sad eyes in the photo of the deceased at the funeral parlor seemed to follow her.","","After taking a hot bath, she felt a little more comfortable and went to bed.","","In the middle of the night, something happened.","","She woke up suddenly and felt that someone was sleeping next to her. Half-awake, she took a look and was surprised to see her good friend’s brother.","","His body was light blue.","","Blood was seeping out of his seven orifices. He spoke to her, “Marry me!”","","She screamed and woke up completely.","","She took another look again at the bed yet no one else was there. He had vanished.","","Then, the following events happened, always in the middle of the night.","","She saw her good friend’s brother flying above her bed saying, “Marry me!”","","She turned over in her sleep, and her hand would land on a cold corpse. It was him again, saying, “Marry me!”","","While asleep, she would feel something pressing down on her. She would push it away, and when the person soared into the air she saw that it was him again, still saying the same words, “Marry me!”","","These events occurred every night for almost a month.","","It was so devastating that she felt she was going to have a nervous breakdown!","","Furthermore:","","In the middle of the night, the refrigerator door would open on its own.","","At night someone would knock on the door, and when she opened it, no one was there.","","The toilet flushed on its own.","","She heard the sound of showering in the bathroom, but when she looked, no one was there.","","When she woke in the morning, all the windows would be open.","","Her slippers disappeared. Someone had tossed them into the garbage can……","","Miss Xu came to seek me, “Grand Master Lu! What should I do? He is practically living in my home.”","I said, “He is not just living in your home. He is following you wherever you go. He is standing next to you right now.”","","How scary!","A","","Miss Xu said, “What should I do?”","I said, “This is a very minor thing. First, I will use the Four Vertical-Five Horizontal Seal to empower a sacred boundary around you. He will be unable to get close to you. Second, install the Kalachakra vajra shields in the four corners of your home. He will then be unable to enter your home. Third, chant my heart mantra. If he tries to get close, he will be bounced.”","Miss Xu carried my instructions out.","","","","Indeed everything became tranquil and normal again.","Later, one night, he started following me. I turned around with my hands holding the Transmigration Mudra. His soul body was sucked into the mudra and he was sent through the wheels of transmigration to his next life!","Hahaha! I laughed aloud."
"019 A Statue of City God Appearing in the Palm","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000016&chapter_id=c019","his is the story of a man who held no religious beliefs. He was a professional soldier who had an impoverished childhood.","","After enduring much hardship, he applied to military college. After graduation, he led a military life.","","Military life was simple, and he was a simple person.","He had never touched cigarettes, liquor, or gambled.","He had never visited places offering sensual pleasures.","He also rarely indulged in eating, drinking, or entertainment.","","He enjoyed reading, learning, and quietude. He went to the movies occasionally.","","During his military training, he had developed a very strong willpower. He preferred to lead a disciplinary life with unblemished habits.","","To him, living a life of peace and few desires was no different from living the life of a Buddhist who chanted sutras and strictly followed Buddhist precepts.","","Hence, he did not believe in anything!","","His friends tried to persuade him to become a Buddhist, but he was unmoved.","","Every day, he went to work without demanding any luxury from life.","","One day, after a bowel movement, he saw fresh blood in the toilet. He was terrified. This happened continuously for several weeks.","","He went to the drug store to purchase some over-the-counter medicine for intestinal inflammation. It did not help.","","He went to a clinic to see a doctor and was prescribed an antibiotic. It did not help.","","Finally, a colonoscopy revealed colon cancer. The attending physician advocated surgical resection.","","He was worried there would be complications after resection of the bowel.","","Someone told him about Grand Master Sheng-yen Lu at the Lei Tsang Temple at Tiger Hill in Caotun. Many miracles happened to people after receiving mo-ding from the Grand Master.","","He scoffed, ""This is a bright world, yet so many people spread fallacies to deceive others!""","","When his acquaintance urged him to give mo-ding a try, he said, ""Many people have criticized Sheng-yen Lu, and rumors surround him. I am not interested in going to see him.""","","Failing to persuade him, his friend left but decided to give him a book, Seventy Spiritual Dreams, written by Grand Master Sheng-yen Lu.","","He started reading the book and found the stories quite refreshing.","","Later, his friend came back to persuade him to visit me. Finding it difficult to decline his friend’s kind intentions, and because the trip did not cost much, he decided to give the suggestion a try.","","When I placed my hand on his head, I saw a statue of the city god, Cheng Huang, appearing amidst light in my palm.","","I said to him, ""The city god Cheng Huang has come to help you!"" (Cheng Huang is the local earth deity.)","","He replied, ""Nonsense. I don’t believe in any religion. Where did this Cheng Huang come from?""","","""Have you ever made offerings to him?""","","""Of course not!"" he replied.","I asked him, ""Are you sure there is no connection? Try to remember, give this some thought. There must be some connection.""","","This officer suddenly jumped up and said, ""I remember now. When I was small, the Cheng Huang Temple was next door to our house. I often went to play in the temple and emulated the adults by joining my palms and nodding my head to him. On one occasion my parents installed an annual lamp at the City God Temple for me.""","T","","Oh heavens!","This was remarkably accurate!","In his entire life, the City God was the only deity he had ever joined palms to pay homage to.","","","","After receiving mo-ding from me, his cancer miraculously started shrinking and eventually vanished. The attending physician wanted to perform surgery, but could find nothing to operate on.","He came to thank me and took refuge in me. I said, ""Go thank Cheng Huang!""","He replied, ""The Cheng Huang Temple is in Penghu. I will indeed go and thank him when I am free!"""
"020 The Angel Gabriel","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000016&chapter_id=c020","n May 22, 2013, I was at the Ling Shen Ching Tze Temple in Redmond.","","Early morning on the 22nd, while sleeping, I dreamt of a man with a pair of white wings, someone who would be referred to as an angel in Catholicism or Christianity.","","This angel said to me, “I am the angel Gabriel.”","I asked, “Is there anything you need?”","","The angel said, “You will know when the time comes.”","","In this dream state, all I heard was the name of the angel Gabriel, and I was unaware of anything else.","","The evening of the 22nd, after finishing dinner, an old man walked up to me with a walking staff and asked me for a blessing. He handed me a slip of paper.","","The paper read: “I have fallen more than ten times this week. A scan found a big blood clot in my brain. The doctors have said that this blood clot needs to be removed in order to cure my falling. Grand Master Lu, please give me a blessing.”","","I immediately extended my hand and placed it on his head.","","I focused my mind on visualizing my Yidam Golden Mother of Jade Pond to descend. But, Golden Mother did not arrive and instead the angel Gabriel appeared. The angel Gabriel wanted to help this old man with a walking staff.","","A flow of cosmic energy streamed through my palm continuously into the old man’s head.","","I spoke, “A miracle will happen! You will be well!”","","On May 23rd, this old man went to the hospital to repeat the scan. After the first scan, the blood clot was not seen. The doctors did a second scan, and they still could not see any clot.","","They reviewed the previous scan for comparison. Last time, there was a large blood clot on the scan. But these two new scans showed nothing.","","The doctor called out, “How odd!”","","Another doctor said, “This is inconceivable!”","","The old man called to say that he would come in a few days to thank me.","","Several days later when he arrived, I asked curiously, “Who is the angel Gabriel?”","","The old man replied, “I don’t know.”","","I asked, “Do you have a statue of an angel at your home?”","","The old man thought for a while and said, “My son went one time to Syria on a business trip and saw a wooden sculpture of an angel in an antique store. He found it very beautiful and purchased it. After he returned, he casually placed it somewhere in the house. I saw that it was an angel with wings and felt that it must be something sacred. I placed it in the uppermost shelf inside a cabinet to show my respect. I did not know if it was a Catholic or Protestant angel.”","","Finally I went to look up information on the angel Gabriel myself. The information I found was amazing!","","According to Islam, when Mohammad was forty years old, while on retreat in a mountain cave, the Cave of Hira, three miles from Mecca, an angel had appeared to him confirming him as a prophet from the true lord Allah and revealed that the truth he was to spread was contained in the Quran.","","The name of this angel of revelation was: Gabriel!","","●","","The following night, Guanyin Bodhisattva again spoke to her, “Ask Grand Master Lu to stroke your belly!”","","Sheng-yen Lu","","","","O","","","","","","","","","",""
"021 Ask Grand Master Lu to Stroke Your Belly","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000016&chapter_id=c021","young pregnant woman was suffering from nausea and vomiting. She was so uncomfortable that she felt that the fetus inside would fall out! She even had occasional spotting.","","She went to see the doctor.","","The doctor said, “There is a chance you may have a miscarriage. You should stay in bed to keep the baby.”","So, following the doctor’s instruction, she did less walking and spent most of her time lying in bed.","","This young woman was a Buddhist. A nun from the Puji Temple visited her and told her:","","1. Chant the Great Compassion Dharani and drink the Great Compassion Dharani Water.","","2. Chant the “Universal Gate” chapter from the Lotus Sutra as it helps women in slow and difficult deliveries.","","3. Chant the Medicine Sutra as it can cure illnesses.","","The woman chanted the Great Compassion Dharani, the “Universal Gate” chapter, and the Medicine Sutra as instructed by the nun.","","The result turned out well. After two months of bed rest, the fetus stabilized and she no longer felt it would drop out. She also felt much more comfortable.","","She went to the Puji Temple to make offerings to the sangha team.","She attended dharma teachings.","She sprouted bodhicitta and registered as a sponsor to the temple.","","A nun explained to her how the Buddhadharma is most effective in curing diseases. She was joyous to hear it.","","Around the time of her seventh and eighth month of pregnancy, during a routine checkup, the doctor discovered that the baby was in breech presentation. Before delivery, a baby’s head should face down and feet up, but in her case, the feet were down and the head was up.","","The doctor gave her some pictures illustrating the kind of exercises she had to do to remedy the situation. The exercises would cause the baby to slowly turn around, so that its presentation would be head-first at birth.","","The young woman worked very hard on the exercises.","","As the delivery date got closer, the obstetrician did an ultrasound scan and discovered that the baby had moved into a head-first position. How wonderful.","","But, when the doctor placed his stethoscope on her abdomen, he found that he could not hear any heart beats.","","He carefully inspected her, and indeed there was no heartbeat. The baby had died!","","The doctor sighed.","","The young woman turned ashen.","","The doctor told her there was nothing else to do but to remove the dead fetus surgically.","","After the young woman went home, that night she tossed and turned, unable to fall asleep. She was very sad.","","Finally as she was about to fall asleep, she saw Guanyin walk out of the Guanyin picture hanging on her wall.","","Guanyin spoke to her, “Ask Grand Master Lu to stroke your belly!”","","After she finished speaking, Guanyin walked back into the picture. When this happened the first time, she considered it a dream that reflected her mind state during the day.","","The following night, Guanyin Bodhisattva again spoke to her, “Ask Grand Master Lu to stroke your belly!”","This time, she asked around, “Who is Grand Master Lu?”","","Someone told her that Grand Master Lu was delivering dharma discourses at the Lei Tsang Temple. So she indeed came and stood in queue among the crowds.","A","","When I walked by, she lifted her blouse to show me her belly and said, “Grand Master Lu, please stroke the baby in my belly! The baby’s heart has stopped beating.”","I was startled, and I tapped her belly lightly.","Just like that, the baby’s heart started beating again. Later the woman gave birth to a fair, chubby, healthy boy.","","","","This young woman brought many people to take refuge in me!","●","Inside these lights, I saw another Bai Wuchang wearing the same headpiece (Lucky to See Me)."
"022 Seventh Master Bai Wuchang","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000016&chapter_id=c022","he night market, as usual, was jam-packed with throngs of men and women. There were many street vendors, mostly selling food items and clothes.","","They were doing brisk business. They reminded me of the folk “Prayer for Shrewd Business.”","","When I leave my house,","To the east a horde of buddhas,","To the west a horde of buddhas,","To the south a horde of buddhas,","To the north a horde of buddhas.","All my merchandise - sold!","","I started chanting it and thought to myself what a wonderful and appropriate prayer for these night market vendors to chant.","","At that time, I noticed a stranger paying special attention to me, so I turned to glance at him.","","This stranger was walking around the night market. He was of medium height but had a powerful build. His face was square and dark.","","When I took a look behind him, I was shocked:","","Standing behind him was a very tall spiritual guard, the Seventh Master Bai Wuchang, wearing a very tall hat with the words “Lucky to See Me” written upon it.","","The invisible “Bai Wuchang,” known as the Seventh Master, was a lieutenant of the City God Cheng Huang in charge of bringing the spirits of the dead to the underworld.","","I was surprised to see him!","","The stranger said to me, “Are you Grand Master Sheng-yen Lu?” I replied, “Yes, I am.”","","The stranger said, “A long time ago, I started reading your books. I have also watched your dharma talks on television. That is why I recognized you.”","","I said, “Thank you!”","","The stranger said, “I have heard that your spiritual divination is extremely accurate. Do you think you can give me a reading?”","","I asked, “What kind of reading?”","","He replied, “Tell me about my profession!”","","So right there in the middle of the street, I extended my hand to observe the light on my palm. Inside these lights, I saw another Bai Wuchang wearing the same headpiece (Lucky to See Me).","","Strange! Strange!","","Why was the Seventh Master Bai Wuchang there again? I was confused. What relationship was there between his profession and the Seventh Master Bai Wuchang?","","The stranger laughed, “It is not easy to read my profession, is it?” I was embarrassed. Apart from seeing Bai Wuchang, I could not see anything else. Could it be that this person was going to be recalled by Bai Wuchang and lose his life soon? So therefore, there was no need to figure out his profession?","","The stranger said, “You cannot divine my profession. Ha ha!”","","I said, “To be frank, I really cannot figure it out. However, in my palm light, I see a white colored Seventh Master Bai Wuchang. What connection is there between you and him?","","This time, it was the stranger’s turn to be shocked. He knelt down and asked to take refuge.","","“What is it?”","The stranger replied, “Grand Master Lu, to be honest with you, I have been to many fortune tellers and not one was able to divine my profession, which is this: I am the carrier of the icon Bai Wuchang during religious processions.”","","●","T","","After this dream, he followed my instructions to formally take refuge in Living Buddha Lian-sheng Sheng-yen Lu.","Sheng-yen Lu","","","","","","",""
