"chaptername","chaptername href","chapterbody","chapterbody 2","chapterbody 3","chapterbody 4","chapterbody 5","chapterbody 6","chapterbody 7","chapterbody 8","chapterbody 9","chapterbody 10","chapterbody 11","chapterbody 12","chapterbody 13","chapterbody 14","chapterbody 15","chapterbody 16","chapterbody 17","chapterbody 18","chapterbody 19","chapterbody 20","chapterbody 21","chapterbody 22","chapterbody 23","chapterbody 24","chapterbody 25","chapterbody 26","chapterbody 27","chapterbody 28","chapterbody 29","chapterbody 30","chapterbody 31","chapterbody 32","chapterbody 33","chapterbody 34","chapterbody 35","chapterbody 36","chapterbody 37","chapterbody 38","chapterbody 39","chapterbody 40","chapterbody 41","chapterbody 42","chapterbody 43","chapterbody 44","chapterbody 45","chapterbody 46","chapterbody 47","chapterbody 48","chapterbody 49","chapterbody 50","firstcharacter","chapterbody 51","chapterbody 52","chapterbody 53","chapterbody 54","chapterbody 55","chapterbody 56","chapterbody 57","chapterbody 58","chapterbody 59","chapterbody 60","chapterbody 61","chapterbody 62"
"009 真实金刚心菩萨法","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000314&chapter_id=c009","是密教最重要，密教行者人人必修的大法。","这是净业大法。","这是补阙大法。","这是忏罪大法。","这是复净大法。","密教行者有破三昧耶、犯戒、有过失、不净、仪轨漏失、…………。","均依此法「还净」。","所谓「四加行」也就是：","四皈依法。","大供养法。","大礼拜法。","金刚心菩萨法。","这「四加行」每一法，要修满十万遍。","我（卢师尊）常常说：","四加行是大法。","修满的，有相应的，必然不退道心。","那些退道心的，四加行根本没有相应。连基本的相应也没有。","四加行相应，一定有果位。","只要四加行相应，本尊法、内法（气脉明点）、金刚法、无上密、大圆满，就很容易相应，也就是一法相应，法法相应，即生证得果位。","","真实金刚心菩萨法仪轨如下：","一、入坛城。","二、行大礼拜法。（略法）","三、坐定（毘卢七支坐）","四、行四皈依法。（略法）","五、行大供养法（略法）","六、披甲护身法。（此法适用于各个法中）","七、发菩提心真言。（三遍）","「嗡。波地支打。班杂。沙玛牙。阿吽。」","八、忏悔偈及咒：","我昔所作诸罪业。皆由无始贪瞋痴。","从身语意之所生。一切我今皆忏悔。","咒：","「嗡。班杂。沙玛牙。苏爹阿。」（三遍）","九、结印：","双手握拳。交叉。置胸前。","十、观想：","先念观空咒：「嗡。梭巴娃。苏打。沙尔娃。打尔妈。梭巴娃。苏多罕。」","观想金刚心菩萨坐八叶莲花。","身白色，五佛冠，天衣重裙，右手持金刚杵于心际，左手持金刚铃左腿处。","心中字。（周围是百字明咒）","心中流出白色光明甘露，灌顶行者。","行者罪业，化黑水，由毛细孔流出。","行者清净后，金刚心菩萨入行者身中（入我我入）。","二者无别。","十一、诵咒。","百字明咒。（二十一遍、百○八遍）。（真佛弟子人人会背）。","十二、入三摩地。","十三、出定回向。（百字明咒加持力，愿我三业皆清净。…………）","十四、大礼拜。","这","十五、出坛。","","此法相应一定出现忏相（忏悔已除），最大的忏相是金刚心菩萨现身，告诉行者：","「善哉吾子，汝已还净了！」","「汝已三业清净了！」","「汝已相应！」","「汝是佛子！未来当成佛！」","","","我说口诀：","",""
"010 披甲护身法(口诀)","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000314&chapter_id=c010","法我（卢师尊），得之于「普方上师」。我曾皈依普方上师。","法名：「圆池」。","披甲护身法的本尊是「金刚手菩萨」。","西藏人称：","「手金刚」。","祂与观世音菩萨、文殊师利菩萨合称为三怙主。","观世音菩萨——慈悲。","文殊师利菩萨——智慧。","金刚手菩萨——法力。","","●","","金刚手菩萨的手印：","双手先合掌。","无名指弯曲向下交叉。","食指左右分开。","（成印）","又：","金刚合掌亦可。","金刚合掌手印，即是：","先双手合掌。","互相交叉即是。","","●","","持咒：","「嗡。波汝。蓝者利。」","念咒时，用手印，印额头、印喉、印心际、左肩、右肩。","观想自己变成「金刚手菩萨」的形象。","愤怒相。","右手高举金刚杵。","左手持金刚索。","脚「弓箭步」。","（这就是身印的披甲护身）","","●","","卢师尊认为，这「披甲护身法」，可以在生活上广大应用。","食——结金刚手菩萨手印，虚印食物。","念：","「嗡波汝蓝者利。」","食物变清净。","衣——结金刚手菩萨手印，印在身己穿的衣服上。","念：","「嗡波汝蓝者利。」","衣服变「甲冑」。","有防魔作用。","住——结金刚手菩萨手印，印在住家的四面墙，虚印即可。","念：","「嗡波汝蓝者利。」","此","住家或卧室已全部结界。","魑魅魍魉进不来。","行——结金刚手菩萨手印，印汽车、船、飞机、摩托车、脚踏车。虚印即可。","念：","「嗡波汝蓝者利。」","出门平安。","无灾无祸。","千法、万法、存乎一心。","人有诚心，菩萨感应。","住家平安。","卢师尊说：","我们学习佛法，要学理法及实修法，佛理要能应用才是。"
"011 修法仪轨(前行)","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000314&chapter_id=c011","宗佛的修法仪轨，与其他宗派，略有不同，但大同小异。","我们的修法「前行」，大约是：","一、大礼拜。","二、大供养。","三、四皈依。","四、金刚心。（忏悔偈）","五、披甲护身。","六、四无量心。","七、发菩提心。","我们称为前行七支。","在前行修法中，大礼拜、大供养、四皈依、金刚心。我们用略法。","而金刚心我们念忏悔偈：","我昔所造诸罪业。","皆由无始贪瞋痴。","从身语意之所生。","所犯十恶五无间。","三昧耶戒等罪业。","无边无量诸众罪。","一切我今皆忏悔。","诸佛哀愍常摄受。","直至成佛不舍离。","念忏悔咒：","「嗡。班杂。沙妈耶。苏爹阿。」","","●","","四无量心，我们念：","愿诸众生具足乐与乐因（是慈无量）","愿诸众生永离苦与苦因（是悲无量）","愿诸众生常住无苦妙乐（是喜无量）","愿诸众生证怨亲平等觉（是舍无量）","发菩提心我们念：","我与法界无余诸众生。","一齐皈依上师佛法僧。","为度生事发慈悲喜舍。","愿身口意如本尊成就。","念菩提心咒：","「嗡。波地支打。班杂。沙妈耶。阿吽。」","","●","","在别的宗派上，大部份「前行」有四项：","四皈依。","四无量心。","发菩提心。","净业观空。","我们加大礼拜，因为入坛城就要礼拜。","我们加大供养，因为入坛城「花香灯茶菓」五供或八供必备故，五供加如意螺、加沐浴水、加涂香成八供。","我们加金刚心，是发露忏悔。","我们加披甲护身，是身结界。","真","","●","我（卢师尊）说：","修法三大要素当然是「正行」的：","结手印。（身清净）","观想。（意清净）","持咒。（口清净）","我说：","最后的入三摩地是最最重要，入三摩地才能显发佛性，证得究竟成就，所有一切法，全为了「三摩地」。","","入三摩地（禅定）。","口诀是无事、无心，融入空寂，安定无住，光明独耀。"
"012 真实本尊法","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000314&chapter_id=c012","个本尊法，我们用「阿弥陀佛」本尊为范例。","前行：","一、大礼拜。大供养。四皈依。金刚心。披甲护身。四无量心。发菩提心。","二、净业观空：","观空咒：","「嗡。梭巴娃。。苏达。沙尔娃。达尔妈。梭巴娃。苏度。罕。」","三、结印。（弥陀定印）","四、观想：","观想虚空中有一咒字「」（榜），化为莲花。","莲花上有咒字「」阿字，化为月轮。","月轮上有咒字「」些字（红色），化为阿弥陀佛。","一头二臂。","双手结定印。","跏跌坐于莲花台。","「嗡」白光，照行者眉心。","「阿」红光，照行者喉际。","「吽」蓝光，照行者心际。","（三光加被）","再观想「入我我入法」。","阿弥陀佛大放光明，光中流出甘露，灌注行者，行者清净得大自在。","阿弥陀佛缩小，如米粒光点，由顶窍入于行者的心中莲花。","阿弥陀佛渐大，与行者完全等同。","一剎那。","行者变化成阿弥陀佛。（无二无别）","行者（阿弥陀佛），放光于十方三际，十法界，普度众等。","五、持咒：","「嗡。阿弥爹娃。些。」百○八遍、千○八十遍。","或更多。","六、入三摩地（禅定）","口诀：","外觉——不动心。","（摄心定于阿弥陀佛一尊，不动不乱，断一切外境。）","内觉——不起妄念。","（以无所得故，断妄念，观一切法皆空。）","直觉——无事、无心。","（离空有两边，证中道实相。）","自性光明。","法界光明。","合一。","七、出定。（空中明点，化为阿弥陀佛。）","八、颂赞：","净愿庄严安乐利。","普济浊世诸有情。","西方接引证无生。","阿弥陀佛我敬礼。","九、百字明咒。（三遍）","这是补阙。","这是修法过失的补全。","这是圆满。","（在念咒时，亦可想金刚心菩萨，心中「」字，白光甘露，灌注行者全身，行者全身清净，行者空明。）","这","十、回向。","愿同修法者。","上报四重恩。","下济三涂苦。","见佛了生死。","如佛度一切。","","","","同生极乐国。","",""
"013 本尊法(口诀)之一","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000314&chapter_id=c013","（卢师尊）觉得：","本尊法是一个关键法。","很多人问我：「自己的本尊是谁？」","我总是回答：","「投缘者即是。」","又问：","「我喜欢很多本尊？」","我答：","「找出最喜欢的。」","又问：","「我可以修多尊本尊吗？」","我答：","「若有时间，亦可。」","我真实告诉大家：","一就是多。","多就是一。","一法相应。","诸尊相应。","（这个「一」字了得）","","●","","问：","「如何召请本尊降临？」","答：","「结召请印，念召请咒。」","问：","「召请印是？」","答：","「金刚勾印。双手握拳，右手食指伸出成勾，左手在下，伸食指，由右手握住。」","问：","「召请咒？」","答：","「『嗡。班杂。沙妈耶。杂。』或『嗡啊吽。梭哈。』此二咒均可。」","问：","「若召请不来如何？」","答：","「一、以心力召请。","二、以印力召啨。","三、以咒力召请。","若不来；金刚勾三转。咒力加强，简洁有力。再用心力，想念阿弥陀佛眉心白毫光，由右向左旋转。」","（重要口诀）","","●","","问：","「杂念不断，如何入三摩地？」","答：","「杂念不断是凡夫境界，当然不能入三摩地。重点是凡夫有分别、爱恶、取舍。当将眼、耳、鼻、舌、身、意，束起。如此自性才能现前。」","问：","我","「是一心不乱吗？」","答：","问：","「如何做到一心不乱？」","答：","「束六贼为一精明。」","问：","答：","「止观双运。」","「是。」","「如何修练？」","（重要口诀）"
"014 本尊法(口诀)之二","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000314&chapter_id=c014","教行者须建立坛城。坛城安置：","佛菩萨护法等。","经典。","舍利塔。","上师相。","坛城要清净庄严。","行者乐于久坐。","","●","这些全做到了。","密教行者修法，宜先大礼拜之后，即晏坐，晏坐要用七支坐法：","一、座后微高。","二、跏趺坐（最佳），若不能，单盘坐，再不能，如意坐。","三、手结定印。","四、两肩平正。","五、两眼视鼻或直视。","六、调息平和。","七、舌抵上颚。","","●","这都是重要口诀。","坛城的选择。","幽静之室。","藏风聚气。","坛城方向要接水神。","合行者之磁场。","合行者之磁向。","","●","","密教行者为了与本尊相应，其重要口诀是：","本尊何形象，行者何形象。","本尊颜色，行者着同色衣服。","本尊法器，行者法器亦同。","本尊种子咒字，行者心际安本尊种子咒字。","本尊咒，行者诵满十万遍。","本尊相，行者时时忆持。","本尊菩提行，行者菩提行。","本尊的誓愿，行者誓愿一致。","本尊的身。","本尊的口。","本尊的意。","行者的身口意，要与本尊一一相合。","总之：","密教行者的一切，要合于本尊的一切，食、衣、住、行，一一相同。","外相同。","内相同","密相同。","密密相同。","","密","●","","观想本尊，从对面空中，移到行者头顶上。","（诵本尊咒百○八遍）","观想本尊，甘露灌注行者全身，行者变清净。","（诵本尊咒百○八遍）","观想本尊化为光点，由顶至心际，安住于心中莲花。","观想本尊渐渐变大，如行者之身一样大，无二无别。","（诵本尊咒百○八遍）","密教行者要学习「入我我入」。口诀如下：","（诵本尊咒百○八遍）","最后行者观想自己变化大如虚空，整个虚空全是行者。"
"015 本尊法(口诀)之三","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000314&chapter_id=c015","生活佛卢胜彦入三摩地的至要口诀：","相据「佛说阿阇世王经」来说明：","阿阇世王因为遣除了罪业。","准备了一匹价值连城的布，要供养文殊菩萨。","但，文殊菩萨杳无踪影。","国王听到文殊菩萨在虚空中说：「若看见谁，就供养即是。」","国王看到智吉祥菩萨及阿罗汉大迦叶，于是布匹要供养祂们。","祂们说：","「我们无功，不能受供养。」随即消失不见。","国王拿着布匹，欲供养五百比丘。","五百比丘也消失不见。","国王大惊骇。","看见身旁的王后，就将布匹供养王后，没想到王后也不见了。","现在。","只剩下国王自己一个人，拿着珍贵的布匹，一切一无所见。","阿阇世王只听到「请供养所见之身」的声音。","于是，","国王把布匹披在自己身上。","想不到，","阿阇世王自己的身子也不见了。","文殊菩萨在虚空中说：","「远离一切色想，诸色一无所见。…………」","于是，","阿阇世王，一剎那有悟。","","●","","这一段经文，就是大口诀。","阿阇世王是施者。","布匹是施物。","文殊菩萨是受者。","而，","最后的结果是：","无受者。","无施者。","无施受之物。","（三轮体空）","毕竟无所得。","文殊菩萨说：","「佛陀出有坏，了知诸法，无生如虚空，无法被染污。」","这就是入三摩地的大口诀：","无禅定之人。","无禅定。","无禅定之对象。","因为如此，入三摩地。","（用这种三轮体空法入三摩地，才是证得菩提湼盘的无上法门）","","●","","我看这娑婆世界：","莲","幻人。","幻物。","无生如虚空。","故了知：","无量十方俱胝那由他的佛陀湼盘，证得无上菩提，均由此。","所以，","不可思议。","不可言说。","（本来无我，故随应所成）","幻我。","无可比拟。",""
"016 本尊法(口诀)之四","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000314&chapter_id=c016","教行者与本尊相应，须要注意的口诀是：","一、求得来自清净的真实传承上师，获得灌顶。","二、自身与法相合。","三、入世法与出世法双运。","四、三业转化三密。","五、戒除恶口。","六、离开恩怨情仇。（平等持）","七、利他为重。","八、六道皆是累世亲眷。","九、清净见解。","十、定时修瑜伽。","十一、常祈祷上师、本尊、护法。","十二、勿忘上师口诀。","十三、要道心坚固。","十四、出离心要重。","十五、爱自己，更爱别人。","十六、降伏烦恼。","十七、上师的承事出于真心。","十八、不利己不利他的事业莫作。","十九、无聊的闲事，莫作。","二十、恶业一点也不能做。","二十一、善业一定要随喜。","二十二、有恶业一定要忏罪。","二十三、不害己不害人。","二十四、忏悔之后不可复作。","二十五、念佛、念法、念僧、念上师。","二十六、一心精进行持。","","●","","相应的现象是：","一、见到本尊。","二、听到本尊的教导。","三、长寿增长。","四、福德增长。","五、无邪见。","六、心愿圆满。","七、无病。","八、无灾。","九、大乐。","十、生活如法。","十一、弘法事业成就。","十二、与本尊相会梦中、禅定中、虚空中、净土中、世间中。","十三、无错谬。","十四、无障碍。","十五、劝人修行。","十六、获大加持。","十七、满愿。","十八、解脱。","十九、一切处安乐","密","二十、不受降头。","二十一、不堕轮回。","","","●","","我告诉大家：","欢呼：","「相应了！」","二十二、得度","若与本尊相应，虚空中会出现本尊与本尊眷属。","往后，觉受到「与本尊合一」，「行者化为本尊」，「本尊常在左右」。"
"017 本尊法(口诀)之五","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000314&chapter_id=c017","应后的觉受：","我(卢师尊)的经历是这样的：","一、我一入禅定，觉受到不动如山，如须弥山一样的高矗。","上无见顶。","下深广无量。","我就是宇宙剎土，宇宙即我身，这种觉受，彷佛一切剎土在我心中。","二、我一入禅定，本尊法流进入我身，我全身充满甘露。","身口意清净。","一些累世所积存的黑业，化为黑气，从毛细孔溢了出去。","消失不见。","三、我一入禅定，拙火自动升起：","暖。","红。","光。","从脚底到头顶，又从头顶到脚底，我感觉到快乐的觉受。","这种快乐不是一般的快乐，而是：","大乐。","光明。","无念。","我坐在光明的中心，全身充满快乐，无烦无恼，一切自在任运。","四、我一入禅定，我可以飞身而起，飞行非常的迅速。","无量的佛国剎土均可以去。","当然可以到本尊的剎土。","我可以到三界天。","到摩诃双莲池。","几乎无所不能。","我可以变大、变小、变男、变女、变软、变硬、变神、变鬼。","想变什么就变什么。","水中变鱼。","空中变鹰。","森林变虎。","变来变去，化来化去。","","五、我一入禅定：","我可以看见本尊。","听本尊的说法。","我知道自己的过去、现在、未来，甚至可以知道他人的过去、现在、未来。","知道别人的心中在想什么？","我有一些威神之力，这些威神能力来自于佛、菩萨、声闻、缘觉或一些天神，我能够给人快乐，拔除他人的痛苦。","本尊常在我左右。","或，","本尊是我。","我是本尊。","无二无别。","六、我一入禅定：","本来不明白的佛经，现在都看得懂了。","本来不明白的真谛，也明白了。","明白世间一切。","明白出世间一切。","世间所现一切法，","相","「无常无依常变易，","轮回诸业无意义，","宁修佛陀解脱法。」","","","","","","","与其勤求世间利，","",""
"018 真实「无漏法」之一","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000314&chapter_id=c018","（卢师尊）实实在在的告诉大家：","「我早已修证无漏法！」","我的「明点」（体液），不漏失。","白天无漏。","夜间无漏。","我是「无漏尊者」。","一年三百六十五天无漏，十年无漏，二十年无漏，三十年无漏。","我举一个比喻：","我的密轮，已变成台湾的「石门水库」，那个水库的水闸，紧紧的锁住。","从来不泄洪。","水闸已生锈。","再也拉不起来了。","所以，一点一滴不漏失。","如同，道家所说的：","练精化气。","练气化神。","练神返虚。","练虚还道。","我早已修证「无漏法」了，这是千真万确的事实。","","●","","我再说：","十世班禅喇嘛，在北京的时候，娶了一名北京的女子为妻。","生了一个女儿。","（这个女儿曾在加州读书）","我听了。","哑然！","又：","第十七世大宝法王之一的「泰耶多儏」。","娶了一名青梅竹马的妻子。","也生了儿女。","我听了。","一样哑然！","………………………。","","●","","我实实在在的告诉大家：","如果我今天是古代的皇帝，我已修证了「无漏法。」","后宫佳丽三千。","我不怕。","我无畏。","夜夜御女。（男女皆大乐）","身不虚弱。","也不会早夭！","","●","我（卢师尊）如此认为：","无漏法是密教内法（二灌）的重点，也是一个重要的法门。","我","如果没有无漏法，如何能进入无上密（三灌）？","无漏法只出气，不出精。","脉能通。","拙火升。","明点持。（持精）","所以，我如此说，无漏法能够成就，才有资格进行「双身法」。","「双身法」二个最大的条件是：","二、空性。","所以，真正的瑜伽行者（瑜伽士），理应成就「无漏法」。","气能足。","一、无漏。",""
"019 真实「无漏法」之二","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000314&chapter_id=c019","人问我：","「先修气，还是先修无漏？」","我答：","「二者并行，因为无漏法也须用到气。」","","●","","无漏法口诀如下：","一、猛吸中指。","当产生初乐（敏感）时，须惊觉，迅速猛吸中指，由于注意力转移到中指，于是初乐敏感消失，这是持精之一。","二、猛拍身子。","当产生初乐（敏感）时，须惊觉，迅速用手掌，拍痛身子，由注意力转移到痛处，初乐敏感消失。这也是持精的一法。","三、握固手印。","当产生初乐（敏感）时，须惊觉，迅速用左右手，大拇指屈入掌心，左右手握拳，压痛大拇指，这是用力握固印，精神集中在大拇指，初乐敏感消失，这又是一法。","（此三则是转移法）","四、日月朝天。（萨迦六势之一）","当产生初乐（敏感）时，须惊觉，日月即左眼右眼，上视天空（天花板），一则转移，二则提气，初乐敏感消失。","五、舌抵上颚。（萨迦六势之二）","舌抵上颚，是禅定要诀（俗称搭天桥）有气上冲之现象。","六、上行气尽出。（萨迦六势之三）","人身气有五种：","上行气——掌控上半身。","下行气——掌控下半身。","徧行气——掌控周边。","火伴气——随中脉拙火。","命气——不动于心际。","当上行气由鼻口呼出去时，下行气就上升，刚好把明点（精）提住。","七、压喉结。（萨迦六势之四）","我常常用吸管原理比喻。","当吸管吸住水。","我们用手指按住上方口。","水不流出。","也就是上行气呼出后，压住喉结，如同用手指按住吸管的上方口。","明点不流出也。","八、腹贴背。（萨迦六势之五）","即军中的收小腹。","形成一个弓形。","提住明点（精）。","九、提肛。（萨迦六势之六）","提肛也是提法。","提下行气上升。","禁止明点（精）漏出。","锁住明点。","","●","","我（卢师尊）告诉大家：","这些法要时时练习。","必要时要融会贯通。","一气呵成。","有","重点在一个「提」字，而不是「忍」。「提」是瑜伽士，「忍」是凡夫。","这其中已有「气」法在内。","一念之下，便全部自然完成。","（这是至要口诀）","","","","","","练习久久，熟能成巧。","",""
"020 真实「无漏法」之三","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000314&chapter_id=c020","弟子问我：","「无漏法是佛法吗？」","我答：","「什么不是佛法？」（我反问）","我再说：","「淫怒痴都是佛法。」（贪、瞋、痴）","弟子问：","「淫修什么？」","我答：","「佛。」","弟子问：","「怒修什么？」","我答：","「金刚。」","弟子问：","「痴修什么？」","我答：","「菩萨。」","弟子问：","「无漏法，卢师尊在以前的书上，可曾提过？」","我答：","「密教奥义书及大乐中的空性（喜金刚讲义），有提及。」","弟子问：","「无漏法的意旨？」","我答：","「控制淫念，转化空性。」","弟子问：","「无漏法是双身法的前行？」","我答：","「正是。」","弟子问：","「今天，密教的双身法，被批评的体无完肤，卢师尊以为呢？」","我答：","「这是世人不了解胜义的缘故。其实很单纯，双身法只不过把世俗的男女交合，转化为神圣的修行。」","弟子问：","「能吗？」","我答：","「的确能。双身法有观想、有手印技法、有持咒、有修气法、有拙火法、有脉轮法、有明点法、有净光法、有入三摩地法。…………」","弟子问：","「很难想象？」","我答：","「世人不知道，双身法能修证，大乐、光明、空性、甚至即身成佛。」","弟子问：","「口诀？」","我答：","「从容、安住、正定、空一切、无念。双双大乐、双双化光、泯一切法、证空性。」","弟子问：","「有邪师藉双身法骗女人？」","我答：","「这很难免。但，也很容易辨识。」","有","弟子问：","「如何辨识？」","「有无三灌无上密？（根本上师灌顶认可）","有无无漏？","有无正念？」","","","","","我答：","",""
"021 大乐之王","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000314&chapter_id=c021","日，我安住于心，入三摩地。","金刚萨埵告诉我：","「你是大乐之王！」","我问：","「为什么？」","金刚萨埵答：","「你以自性大乐，供养十方三世诸佛、菩萨、金刚、护法、空行、诸天，所以是大乐之王。」","我问：","「根据我知，供养不是要绕舍利塔三匝，或行一切供养吗？」","金刚萨埵答：","「舍利塔是象征有佛，当然要供养。行一切供养法，如绕山、绕湖、绕寺，当然要供养。但，并非无相。」","我问：","「那我等要如何供养？」","金刚萨埵答：","「你等要供养，守戒者、正定者、佛慧者、解脱者、解脱知见者。」","我说：","「确实是如此。」","金刚萨埵问我：","「卢师尊，我且问你，所谓戒、定、慧、解脱，解脱知见的相是什么？」","我答：","「无相。」","金刚萨埵问：","「既然无相，你如何供养？」","我答：","「以无相供养无相。」（心供养）","金刚萨埵问：","「你的大乐有相吗？」","我答：","「无相。」（大乐拿不出来）","金刚萨埵问：","「就因为无相，才是无上供养，你明白吗？」","我若有所省。","金刚萨埵告诉我：","「世尊说，一切有情是供养处。","要供养自性。","自性就是佛。","就等于供养一切佛。","请记住：","学习一切如来之所学，就是无上供养。","法供养第一。","修自性成佛，就是供养。","所以：","不该有执着。","不该有我执。","不该有法执。","不该有执相。」","我说：","「这些，初学者，可能不懂。」","金刚萨埵说：","「的确，初学者不会明白：","一","不生。","不行。","我问：","「如何教化众等？」","金刚萨埵说：","「所以，我称呼你大乐之王，你以大乐供养自性及遍一切处如来。这是真实无漏供养。」","","","","不二。」","",""
"022 九节佛风(细说)","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000314&chapter_id=c022","节佛风也可称「九接佛风」。","仪轨如下：","一、前行七支。","二、观想自身通体透明一切白净如琉璃。","身中有三脉，直立并行。","三条脉起自脐轮，脐下四指处。","中脉是像喇叭形，脑顶是喇叭口，上大下小。","左脉右脉，与中脉并行，左脉接左鼻孔，右脉接右鼻孔。","（三脉观想结束）","三、以左手无名指按鼻子左孔。","而用右鼻孔吸气。","四、吸气时，观想诸佛菩萨光明遍满虚空。吸气时，就是吸入光明。","五、由右鼻孔入，吸气已足。随以右手无名指按右鼻。","六、观想光明，循右脉而下，至脐下四指处，转由左脉上升，至左鼻孔。","七、由左鼻孔呼出。","（此时观想行者身中一切业障、病魔、无明、烦恼。化为黑气，由左鼻孔呼出）","（如此三节）做三次。","八、再来用右无名指按鼻右孔。","使白光明入左鼻孔。","再转入右脉。","自右鼻孔呼出黑气。","做法如前三节，只是左右鼻孔变化不同而已。","（也一样做三节、三次）","九、最后：","光明气自左右脉共同吸入，至脐下成一气，进入中脉，升至顶，顶无气孔。再循中脉而下，自脐下四指处，由左右脉，左右鼻孔呼岀黑气。","（做三节三次）","如此一共九节。","这就是九节佛风，或九接佛风。","十、持咒：","「嗡。班杂。萨埵。阿。吽呸。」","（百○八遍或更多）","十一、入三摩地。","十二、出定。","十三、回向。","「愿此功德速成就。","清净我等诸业障。","三业转化成三密。","六道有情得解脱。」","十四、大礼拜。","十五、出坛。","我（卢师尊）如此说：","此九节佛风很平和，没有过患。","观想光明如虚空。","如来遍一切处之故。","一吸入，行者自身，成就「六大无碍」、「空有互融」、「佛我合一」。","洗清罪障。","精神统一。","此法修持须「手」及「呼吸」配合，最容易得到专一。","专一的练习是最好的方法。","吸白吐黑。","九","久而久之，身轻气爽。","如果练习久了，可以只用鼻孔控制左鼻孔、右鼻孔的呼吸，不必用手。","","","","","","","","更轻便。","",""
"023 文殊菩萨与舍利弗","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000314&chapter_id=c023","据「佛说文殊师利现宝藏经」中的记载：","舍利弗与文殊菩萨，共同去南方佛剎游历。","二人飞过了数百千俱胝那由他剎土，来到了庄严世界宝柱如来的佛土。","文殊菩萨问：","「舍利弗尊者，你怎么看我们飞过的剎土？」","舍利弗答：","「有些遍布火，有些遍布水，有些是空幻，有些富饶，有些贫困，有些正形成，有些已灰灭，有些有恶趣，有些有善光。…………」","文殊菩萨问：","「舍利弗尊者，你有何感想？」","舍利弗答：","「遍布火就是遍布火，遍布水就是遍布水。……………。难道还有别的看法？」","文殊菩萨说：","「这些剎土皆是虚空之土。」","火、","水、","富、","贫、","成、","坏、","恶、","善、","均非真实。","这些全是暂时的外缘，因缘所生。","舍利佛！","冋理可以证明！","每一位行者，只是暂时被无明烦恼染污了心。","而自性（佛性）如虚空，永远存在，不受染污。","舍利弗！","剎土变化如是。","虚空不受变化影响。","而：","佛性亦是。","不受污染。","故，","我（文殊菩萨）不受污染。","我能安住于完全清净的自性之中。」","舍利弗听了。","大有所悟。","","●","","卢师尊说：","文殊师利菩萨所说的，就是无等等口诀。","污染只是外相。","佛性永不受污染。","我曾经以看电影做比喻：","我去看电影。","电影中有很多情节，恩怨情仇，变化多端。（财色名食睡）贪瞋痴。","电影结束了！","我仍然是我。","根","恩怨情仇，与我毫不相干。贪瞋痴，也不相干。","我以「无干涉」说明一切。","我们学佛学密法，修九节佛风，其目的有四：","一、专一。","二、互融。","三、清净。","四、自性。（空性、佛性）","","","今天，","我讲了这个「口诀」，这种「直指」，众等应有所悟。",""
"024 金刚诵","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000314&chapter_id=c024","师尊说：","金刚诵如果细分有：","上鼻气金刚诵。","下门气金刚诵。","上下气和合金刚诵。","上下气步趋金刚诵。","遍行气金刚诵。","行气金刚诵。","","●","","口诀是：","入。","住。","出。","","●","","其功德是：","一、通脉。","二、打开诸脉的脉结。","三、打开心轮的脉结。","四、寿尽时，可延寿。","五、身轻如燕。","（昔日，米勒日巴尊者，修金刚诵，在山中行走，一般人要走二十一天的路程，米勒日巴尊者却只要三天）","咒字：","嗡。（）","阿。（）","吽。（）","","●","","修法（范例）：","依上鼻气金刚诵者，先把自己观想成，金刚萨埵双身，三脉五轮具足。","心间脉轮中间。(八瓣莲花)","有白红明点(像碗豆)。","上下相扣。","中间有小月轮。","轮的中间有蓝色吽字。(透亮)","气进来时，以嗡字入。","住气时以阿字住。","气出时以吽字出。","","●","","注意口诀：","气入时，上至顶轮，而喉轮，而心轮，而脐轮，而生殖轮。","再回至心轮而住。","住气时，愈长愈佳。","长气入。","卢","短气出。","细、慢、长的入气。","住气时，观想咒字，放白色气，外具五色光明，如香烟氤氲。","（昔日，十六世大宝法王噶玛巴曾说，保有「心中光明」为至要。这就是心中的光明。）","","●","","气入中脉。","气可燃拙火。","细、慢、短的出气。","由金刚诵法，依住气之方便。","引出俱生大乐。"
