"chaptername","chaptername href","chapterbody","chapterbody 2","chapterbody 3","chapterbody 4","chapterbody 5","chapterbody 6","chapterbody 7","chapterbody 8","chapterbody 9","chapterbody 10","chapterbody 11","chapterbody 12","chapterbody 13","chapterbody 14","chapterbody 15","chapterbody 16","chapterbody 17","chapterbody 18","chapterbody 19","chapterbody 20","chapterbody 21","chapterbody 22","chapterbody 23","chapterbody 24","chapterbody 25","chapterbody 26","chapterbody 27","chapterbody 28","chapterbody 29","chapterbody 30","chapterbody 31","chapterbody 32","chapterbody 33","chapterbody 34","chapterbody 35","chapterbody 36","chapterbody 37","chapterbody 38","chapterbody 39","chapterbody 40","chapterbody 41","chapterbody 42","chapterbody 43","chapterbody 45","chapterbody 49","chapterbody 51","firstcharacter","chapterbody 53","chapterbody 54","chapterbody 55"
"009 True Vajra-heart Bodhisattva Practice","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000566&chapter_id=c009","his dharma is the most important practice in Vajrayana. All Vajrayana practitioners are required to cultivate this practice.","It is a major practice for purifying karmic hindrances.","It is a major practice for remedying defects.","It is a major repentance practice.","It is a major practice for restoring purity.","When Vajrayana practitioners break the samaya vow, violate the precepts, commit mistakes, are impure, leave things out of rituals' they can practice this dharma to 'restore purity'.","","The so-called 'Four Preliminaries' are:","Fourfold Refuge.","Great Mandala Offering.","Great Homage.","Vajra-heart Bodhisattva Practice.","Each practice of the Four Preliminary Practices must be cultivated 100,000 times.","","I (Grandmaster Lu) often say:","The Four-Preliminaries Practice is a major practice.","When this practice is cultivated to the full extent, upon reaching spiritual union, one will never lose one's bodhicitta.","Those who lost faith in the Buddhadharma had never attained spiritual union with the Four-Preliminaries Practice, not even basic spiritual union.","Those who have attained spiritual union with the Four-Preliminaries Practice must have reached fruition.","","As long as one has attained spiritual union with the Four Preliminaries, one will easily attain spiritual union with Personal Deity Practice, inner practice (qi, channels, and light drops), Dharma Protector Practice, Highest Yoga Tantra, and the Great Perfection. In other words, attainment of spiritual union with one dharma is attainment of spiritual union with all dharmas, and one will accomplish the fruit of enlightenment.","","The true Vajra-heart Bodhisattva sadhana is as follows:","1. Enter the shrine.","2. Perform the simplified Great Homage.","3. Sit in the seven-featured Vairocana posture.","4. Perform the simplified Fourfold Refuge.","5. Perform the simplified Great Mandala Offering.","6. Perform Armor Protection (this practice is suitable for all practices).","7. Recite the Bodhicitta Mantra. (3 times) 'Om, bo-dee-zhi-da, be-dza, sa-ma-ya, ah-hum'","8. Recite the Repentance Verse and Mantra","All my transgressions committed since time immemorial","Which originate in beginningless greed, hatred, and ignorance","And are manifested through my body, speech, and mind","I fully confess and repent altogether.","Mantra: 'Om, be-dza, sa-ma-ya, soo-deh-ah' (3 times)","9. Mudra:","Cross the arms with the right hand on top of the left hand while each hand makes a fist facing inward.","10. Visualization:","First empty the mind. Chant the Emptiness Mantra: 'Om, si-ba-wa, su-da, sa-er-wa, da-er-ma, si-ba-wa, su-do-hang.' (3 times) Visualize Vajra-heart Bodhisattva sitting on an eight-petaled lotus. He is white and wears a Five-buddha Crown, celestial garment, and skirts. His right hand holds a vajra scepter against his heart while his left hand holds a vajra bell by his left thigh.","In his heart is a syllable 'hum'. White bright nectar within his heart flows out to empower the practitioner and transforms practitioner's negative karma into black water which is expelled through the skin pores. Upon the practitioner being purified, Vajra-heart Bodhisattva enters the practitioner's body (merging of self and deity). Vajra-heart Bodhisattva and practitioner become one without distinction between the two.","11. Recite Mantra.","Recite 100-Syllable Mantra (21 or 108 times). (All True Buddha School disciples must memorize this mantra.)","13. Emerging from Samadhi and Dedication. (By the power of the 100-Syllable Mantra, may my three karmas all be purified...)","The key cultivation formula is, upon attainment of spiritual union in this practice, there will be definite signs of repentance (repentance has been recognized). The greatest sign of repentance is that Vajra-heart Bodhisattva manifests and says to the practitioner, 'My good and virtuous child, your purity is restored! Your three karmas are purified! You have attained spiritual union! And, you are a child of the buddhas! In the future, you will certainly attain Buddhahood!'","Vajrasattva/Vajra-heart Bodhisattva Mudra","T","","",""
"010 Armor Protection Practice (Key Cultivation Formula)","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000566&chapter_id=c010","(Grandmaster Lu) received this practice from Master Pufang, in whom I had taken refuge. His Dharma name is Yuanchi.","","The principal deity of Armor Protection Practice is Vajrapani Bodhisattva. Tibetans address this deity as Hand Vajra. Vajrapani Bodhisattva, Avalokitesvara Bodhisattva, and Manjusri Bodhisattva are referred to as the Three Protectors. Avalokitesvara Bodhisattva represents compassion, Manjusri Bodhisattva represents wisdom, and Vajrapani Bodhisattva represents Dharma power.","","●","","Vajrapani Bodhisattva Mudra:","Place the palms together. Bend the ring fingers inward and interlace them. Point the index fingers apart.","One may also form the Vajra Mudra, which is to place the palms together and interlace the fingers.","","●","","Recite the mantra:","'Om, bo ru lan ze lee.'","While reciting the mantra, touch the mudra to the forehead, throat, heart, left shoulder, and right shoulder.","Visualize oneself transforming into Vajrapani Bodhisattva in wrathful form. His right hand holds a vajra sceptre up high while his left hand holds a vajra lasso. His legs lunge forward. (This is the Armor Protection Body Mudra)","","●","","Grandmaster Lu believes that Armor Protection Practice can be widely used in daily life.","Food—Form the Vajrapani Mudra and virtually touch one's food with the mudra. Recite 'Om, bo ru lan ze lee'. One's food is then purified.","Clothing—Form the Vajrapani Mudra and virtually touch the clothes one is wearing with the mudra. Recite 'Om, bo ru lan ze lee'. One's clothes then become 'armor' which can protect one from demons.","Residences—Form the Vajrapani Mudra and virtually touch the four walls of one's house with the mudra. Recite 'Om, bo ru lan ze lee'. This establishes a protective boundary around one's residence or bedroom. No ghosts or evil spirits can enter. One's residence will be peaceful.","Transportation—Form the Vajrapani Mudra and virtually touch a car, boat, plane, motorcycle, or bicycle with the mudra. Recite 'Om, bo ru lan ze lee'. One will be safe when out on the road, with no accidents or disasters.","","Grandmaster Lu says:","Whether there are thousands or millions of dharmas, it is only a matter of being single-minded. As long as one is sincere, the bodhisattvas will respond.","When we learn Buddhadharma, we must learn both theory and actual practice. One must know how to apply Buddhist principles.","","Vajra Mudra Vajrapani Mudra","","","","","","","","","","","","","","","","","I","","",""
"011 The Preliminary Practice of a Sadhana","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000566&chapter_id=c011","rue Buddha School sadhanas are slightly different from those of other schools, but the content is essentially the same. The preliminary practice of the True Buddha School is as follows:","These are the seven steps of the preliminary practice. In the preliminary practice, we practice simplified Great Homage, Mandala Offering, Fourfold Refuge, and Vajra Heart.","Entering samadhi","In Vajra Heart, we recite the Repentance Verse as follows:","All my transgressions committed since time immemorial","Which originate from beginningless greed, hatred, and ignorance","And are manifested through my body, speech, and mind","The ten evil and five kinds of non-expiable transgressions I have committed","The Samaya precepts I have violated","Along with all other infinite sins. I now fully confess and repent altogether.","May the buddhas regard and protect me compassionately.","Do not abandon me while I am attaining Buddhahood.","Recite Repentance Mantra, 'Om, bie-zha, sa-ma-ya, soo-deh-ah.'","","●","","We recite the Four Immeasurable Vows as follows:","May all beings have happiness and the causes of happiness (immeasurable loving-kindness). May all beings be liberated from suffering and the causes of suffering (immeasurable compassion). May all beings be free of suffering and always happy (immeasurable joy). May all beings be free of grasping and aversion and practice equanimity (immeasurable relinquishment).","Recite Bodhicitta Verse and Mantra:","May I and all sentient beings in all the dharma realms. Take refuge in the Root Guru and Triple Jewels. Saving sentient beings with loving-kindness, compassion, joy, and equanimity. Wishing attainment of body, speech, and mind same as the principal deity.","Recite the Bodhicitta Mantra, 'Om, bo-dee-zhi-da, bie-zha, sa-ma'ya, ah-hum'.","","●","","Most other schools have the following four steps in their preliminary practice:","","We add the Great Homage because, upon entering the shrine, one must pay homage.","We add the Mandala Offering because, upon entering the shrine, one must prepare the five offerings of flowers, incense, lamps, tea, and fruit, or the eight offerings by adding bathing water, fragrant ointment, and a conch.","We add Vajra Heart for the purpose of repentance.","We add Armor Protection to establish boundary protection.","","●","Mudra formation (purification of body)","I, Living Buddha Lian-sheng, say: The main practice includes the following steps:","The three major elements of every practice are, of course, the first three in the main practice. With regards to the last step, entering samadhi (meditation), I say it is of utmost importance, because during samadhi, the Buddha-nature manifests and one validates absolute attainment. All dharma practices are for attaining samadhi.","The key cultivation formula is nothing matters, no mind, merging with emptiness and quiescence, abiding in tranquility, being detached, and illumination.","Visualization (purification of mind)","Mantra recitation (purification of speech)","","","","","Generation of Bodhicitta","Great Homage","Armor Protection","Four Immeasurable Vows","T","Mandala Offering","Fourfold Refuge","Vajra Heart (Repentance Verse)"
"012 The True Personal Deity Practice","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000566&chapter_id=c012","or this personal deity practice, we will use Amitabha Buddha as an example.","Preliminary Practice:","1. Great Homage, Mandala Offering, Fourfold Refuge, Vajra Heart, Armor Protection, Four Immeasurable Vows, Generation of Bodhicitta.","2. Purification of Karma through Emptiness Visualization.","Emptiness Mantra, 'Om, si-ba-wa, su-da, sa-er-wa, da-er'ma, si-ba-wa, su-do-hang'.","3. Mudra Formation (Amitabha Meditation Mudra).","4. Visualization:","Visualize, in the void, a 'bang' syllable transforming into a lotus. Within the lotus, an 'ah' syllable transforms into a moon disc. Within the moon disc, a 'seh' syllable transforms into Amitabha Buddha. Amitabha has one head and two arms, forms the Meditation Mudra, and sits on a lotus platform in the full-lotus position. White 'om' light shines onto one's brow point. Red 'ah' light shines onto one's throat. Blue 'hum' light shines onto one's heart. (Three-lights blessing)","Visualize 'merging of self and deity': Amitabha emits great light. Nectar flows out from this light empowering one. One is purified and liberated. Amitabha shrinks into a light point as small as a grain of rice, enters one's crown, and descends to the lotus within one's heart. Amitabha gradually enlarges, becoming the same size as one. One instantaneously transforms into Amitabha. (One and the same) One (Amitabha Buddha) then emits light throughout the ten directions, three times, and ten dharma realms, universally saving sentient beings.","5. Mantra Recitation:","'Om, ah-mee-deh-wah-seh' 108, 1080 times or more.","6. Entering Samadhi (Meditation)","Key cultivation formula: Outer state - immovable mind (focus mind on Amitabha only, immovable and undisturbed, sever all outer phenomena) Inner state - no delusive thoughts (sever delusion with the mind of nothing to gain and that all is empty) Intuition - nothing matters, no mind (beyond emptiness and existence, realizing the Middle Way) Light of self-nature. Light of the Dharma realm. Merging into one.","7. Exiting Samadhi. (Light points in the void transform into Amitabha)","8. Praise Verse","Pure, solemn, and blissful land","Universally save sentient beings in defiled worlds","Deliverance in the West to attainment of no-birth","I pay homage to Amitabha Buddha","9. 100-Syllable Mantra (three times)","This mantra remedies faults arising during cultivation, perfecting the practice. (When reciting the mantra, one may visualize a 'hum' syllable within Vajra-heart Bodhisattva's heart emitting white light. The nectar of the white light pours into one. One's entire body is purified, empty, and bright.)","10. Dedication","May all who uphold the name of Amitabha Buddha","Be born together in the Pure Land of His Western Paradise.","Repaying the Fourfold Generosity from above,","And aiding those who suffer in the Three Paths below.","Upon seeing the Buddha,","May I be liberated from the cycle of birth and death,","And may I develop the qualities of Buddhahood,","And thus free all who suffer.","","","","","","","","","","","","","","","","","F","","",""
"013 Key Cultivation Formula of Personal Deity Practice, Part 1","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000566&chapter_id=c013","(Grandmaster Lu) believe: Personal deity practice is a crucial cultivation.","","Many people have asked, 'Who is my personal deity?'","I always reply, 'The deity toward whom you feel affinity.'","","'What if I like a lot of different personal deities?'","'Pick the one you like the most.'","","'Is it permissible to cultivate many different personal deities?' '","You may if you have time.'","","I tell you for a fact. One is many. Many are one. Spiritual union in one practice is spiritual union with all the deities. This is the significance of the word 'oneness.'","","●","","Question: 'How does one invoke the deity to descend?'","Answer: 'Form the Invocation Mudra and recite the Invocation Verse.'","","'How does one form the Invocation Mudra?'","'Vajra Hook Mudra. Form both hands into a first. Place the left fist under the right fist. Extend the left forefinger, and clasp it with the right hand. Extend the right forefinger and bend it like a hook.'","","'What is the Invocation Mantra?'","'Om, bie-zha, sha-ma-ye, zha' or 'Om-ah-hum, so-ha'. Either mantra is acceptable.","","'What if the deity does not descend after invocation?'","","Strengthen the power of mantra recitation by making it concise and forceful. Use the power of mind to visualize that a beam of white light emitted from Amitabha Buddha's brow point is revolving from right to left.'","(Important key cultivation formula)","","●","","Question: 'If one is unable to sever wandering thoughts, how does one enter samadhi?'","Answer: 'Not severing wandering thoughts is the mundane state, so one will not, of course, be able to enter samadhi. The key point is that mundane beings possess differentiation, love and hate, gain and loss. Do not allow the sense faculties of eye, ear, nose, tongue, body, and mind to arise. In this way, self-nature will manifest.'","","'Do you mean concentration?'","'Yes.'","","'How does one attain concentration?'","'Transform the six thieves into a single mind.'","","'How does one train oneself?'","'The dual use of cessation and visualization.'","","Use the power of mind to invoke the deity.","","","I","Use the power of mudra to invoke the deity.","Use the power of mantra to invoke the deity. If the deity still does not descend, turn the Vajra Hook three times.",""
"014 Key Cultivation Formula of Personal Deity Practice, Part 2","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000566&chapter_id=c014","ajrayana practitioners must establish a shrine. The shrine should have Buddhas, bodhisattvas, Dharma protectors, sutras, stupa(s), an image of the guru, and so forth. The shrine should be pure and dignified. A practitioner should feel happy to spend time meditating there.","","●","","When cultivating, a Vajrayana practitioner should first perform a great prostration followed by sitting in the Seven-featured Vairocana Posture:","","●","","Choice of shrine:","A quiet room that is able to accumulate qi.","The direction of the shrine should be able to receive the water deity.","The magnetic field of the shrine should be in harmony with that of the practitioner.","The magnetic direction of the shrine should be in harmony with that of the practitioner.","","●","","For a Vajrayana practitioner, the key cultivation formula for attaining spiritual union with the personal deity is that the personal deity's image is identical to practitioner's image.","The color of practitioner's clothing should be in accord with the color of the personal deity.","Practitioner should hold the same Dharma implements as the personal deity.","Practitioner should have the personal deity's seed syllable in the heart.","Practitioner should recite the personal deity mantra 100,000 times.","Practitioner should keep the personal deity's image in mind at all times.","Practitioner's bodhi deeds should be the same as the personal deity's bodhi deeds.","Practitioner should have the same vows as the personal deity.","Practitioner's body, speech, and mind should be in harmony with that of the personal deity.","In summary, everything about the practitioner should be in accordance with the personal deity, such as food, clothing, housing, transportation, outwardness, inwardness, secretness, utmost secretness, everything perfectly consistent.","","●","","The Vajrayana practitioner must practice 'merging of self and deity'. The key cultivation formula is as follows:","Visualize, in the space in front of one, the personal deity moving above practitioner's crown. (Recite the personal deity's mantra 108 times)","Visualize the nectar of the personal deity filling practitioner's entire body. Practitioner attains purification. (Recite the personal deity's mantra 108 times)","Visualize the personal deity transforming into a point of light, descending from the crown to the heart, and coming to rest on the lotus in practitioner's heart. (Recite the personal deity's mantra 108 times)","Visualize the personal deity becoming gradually larger until the same size as practitioner and becoming one and the same as practitioner. (Recite the personal deity's mantra 108 times)","Finally, visualize practitioner becoming as vast as space, and that the entirety of space is practitioner. (Recite the personal deity's mantra 108 times)","","●","","When all this has been performed, spiritual union will be easy to attain. These are all important key cultivation formulas.","","","","Place tongue at the top of the palate.","The seat should be slightly higher in the back.","Eyes should focus on the tip of the nose or straight ahead.","Breathing should be calm and regular.","V","Sit in the full-lotus position (most ideal). If one is unable to sit in this position, one may sit in the half-lotus position. Otherwise, one may sit in the Burmese position.","Form the Meditation Mudra.","Shoulders should be level."
"015 Key Cultivation Formula of Personal Deity Practice, Part 3","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000566&chapter_id=c015","iving Buddha Lian-sheng Sheng-Yen Lu's vital key cultivation formula for entering samadhi:","","According to the Ajatashatrukaukrityavinodana Sutra [The Buddha's Discourse on King Ajatashatru], King Ajatashatru desired to eradicate his karmic transgressions, so he prepared a bolt of priceless fabric as an offering to Manjusri Bodhisattva. Manjusri, however, was nowhere to be found.","From the void, the king heard Manjusri's voice saying, 'Make your offering to whomever you may see.' The king saw Auspicious Wisdom Bodhisattva and Arhat Mahakasyapa. He offered the bolt of fabric to them, but they declined saying, 'Since we have done nothing to deserve this offering, we cannot accept it.' They then immediately disappeared.","The king took the bolt of fabric and tried to offer it to 500 monks. The 500 monks simply vanished without a trace. The king was astounded. He subsequently offered the bolt of fabric to the queen by his side. To his surprise, the queen disappeared as well.","Now, the only person remaining was the king himself, holding the precious fabric and seeing nothing around him. King Ajatashatru then heard a voice saying 'Please offer the fabric to anybody you see.' Therefore, the king draped the bolt of fabric on his own back. To his surprise, the king himself also disappeared.","From space, Manjusri Bodhisattva said, 'If one lets go of all forms, all forms will disappear without a trace...' All of a sudden, King Ajatashatru attained this enlightenment.","","●","","This passage of the sutra is a great key cultivation formula. King Ajatashatru was the offeror. The bolt of fabric was the object offered. Manjusri was the one to whom the offering was made. However, the final result was no receiver, no offeror, and nothing offered (emptiness of the three wheels). Ultimately, there is nothing to gain.","Manjusri said, 'Bhagavan, the Buddha, had realized that all phenomena are non-arising like void, and cannot be contaminated.' This is the key cultivation formula for entering samadhi: no one meditating, no meditation, and no object of meditation. Because of this, one enters samadhi. (Entering samadhi with this dharma of 'emptiness of the three wheels' is the supreme dharma gate for attaining bodhi and nirvana.)","","●","","In this mundane world, I see that people are illusory, substances are illusory, I am illusory, and non-arising is like emptiness. Therefore, I have realized that millions upon billions of infinite buddhas of the ten directions attained nirvana and supreme bodhi all because of this. This is therefore inconceivable, incomparable, and indescribable. (There is originally no self. Phenomena arise according to circumstances.)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","L","","",""
"016 Key Cultivation Formula of Personal Deity Practice, Part 4","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000566&chapter_id=c016","o attain spiritual union with their personal deities, Vajrayana practitioners must pay attention to the following key cultivation formulas:","Subjugate afflictions.","Love oneself, and love others even more than oneself.","●","Sincerely attend the guru.","The signs of spiritual union are as follows:","Do not perform deeds that are of no benefit to yourself or others.","●","Do not engage in frivolous matters.","Let me tell everyone:","When one attains spiritual union with the personal deity, the personal deity and the retinue will appear in space. They will call out joyfully, 'You have attained spiritual union!' Thereafter, the practitioner will have the sensation of 'merging with the personal deity, transforming into the personal deity, and always experiencing the personal deity in close proximity' at all times (time) and in all places (space). One is never apart from the personal deity until attaining bodhi.","Do not create even the slightest evil karma.","Take joy in performing good deeds.","One must repent of one's evil karma.","Do not harm oneself or others.","After repentance, do not repeat the transgression.","Be mindful of the Buddha, the Dharma, the Sangha, and the Guru.","Practice single-mindedly with diligence.","Seeing the personal deity.","Hearing the teachings of the personal deity.","Lengthening lifespan.","Increasing good fortune and blessedness.","No evil views.","Perfect vows.","Free of illness and disease.","Free of calamities and disasters.","Great bliss.","Living in accordance with Buddhadharma.","Accomplishing the mission of spreading Buddhadharma.","Meeting the personal deity in one's dreams, in meditation, in space, in the pure land, and in the mundane world.","Free of fallacies.","Unhindered.","Never forget the guru's key cultivation formulas.","Influencing others to cultivate.","Receiving great blessings.","Fulfilling one's vows.","Have firm bodhicitta.","Have strong renunciation.","Liberation.","Everything is peaceful, calm, and happy.","Immune from black magic spells.","Not falling into the cycle of rebirth.","Focus on benefiting others.","Seek out a pure and authentic lineage guru and receive empowerment from the guru.","Abstain from evil speech.","Not influenced by grievances. (practice equality)","T","Practitioner is in harmony with the dharma.","Dual engagement in mundane and transcendent practices.","Transform the three karmas into the three secrets."
"017 Key Cultivation Formula of Personal Deity Practice, Part 5","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000566&chapter_id=c017","fter attaining spiritual union, I (Grandmaster Lu) experienced the following spiritual sensations:","","1. Upon entering meditation, I had the sensation of being as immovable as a mountain, towering as high as Mt. Sumeru. It was impossible to see the peak or the vast and infinite depths below. I myself was the universe of pure lands. My body was the universe. This spiritual sensation was like having all pure lands present in my mind.","2. Upon entering meditation, the dharma flow of the personal deity flowed into my body, and my entire body was filled with ambrosia. My body, speech, and mind were purified. All the black karma accumulated through my previous lifetimes was transformed into black qi which exited through my pores and disappeared without a trace.","3. Upon entering meditation, inner fire rose by itself, warm, red, and bright. From the soles of my feet to the crown of my head, and from the crown of my head to the soles of my feet, I felt the sensation of bliss. This bliss was not ordinary bliss. It was great bliss, brilliant light, and no thoughts. I sat within brilliant light. My entire body was filled with bliss. My afflictions vanished, I was unhindered, and I merged with dharma realms.","4. Upon entering meditation, I could fly upward and extremely fast. I was able to travel to infinite pure lands. I could, of course, visit the pure land of the personal deity, the three realms of heavens, and Maha Twin Lotus Ponds. There was virtually nothing I couldn't do. I could be enormous or tiny, a man or a woman, soft or hard, a god or a ghost. I could be whatever I wanted to be, such as a fish in the water, an eagle in the sky, or a tiger in the forest, changing and transforming in any way whatsoever.","5. Upon entering meditation, I was able to see the personal deity. I could hear the personal deity's Dharma discourse. I knew my past, present, and future. I could even know the past, present, and future of others and the thoughts of others. I had the power of mighty deities derived from buddhas, bodhisattvas, shravakas, pratyekabuddhas, or celestial deities. I was able to give people happiness and eradicate their suffering. The personal deity was always to my left and right. Or, I was the personal deity, absolute oneness.","6. Upon entering meditation, any Buddhist sutra which I didn't understand was now understood. The absolute truth that I didn't understand was now understood. I attained omniscient knowledge of the mundane and supermundane worlds.","","Phenomena which manifest in the mundane world are impermanent and constantly changing. Reincarnation is meaningless. Instead of indulging in profit or benefit in the world, one should cultivate the Buddha's teachings on liberation.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A","","",""
"018 True Non-leakage Practice, Part 1","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000566&chapter_id=c018","(Grandmaster Lu) can honestly tell everyone, 'I accomplished Non-leakage Practice long ago!' I have not experienced leakage of light drops (bodily fluids), day or night, for one year, 10 years, 20 years, 30 years... I am 'The Venerable of Non-leakage'.","I will give an example:","My sacral chakra has transformed into Taiwan's Shihmen Reservoir, which is tightly locked. Because no water has been discharged, the sluice gate has become too rusty to open. As a result, not a single drop has been lost.","This is, as said in Taoism, practicing to transform essence to qi, qi to spirit, spirit returning to emptiness, and emptiness returning to Tao. That I have long reached accomplishment in Non-leakage Practice is absolutely true and an actual fact.","","●","","I will add:","While the 10th Panchen Lama was in Beijing, he married a local girl. Later, a daughter was born. (This daughter studied in California). When I heard about it, I was speechless!","","Moreover:","Thaye Dorje, one of the two 17th Karmapas, married his childhood sweetheart. Later, they also had a daughter. Once again, I was speechless when I learned about it.","","●","","Honestly, if I were an emperor of ancient times, as an accomplished practitioner of non-leakage, I would not be concerned about having 3,000 exquisitely beautiful concubines in the palace harem. I would not fear being with a concubine every night and we would have great mutual bliss. My body would not become debilitated, nor would I die young!","","●","","As I (Grandmaster Lu) see it:","Non-leakage Practice is a vital inner practice of Vajrayana (second-level empowerment), as well as an important dharma. Without Non-leakage Practice, how could one engage in Highest Yoga Tantra (third-level empowerment)? In non-leakage practice, one expels only qi not essence. When qi is abundant, channels open, inner fire rises, and the light drops (essence) sustain.","","Therefore, only those who have accomplished Non-leakage Practice are qualified to engage in consort practice. The two major conditions needed to engage in consort practice are:","Therefore a true practitioner of yoga (a yogi) must accomplish Non-leakage Practice.","","","","","","","","","","","","","","","","","","","","Non-leakage.","","","I","Emptiness.","",""
"019 True Non-leakage Practice, Part 2","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000566&chapter_id=c019","omeone asked, 'Which comes first? Cultivation of qi or cultivation of non-leakage?' I answered, 'Non-leakage practice requires the use of qi. Therefore, one should cultivate qi and non-leakage at the same time.'","","●","","The key cultivation formula of non-leakage is as follows:","1. Fiercely sucking the middle finger.","When initial bliss (feeling sensitive) is sensed, one must be alert and immediately fiercely suck the middle finger. This transfers one's attention to the middle finger and diminishes the sensitivity of the initial bliss. This is one method of retaining essence (semen).","","2. Fiercely slapping the body.","When initial bliss is sensed, one must be alert, and quickly slap one's body until it hurts. This redirects one's attention to the painful area and diminishes the sensitivity of the initial bliss. This is another method of retaining essence.","","3. Forming Vajra Fist Mudra","When initial bliss is sensed, one must be alert. Both hands rapidly form a fist respectively with the thumbs inside the fists. Squeeze the thumbs until they hurt. This is to transfer the attention to the thumbs by firmly squeezing the Vajra Fist Mudra. As a result, the sensitivity of initial bliss diminishes. This is an additional method. (These three methods are methods of diverting attention)","","4. Sun and Moon facing heaven. (One of the Six Sakya Exercises of Non-leakage)","When initial bliss is sensed, one must be alert and have both the sun, the left eye, and the moon, the right eye, look upwards into the sky (ceiling). The first purpose is to divert attention. The second purpose is to ascend the qi. The sensitivity of initial bliss will then diminish.","","5. Pressing the tip of the tongue against the upper palate. (The second position of the Six Sakya Exercises of Non-leakage)","Press the tip of the tongue against the upper palate. This is the key cultivation formula of meditation (commonly called an overbridge). This forms a connection for the qi to shoot upward.","","6. Depleting Upper-body Qi [Udana]. (The third position of the Six Sakya Exercises of Non-leakage)","There are five kinds of qi in the human body:","Upper-body Qi—Controlling upper body.","Lower-body Qi [Apana]—Controlling lower body.","Circulating Qi [Viyana]—Circulating throughout the entire body.","Balancing Qi [Samana]—Inner fire that follows the central channel.","Heart Qi [Prana]—immovable at the heart.","As one exhales the upper-body qi, the lower-body qi will ascend and hold up the light drops (semen).","","7. Pressing the throat. (The fourth position of the Six Sakya Exercises of Non-leakage)","I often compare the principle of this method to the principle of a straw. After water is drawn into a straw, one can press the top of the straw with a finger to stop the water from flowing out. This is the same as one exhaling upper-body qi followed by pressing the chin down toward the throat to stop the light drops from flowing out.","","8. Tucking the belly toward the back (The fifth position of the Six Sakya Exercises of Non-leakage)","It is like tucking in one's stomach in the military. Form the abdomen into the shape of a bow. Lift and hold the light drops.","","9. Lift the anus upwards (The sixth position of the Six Sakya Exercises of Non-leakage)","Lifting the anus is also the practice of lifting. This causes the Lower-body Qi to ascend, prevents the light drops from flowing out, and locks the light drops.","","●","","I (Grandmaster Lu) can tell you:","One must practice these methods often. When necessary, comprehend the practice thoroughly and accomplish it at one stretch. The key point is at 'lifting', not at 'bearing'. One 'lifting' is a yogi, whereas one 'bearing' is an ordinary being.","This method involves practicing qi. If practicing consistently, one will be able to master it. One will then naturally accomplish the entire exercise within a thought. (This is the most essential key cultivation formula.)","","","","S","","",""
"020 True Non-leakage Practice, Part 3","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000566&chapter_id=c020","disciple asked, 'Is Non-leakage Practice Buddhadharma?' I replied, 'What is not Buddhadharma?' (I turned the question back on the disciple)","I continued, 'Sex, anger, and ignorance are all Buddhadharma.' (Greed, anger, and ignorance)","","The disciple asked, 'What does one cultivate through sexual activity?'","'Buddha.'","","'What does one cultivate through anger?'","'Vajra.'","","'What does one cultivate through ignorance?'","'Bodhisattva.'","","'Has Grandmaster Lu discussed Non-leakage Practice in any book?'","'I discussed this practice in Vajrayana Upadesa: Pith Instructions to Yogas of Spiritual Cultivation [Book 122] and Emptiness Within Great Bliss-An Explication of the Hevajra Tantra [Book 201].'","","'What is the teaching of Non-leakage Practice?'","'Control of sexual thoughts, transformation into emptiness.'","","'Is Non-leakage Practice the preliminary practice of Consort Practice?'","'Correct.'","","'Nowadays, the Consort Practice of Vajrayana is extensively criticized. What is Grandmaster's opinion of this?'","'This is because worldly people have no understanding of the transcendent meaning of this practice. This practice is actually extremely pure. In the consort practice, intercourse between a worldly man and woman is transformed into a sacred practice.'","","'Is this possible?'","'Yes, absolutely. The Consort Practice contains visualization, mudra skills, mantra, cultivation of qi, inner fire practice, chakra practice, light drops practice, clear light practice, entering samadhi practice'","","'Is it difficult to imagine?'","'An ordinary person has no way of knowing that great bliss, clear light, emptiness, and even attainment of Buddhahood in this very body can all be cultivated through the Consort Practice.'","","'What is the key cultivation formula of this practice?'","'Relax, calmly abide, meditate properly, empty everything, think of nothing, attain great bliss, transform into light, annihilate all phenomena, and realize emptiness.'","","'Are there evil gurus who use the Consort Practice to cheat women?'","'This is difficult to avoid. However, this kind of person is easy to recognize.'","","'How?'","'Has the person received the third-level empowerment of Highest Yoga Tantra? (Recognized empowerment by the Root Guru) Has the person attained non-leakage? Does the person have the right thoughts?'","","","","","","","","","A","","",""
