"chaptername","chaptername href","chapterbody","chapterbody 2","chapterbody 3","chapterbody 4","chapterbody 5","chapterbody 6","chapterbody 7","chapterbody 8","chapterbody 9","chapterbody 10","chapterbody 11","chapterbody 12","chapterbody 13","chapterbody 14","chapterbody 15","chapterbody 16","chapterbody 17","chapterbody 18","chapterbody 19","chapterbody 20","chapterbody 21","chapterbody 22","chapterbody 23","chapterbody 24","chapterbody 25","chapterbody 26","chapterbody 27","chapterbody 28","chapterbody 29","chapterbody 30","chapterbody 31","chapterbody 32","chapterbody 33","chapterbody 34","chapterbody 35","chapterbody 36","chapterbody 37","chapterbody 38","chapterbody 39","chapterbody 40","chapterbody 41","chapterbody 42","chapterbody 43","chapterbody 44","chapterbody 45","chapterbody 46","chapterbody 47","chapterbody 48","chapterbody 49","chapterbody 50","chapterbody 51","chapterbody 52","firstcharacter","chapterbody 53","chapterbody 54"
"009 请卢师尊多拍几下","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=436&chapter_id=c009","〇一三年，我在台湾雷藏寺期间，每一个星期六下午三时，均做诸尊的护摩火供。","等晚上吃完晚餐，我就“摩顶”。","每个星期六，均万人聚集。","有诗为证：","佛手摩顶大喜乐。","甘露下降净身心。","息增怀诛皆如愿。","奇迹连连均变现。","在我的手下摩顶，出现了非常多非常多奇妙的事情。","其中有一位，是做“精机”的，所谓“精机”是精密的机器，一向他的机器，外销到“欧洲”、“美洲”、“日本”等等。","在世界经济好的景气之下，订单源源不绝而来。","在世界经济金融海啸的时候，他仍有少少的订单。","因为他设计的机械，品质优良，有口皆碑，订单未曾断过。","所以，别人没有订单，他仍然保持着“稳定”，他赚了很多钱。","购买土地。","建大楼。","投资。","","但，在二〇一二年的下半年，很奇怪的现象出现，竟然连一张订单也没有，这是从来没有的现象。","很多机械业倒闭。","而他变成连一张订单也没有。他心中很急，没有订单，如何做下去？","他听说，卢师尊“摩顶”很灵验，他也就上山求“摩顶”。","奇怪的是，他第一次“摩顶”下山，隔天就收到一张订单。","他又上山“摩顶”，又得了第二张订单。","( 巧的是，摩顶一完，隔天又收一张订单。)","他现在有了信心，又第三次上山。","隔天又收一张订单。","他已收了三张订单。","有一次他很忙，没有参加“护摩”及“摩顶”，隔一天，没有订单，一个星期都没有。","他连连四星期（一个月）没有上山。","这一个月，连一张也没有。","于是他又上山。","隔天又眞的来一张订单。","如此：","屡试不爽，怪得很。","","有一回，我走过这位董事长，他大喊：","“请卢师尊多拍几下！请卢师尊多拍几下！请卢师尊多拍几下！”","我转头，拍了三下。","又是怪事，隔天收了三张订单。","有一段日子，台湾出口的景气，很不好，但，他有卢师尊的“摩顶”，订单的状况还不错。","这位董事长特别来找我，告诉我他的感应，而且要求：","“请卢师尊多拍几下！”","我问：","“眞有这么灵？”","董事长说：","“眞的！不摩顶一张也无，摩顶就来，摩三下，来三张。”","","","","","","二","",""
"010 一位脑部缺氧的婴儿","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=436&chapter_id=c010","西雅图雷藏寺时，一对夫妇坐了四个小时的飞机，抱着一位小婴儿来找我，他们一下飞机，就急急忙忙的求见。","执事人员问：","“什么事见卢师尊？”","夫妇说：","“最重大的事！”","执事人员笑了：","“每一位见卢师尊的人，都说天下第一重大的事，那到底是什么事呢？”","夫妇说：","“是我们小孩的事，很急。”","执事人员说：","“通常卢师尊，中午吃饭时间才会到，你们稍等一会儿。”","夫妇很急躁的说：","“我们去卢师尊的住处。”","执事人员说：","“他住的地方是秘密，我们也不知道。”","先生一听，火往上冲：","“岂有此理。”","","夫妇抱婴孩，急得团圑转，到处询问人，回答都是一样的。","等到中午吃饭时间，终于见面了。","我了解事情的始末：","这对夫妇，生了一个男婴，出生时，脐带缠住了脖子，让初生的小婴儿，有一段时间无法呼吸，造成了脑部缺氧的小生命。","小婴儿一出生：","一、脸发黑。","二、脑凹陷。","三、眼不张。","四、耳不听。","五、迟钝。","六、四肢没反应。","七、呕吐。","夫妇请医师急救，因为婴儿呈现不正常的状况，而医院把婴儿送入“育婴箱”中观察。","夫妇问医师：","“有救吗？”","“未知。”医师答：“救起也可能残废！”","天哪！夫妇大哭。","一个小生命就等着命运的安排。","小生命虽活着，但，一切症状，根本没有改善。","他们再问医师。","医师摊开双手，表示“无助”。","","这时有人告诉他们：","“何不飞去西雅图雷藏寺找卢师尊？”","“有用吗？”","“神得很！”那人说：“请卢师尊用手摩一摩小孩的全身。”","夫妇抱着小婴儿及氧气筒，就飞了过来。","我摩小婴孩的头。","摩眼睛、耳朵。","摩口 。","摩鼻。","一阵法流进入小婴儿的身体内，由脑部直冲而下。","小婴儿竟然口中吐了几口“黑血”，一块又一块的。","夫妇见状大恐。","在","后来小婴儿，睡得很香甜，呼吸正常。醒来后，脸红了、脑正常了、双眼张开、耳能听音、四肢能动、开口牙牙。","哇！眞的好了，夫妇高高兴兴的皈依眞佛！"
"011 是耶稣来接引","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=436&chapter_id=c011","名女子持着一张照片来请我加持照片中人，照片中人是一位病患，男子，三十多岁。","女子说：","“这位男士是我的侄子，在澳洲，任电机工程师。去年得了绝症，经过化疗，癌细胞已扩散到了全身。请卢师尊加持，看看会不会好？”","我的手摩了一下照片。","我是观想我的本尊的，我双目闭着，却看见基督耶稣。","耶稣如同一般照片中的形象显现－－","发长须长。","双眼慈柔。","穿内白外红之衫。","喇嘛装扮。","双手斜垂。","周身有光明。","耶稣从云中冉冉而下，接走了照片中的男子。","我亲眼目睹，颇惊讶！","我说：","“他死了，是耶稣基督来接走他的。”","这位女子说：","“卢师尊，你可不能乱说，我昨天才和他连络，他答应由我持照片，请你加持！”","","我说：","“他死了，眞的是由耶稣基督接走他的。”","女子说：","“他也不是基督教徒，早期，他随我皈依卢师尊你啊！”","女子在当时即刻连络了澳国，男士的母亲，两人互通电话。","女子一脸的错愣！","通完电话。","女子说：","“卢师尊，我佩服你！”","我问：","“怎么说？”","女子说：","“就在你的手摩照片时，他眞的死了！就在你摩照片的时候。”","女子又说：","“我的侄子，原本皈依你，三年前，结识一位洋妞，两人来往亲密。洋妞信仰基督教，带侄子去教会受洗礼，侄子家中悬挂一张耶稣的大照片。”","我说：","“那很好啊！”","","女子说：","“结果接引他的，竟然是大照片中的耶稣基督形象，如同你描述的一模一样。”","我说：","“阿门！”","女子问：","“卢师尊，你不排斥基督教吗？”","我答：","“当然不！”","女子问：","“为什么？”","我说：","“我以前也是基督教徒，曾任主日学老师、査经班老师。后逢奇缘，才信了道佛。我了解，基督教是天乘佛教的一个阶段。我是一位明心见性的尊者，根本没有分别心，我有的是平等心。”","","","","一","",""
"012 金洲大师现身","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=436&chapter_id=c012","〇一三年五月，晨起，看见大松树的中间，有一日轮升起，日轮中间有一人。","此人现身，光彩夺目。是：","彩虹光。","轮辐光。","庆云光。","严密光。","光彩万丈，坐于日轮的莲花光之上。我看了，非常欢喜，但，不知此尊者何人也。","我右手结钩召印。","我左手结时辰印。","（这种印法是値日功曹神所授，能结时辰印，诸尊下降，其口诀也是一个“摩”字了得。）","日轮中一人果然下降。","我问：","“尊者何人？”","答：","“我即金洲大师！”","","我问：","“我曾至印尼占碑，阿底峡尊者求法于金洲大师处。我至时，天上雷声大作，细雨霏霏，心中大震撼，何以如此？”","金洲大师答：","“有缘人至，莫不如此！”","我问：","“金洲大师，有一疑，请示之。”","金洲大师答：","“你有疑，所以我才现身示你，你是想问我的来历及传承是否？”","我答：","“正是。”","于是金洲大师说：","“我出生在爪哇岛，当年的爪哇岛盛行佛陀教化。”","“佛传大迦叶，大迦叶传阿难，后传至大谷苏鑪，大谷苏鑪传小谷苏鑪，小谷苏鑪传金洲大师，这就是传承。”","（小谷苏鑪即“宝军”即“摩诃宝利啰那）","我问：","“世人仅知金洲大师，大师有其他名否？”","金洲大师答：","“出生爪哇，名遍斗。后法名是具大种性白莲花王。”","我一听，愣住了！","“白莲花王！”","","我这一世是大白莲花童子转世，金洲大师是白莲花王，我们之间又有啥牵连？","我说：","“阿底峡尊者又是谁？”","金洲大师答：","“阿底峡尊者至金洲访我，我尽传阿底峡尊者，因为阿底峡尊者是我彼此多世之师徒，二者根本不可分。”","我问：","“那我卢师尊呢？”","金洲大师答：","“你是白莲花的种性，与白莲花王不可分割，与阿底峡尊者不可分割。你至占碑，天上响雷，即是，即是。”","我问：","“种性不可分割？我不明白。”","金洲大师说：","“佛言，一合相即是，你若知一合相，便明白一切了！”","","","二","",""
"013 梦中的开刀","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=436&chapter_id=c013","在长长的人龙中摩顶，人确实非常多。","一名男士匆匆而至，一面走一面喊：","“请大家让一让，行行好。”","众人答：","“我们都是排队的，你也须要排队，你到后面去排吧！”","男士说：","“我是肾结石，现在痛得紧，等不了的。请大家帮帮忙，请卢师尊帮帮忙。拜托！拜托.！”","我抬头看了男士 一眼，但见他头上冒着豆大的汗水，一面喊：","“痛、痛、痛。”","我从人群中走了出来，口中诵咒：","天圆地方。","律令九章。","我今施法。","给予平安。","我手轻拍男子背后肾臓的部位，一面拍，一面又念：","“嗡。梭巴娃。速打。沙尔娃。打尔妈。梭巴娃。速都罕。”","（观空。我观结石亦空。）","","拍了几下，男士竟然站立起来说：","“不痛了！不痛了！谢谢！谢谢！”","众人一看，啧啧称奇。","更奇的是，这位男士回家后，晚上在夜梦中，突然看见有几个人，走入他的房间。这些人喊着：","“开刀了！开刀了！”","男士说：","“我不开！”","那些人说：","“卢师尊拍你几下肾脏，痛是止了，但根源没有拔除，久久仍然会痛。我们几位天医，特来为你开刀。”","男士答：","“我只相信卢师尊！”","那几个人说：","“就是你相信卢师尊，我们才来的。”","那几位天医不由分说，包围住男士，就开始动手了。","一个开腹。","一个开肾脏。（将肾脏取出）","一个取石头。（结石）","把里面“尖形”、“圆形”、“杂形”的石头全部捡了出来。","再用手一摸，肾臓伤口复原，归了原位。","","另一个再用手一摸，腹部伤口复原，一点伤口也没有。","这些动作，男士均历历在目，却是一痛也不痛。","其中一位天医，上戴白帽、口罩、身白衣，站在一旁看。","一切完成后，那位天医脱下口罩，男士看清了他的面貌，大叫：","“是卢师尊！”","这一叫，便醒了过来，原来是一场“梦”而已！","但是－－","男士去医院检査，医师说：","“怪哉！所有的结石全不见了。拿出以前超音波照片，结石累累，而现在，竟然空空如也。”男士跑来告诉我检验结果。","我说：","“人生本是一场梦，不是吗？”","","","","我","",""
"014 鼻子过敏的问题","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=436&chapter_id=c014","家有三个小孩，二男一女，他们都有鼻子过敏的问题，首先不在意，后来过敏愈来愈严重，才发觉不妙。","清晨起床，一出棉被，就流鼻涕。","打喷嚏。","头昏脑胀。","影响功课。","容易感冒、发烧、咳嗽。","心情不佳。","后来，去看西医，没有太大的效果；又去看中医，也没有效。","事实上，每天流鼻涕、打喷嚏、鼻塞、呼吸困难......。","卫生纸擦了又擦，非常的困扰。","有人教他们，须要“养护”。","起床戴口罩，保暖。","洗鼻子。","吃过敏药。","虽然好了一阵子，但，结果鼻子过敏仍然再犯，已无药可治。","吴家长辈为这三个小孩，头痛不已，好像成了慢性病一般。","","又有人告诉他们，莲生活佛卢胜彦在“草屯”雷藏寺，法会完毕后，会有摩顶，听说很多疑难杂症，经过摩顶就好了。","吴家长辈不信：","“岂有这等事？”","吴家长辈问：","“靠什么力量？”","来人说：","“靠佛力吧！”","吴家长辈不信，摩一摩顶就好了，岂有此理？","但，来人说：","“何妨一试，又不损失什么！”","在一个星期六，吴家大小参加了我主持的护摩（火供）。","他们觉得很庄严。","又听我说法，觉得有法味。","最后参加摩顶。没想到，祈求摩顶的人，有上万人。","摩到吴家大小时。","他们叫：","“卢师尊，摩一下鼻子好吗？”","我问：","“鼻子怎么了？”","他们叫：","“鼻子过敏！”","","我的手，碰触三个小孩的鼻子，发觉自己的手，微微的震动，一股热呼呼的法流，灌入他们的鼻子之中。","我碰了三下。","就匆匆的走了过去。","他们叫：","“请多摩几下！”","我回头：","“这样就可以了！”","吴家大小下山后，第二天清晨，怪的是，三个小孩鼻子都不敏感了。","一天如此，二天如此，一星期如此，一个月如此，以后全好了！","吴家说：","“果然奇妙得很！”","我说：","“感应如潮水，佛力果然威吓！”","吴","",""
"015 你一定会被录取","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=436&chapter_id=c015","一位“雅靖”弟子，申请著名大学的博士班，他将申请的文件，拿来给我加持。当我的手一抚他的文件时，感应到一片光明。","我对雅靖说：","“你一定会被录取！”","雅靖说：","“我仅是试试，因为成绩未达入学标准，所以不抱希望。”","我说：","“铁定录取，我有感应到！”","“真的吗？”雅靖问。","“真的。”我说。","这件事，申请人是不抱希望的，因为申请成绩根本未达入学标准。","但，我却铁口直断，因为我不但看见光明一片，而且看见“观世音菩萨”绽放的笑容，而且向我点点头。","雅靖申请后，不久便收到学校的通知，表示不合格，所以：","“不录取！”","雅靖心中想：","卢师尊加持过的申请文件，且口口声声会录取。","","如今。","不录取了，可见卢师尊也会失准，“神算有够准”，看来，要大打折扣了！","雅靖口中不说。","但心中很后悔，当初不给卢师尊加持，就没有这件很糗的事。","懊恼啊！懊恼啊！","他曾经跟很多人提起，卢师尊说过：","“你一定会被录取！”","如今。","如何自圆其说？","大约过了三个月之后，雅靖又收到一张该学校的来函。","来函指出：","原本录取的学生中，有一位生了重病，无法再读博士班了。","你虽然未达学科的标准，也未达入学的标准。","但，其他科目尚优。","可以由指定的教授帮助你合格，所以仍然收录你进入博士班。","天哪！","“录取了！”","原本不录取的，变成录取了，这是非常难以置信的。","雅靖，喜出望外！","雅靖，高兴的跳跃。","","这如同碰壁！碰壁！结果“柳暗花明又一村”，被录取了。","雅靖赶快上台湾雷藏寺来告诉我。","我听了，也觉得“峰回路转”，是太不可思议了，是一项奇迹。","其实加持，也是有凭有据的：","例如：看见光明一片，不是看见一团黑。","例如：看见观世音菩萨，而不是看见罗刹。","例如：看见笑容可掬，而不是看见泪流满面。","所以我说：","“一定录取！”","我常常祈祷：","“让我能真正帮助人，让我的感应给予众生当依持！”","","","","","有","",""
"016 全身舍利","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=436&chapter_id=c016","日，一些修行者，达到了某一果位，他们蜕化时，往往有很多现象。","一、全身化虹光入虚空之中。","二、全身化虹光遁去，但，尚有毛发指甲。","三、全身舍利子滚来滚去。","四、全身震动，震出舍利。","五、天灵盖顶，黏着舍利。","六、关节部分，有舍利子。","七、心舍利。","八、舌舍利。","九、血舍利。","十、指舍利。","等等等等。","我的弟子之中，有一位年纪大的出家比丘，住在加拿大，满地可的城市。","他就是九十多岁的益民法师。","我最后一次看见他，是二○一二年的夏季。益民法师从“满地可”飞到“西雅图”来见我，我在真佛密苑的草坪和他聊了一下。","我说：","“益民法师最近可好？”","他说：","“好！好！好！”","","我看了他的脸。","红润润的，白眉毛，脸长方形，笑起来像一位小童子。","我问：","“身体好吗？”","他说：","“脚稍微没有力，现在走路要扶着拐杖。唉！唉！老了！”","我拍一拍他的肩膀说：","“法师，你是一位大成就者，将来你会到佛国净土。”","益民法师答：","“请卢师尊接引！”","我说：","“此时我接引你，他时你接引我。”","益民法师说：","“这怎么可以？”","我说：","“将来，你舍利子甚多，我保证你全身舍利啊！”","我再说：","“我们在密苑门口照一个相，这是我们多世因缘的重逢。”","我知道：","益民法师持上师心咒，达八百万遍以上。","持《高王经》达数千遍。","持《真佛经》达数千遍。","修上师法、本尊法、护法法无数。","","内法超胜。","身、口、意皆清净。","气、脉、点清净。","（已证阿罗汉的果位。）","这位益民法师年岁九十多，每一场时轮金刚大法会，他一定到。","二○一三年五月十五日，我从台湾飞回西雅图，知道益民法师已圆寂。","火化后，全身舍利，千千万万粒，一粒一粒像米那么大。","益民法师在我主持同修中，现身七次，最后一次变化成知觉阿罗汉，腾空而去。","昔","人问：","“益民法师成就为何那么大？”"
"017 为什么没有看到摩诃双莲池？","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=436&chapter_id=c017","一位女弟子，看见有人念八百万遍“莲花童子心咒”，真的去了“摩诃双莲池”。","而且卢师尊曾说：","“念八百万遍莲花童子心咒，即可往生摩诃双莲池，见证摩诃双莲池。”","于是她就念了。","当她念到七百万遍的时候，什么也没看见。又念到七百九十九万遍时，同样什么也看不见。最后她真的念到八百万遍。","她吓了一大跳。","因为八百万遍的那一声，刹那间，眼前白云片片放光。","光中现出一棵如意宝树。","宝树正中央是莲华生大士。","莲华生大士的头顶上方是历代祖师，最上方是普贤王如来。她认得普贤王如来。","莲华生大士的正前方，有释迦牟尼佛及十方三世诸佛围绕。","莲华生大士的右方，有三怙主－－文殊菩萨、金刚手菩萨、观音菩萨。","莲华生大士的左方，有舍利弗、目犍连等的声闻缘觉圣众。","在如意宝树，枝叶空隙有金刚明王护法神众。男金刚明王面朝外，女金刚明王面朝内。","她自己估计，所见到的诸佛、菩萨、金刚、护法、空行、诸天，真的上百上千，无法去计数了。","","她跑来告诉我：","“看见的是什么？”","我答：","“那是皈依境的如意宝树。”","她问：","“为什么没有看到摩诃双莲池？”","我答：","“如意树是长于八功德水中的，八功德水等于是摩诃双莲池。”","她说：","“我不管，我要看见摩诃双莲池的十八大莲花童子才算数！”","我笑着说：","“不要太执着，妳念八百万遍心咒，看见千百亿的佛、菩萨、金刚、护法、空行、诸天，已满足了。”","她说：","“我就是要看摩诃双莲池的十八大莲花童子，这样才算。”","我一时之间，也不知如何是好。","我说：","“好吧！我给妳摩一摩顶，妳回去看！”","","她回家，第二天又来，说：","“这一摩顶，什么也没有了，我一样没有看到摩诃双莲池的十八大莲花童子。”","我一听也怔住了。","我召请本尊下降。","本尊告诉我：","“教她念《真佛经》三遍，再摩顶，一定得见！”","我照本尊的话去做，要她念《真佛经》三遍，我再给她摩顶。","这回－－","她兴冲冲的上山，告诉我：","“我看见了，见证了。”","我很奇怪，为何第一次摩顶不见，第二次摩顶才见。","后来我才知道，她曾经请了三本《真佛经》回去，随手扔在报纸堆中，因而，必须念三回《真佛经》，如此才得见！","","","","","","","有","",""
"018 枕边有人","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=436&chapter_id=c018","一位许小姐，告诉我一件她很困扰的事。","她有一回，去参加好友哥哥的丧礼。","好友的哥哥是骑摩托车，被从后面的汽车撞击，人车飞落山谷而死。","生前对许小姐有好感，曾经参与郊游、露营、野餐......。","但，尚未达男女朋友的标准，聚会都是很多人，很多人。","参加好友哥哥的丧礼回来。","那天刚刚落雨，屋子有凉意，使她觉得阴森森的。她说，她的屋子平时很温暖，怎么今天变得凉凉冰冰的？","又，那个丧礼的哀凄场面，始终在脑海中，挥之不去。","灵堂里的相片眼神，有一点哀怨，她好像走到哪里，那眼神，就跟到哪里。","她洗一个热水澡。","舒服了些，上床睡觉。","半夜，问题来了。","她半夜突然醒来，感觉到睡榻之旁有人。她看了一眼，半梦半醒，她看到睡在旁边的人，竟然是好友的哥哥。","身是浅蓝色。","七孔流血。","开口说：","“嫁给我吧！”","","她大叫一声，全醒了。","再一看，床边是空的，好友的哥哥消失了。","再来－－","都在半夜发生。","她看见好友的哥哥，在床的上空飞。又开口说：","“嫁给我吧！”","又－－","她翻一个身，摸到一具冰冷的尸体，又是他，他又开口：","“嫁给我吧！”","又－－","她在睡中，觉得有物压在她身上，她用手一推，那人腾空，又是他，仍然开口：","“嫁给我吧！”","几乎一个月，夜夜如此。","她整个人都快崩溃了！","更有甚者－－","半夜冰箱的门，自动打开。","夜间敲门，打开无人。","半夜马桶，自动冲水。","浴室有人洗澡，跑去看，根本无人。","清晨醒来，原关闭的窗子，全部打开。","拖鞋不见了，被丢到垃圾桶。","......。","","许小姐告诉我：","“卢师尊！怎么办？他好像或根本就住在我家。”","我说：","“他何止住在妳家，妳走到哪里，他跟到哪里，他现在就在妳身旁。”","吓！","许小姐说：","“怎么办？”","我说：","“小事一桩。第一，我用手结四纵五横印加持妳，结界，他不能近妳的身。第二，在住家四角，安立时轮金刚金刚盾，他不能进入妳屋子。第三，持我的心咒，他一接近，就摔了出去。”","许小姐都做了。","果然安宁无事，一切恢复正常。","有","后来－－","有一晚，他跟踪我，我一转身，双手结“轮回印”。他的灵体被吸入“轮回印”中，轮回转世去了！"
"019 掌中出现乙尊城隍","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=436&chapter_id=c019","一个人，他不是佛教徒，也不是其他教的教徒，他从来不信仰什么东东。","他是职业军人，小时候家里穷困，历经艰苦的他，后来投考军校，毕业后，过着军旅的生活。","军旅生活很单纯。","他的人很老实。","烟酒赌博，从不沾染。","风花雪月，不会涉及。","吃喝玩乐，也很少有。","他喜欢读书，比较喜欢清净，长年研究学识，偶而才看看电影。","再加上：","军中锻炼出坚强的意志力。","有纪律的日常生活。","清清白白的习性。","他认为：","宁静澹泊的操守，与拜佛诵经，并无不同。","暗室无亏的品德，就等于佛教的守戒律。","所以，他什么也不信！","友人劝他信佛，不为所动。","","他过着：","上班下班。","服务军中。","全无奢求。","有一天，他上大号，便中有鲜血，他很惊恐，接连几星期，均是如此。","他买了肠子发炎的成药吃，无效。","到诊所找医师，吃抗生素，无效。","最后照肠镜，发现恶性的瘤（肠癌），主治医师主张切除。","他是有点怕怕，因为切除有后遗症。","有人告诉他，草屯虎山有座雷藏寺，莲生活佛卢胜彦的摩顶常有奇迹。","他嗤之以鼻！说：","“朗朗乾坤，妖言惑众！”","再劝他试试。","他说：","“卢胜彦批评他的人很多，风评实在不佳，我不为所动。”","劝者无功而退，只送他一本书《七十仙梦》。","他看书，觉得很新鲜。（《七十仙梦》的书）","劝者又来，他盛情难却，又不花费什么，也就去试试。","我摩他的顶，看见自己的掌光有乙尊“城隍”来救他。","我说：","“有乙尊城隍来救你了！”（城隍是地方境主之神）","他答：","“胡说，我对一切宗教都不信，何来城隍？”","“有供祂吗？”","“当然没有！”他答。","","我问：","“你跟城隍从无渊源？你自己想一想，再想一想，一定会有根源。”","这位军官突然跳了起来说：","“我想起来了，我小时候，隔壁就是城隍庙。常常进庙玩，学大人，向城隍合掌叩首，父母曾在城隍庙给我安过一次光明灯。”","天哪！","真是准！","他一生只跟城隍合过掌，叩过首。","我摩过他的顶之后，奇迹的是，他的癌，主动变小，变没有。主治医师本想切除，却没有东西可切。","有","他来谢我，及皈依我。","我说："
"020 加百利天使","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=436&chapter_id=c020","O一三年五月二十二日，那时候我已回到美国西雅图雷藏寺。","在二十二日那一天的清晨，我在睡眠中，迷迷糊糊看见一位长着白翅膀的人，在天主教或基督教，就被称为天使。","这位天使告诉我：","“我是加百利天使！”","我问：","“祢有何事？”","天使告诉我：","“时到即知。”","我在迷迷糊糊之中，只听见“加百利天使”的名字，其他什么都不知道。","到了二十二日的傍晚，有一位老人，扶着拐杖，在我吃完晚餐之后，请我给予加持。老人给我一张纸条，上书：","“我一星期，跌倒十多次，医生扫描头部有瘀血一大块。医生认为，要把瘀血取掉，才不会跌倒。请卢师尊帮我加持。”","我即时伸手。","按在他的头顶上。","","心中精神集中，观想本尊“瑶池金母”。结果“瑶池金母”没来，倒是出现了“加百利天使”，是“加百利天使”来帮助这位持拐杖的老人的。","不管是谁加持！","我的手掌法流，源源不绝的灌入老人的头中。","我说：","“会有奇迹！”","我说：","“你会好！”","到了五月二十三日，这位老人到医院重做扫描，扫第一次，没有看见瘀血。扫描第二次，仍然是看不见有瘀血。","医师取出扫描片子：","上一回，明明瘀血一大块。","这一回，两次扫描均不见了。","医师大叫：","“有鬼！”","医师说：","“太不可思议了！”","这位老人说，隔几天，他会来感谢我。","几天后他来，我很好奇：","“谁是加百利天使？”","老人答：","“不知。”","","我问：","“你家有天使的雕像吗？”","老人想了一想，说：","“我的儿子，有一回到叙利亚经商，在叙利亚的古董店，看到乙尊天使肖相，是雕刻的木头，很美丽，就请了回来。儿子随便摆，我看天使有翅膀，应该是神圣的，我就把天使摆在崇高的橱柜的最上方，以示恭敬。我也不知道是天主教的天使或基督教的天使，我什么也不懂。”","最后，我只有自己去查“加百利天使”，查了之后，吓了一大跳！","在“穆斯林”、“伊斯兰教”，穆罕默德四十岁时，在麦加三哩外的哈拉山洞中，有一位天使出现，认证穆罕默德是真主阿拉（上帝）派来的先知。要他启示的真理，全记在《古兰经》中。","而这位启示的天使，名字竟然是：","“加百利天使！”（GABRIEL）","","","","","","","","","","二","",""
"021 妳要请卢师尊摩腹部","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=436&chapter_id=c021","一位年轻少妇，有了身孕之后，就觉得反胃，呕吐，身体感觉不适。连胎儿也觉得要掉了出来。有时，还流血。","少妇去找医师。","医师说：","“很容易流产，要躺着，才能保得住婴孩。”","因此，就遵照医师的吩咐，没事少走动，大部分躺床上。","这位少妇是信佛的，普济寺的师父去看她，要她：","一、念〈大悲咒〉，喝大悲咒水。","二、念《普门品》，可救产难。","三、念《药师经》，可解其他病痛。","少妇就依照师父的教导，念〈大悲咒〉，念《普门品》，念《药师经》。","结果，感应非常好，躺了二个月，胎儿就固定了，没有要掉下来的感觉，身体也觉得舒畅很多。","她去普济寺供养僧众。","听佛法。","发菩提心，当功德主。","师父还说明服“阿伽陀药”的方法给她听，她非常高兴。","","到了约七、八个月。","医师例行检查，发觉婴儿，胎位不正。一般人要生产前，胎位是头朝下，脚朝上，但她的是脚朝下，头在上。","医师以图片指示要做运动。","这类运动是令胎儿渐渐的转过来，生产时，变成头朝下，脚在上。","少妇很认真的做。","到了临产期的时候，医师用超音波扫描，发觉婴儿头是朝下了，脚在上面，简直是太棒了。","但，医师用听筒听诊，竟然没有听到婴儿心跳的声音。","再仔细检查，果然没有心跳。","胎儿死了！","医师叹了一口气。","少妇脸色苍白。","怎办？","少妇只有听医师的，要把死胎拿掉。","少妇回家后，晚上翻来覆去睡不着，觉得非常难过。","当朦胧快睡着的时候，她看见墙上的观音菩萨相片，观音从里面走了出来，对着她说：","“妳要去请卢师尊摩腹部！”","说完，又走回菩萨相里去了。","","第一回，她认为是自己日有所思，夜有所梦。","但，第二晚，观音菩萨又对她说：","“妳要去请卢师尊摩腹部！”","这时，她才问：","“卢师尊是谁？”","有人告诉她，卢师尊在雷藏寺说法，于是她真的来了，排在人群中。","我走过时，她露出大肚子，说：","“卢师尊请摩腹中婴孩！婴儿没心跳。”","我怔住了，就轻碰了一下。","就是这样子，婴儿的心跳竟然动了，又跳了。","生下了一位白白胖胖的男婴，健健康康的。","这位少妇带很多人来皈依！","","","","","","","有","",""
