"chaptername","chaptername href","chapterbody","chapterbody 2","chapterbody 3","chapterbody 4","chapterbody 5","chapterbody 6","chapterbody 7","chapterbody 8","chapterbody 9","chapterbody 10","chapterbody 11","chapterbody 12","chapterbody 13","chapterbody 14","chapterbody 15","chapterbody 16","chapterbody 17","chapterbody 18","chapterbody 19","chapterbody 20","chapterbody 21","chapterbody 22","chapterbody 23","chapterbody 24","chapterbody 25","chapterbody 26","chapterbody 27","chapterbody 28","chapterbody 29","chapterbody 30","chapterbody 31","chapterbody 32","chapterbody 33","chapterbody 34","chapterbody 35","chapterbody 36","chapterbody 37","chapterbody 38","chapterbody 39","chapterbody 40","chapterbody 41","chapterbody 42","chapterbody 43","chapterbody 44","chapterbody 45","chapterbody 46","chapterbody 47","chapterbody 48","chapterbody 49","chapterbody 50","chapterbody 51","chapterbody 52","firstcharacter","chapterbody 53","chapterbody 54","chapterbody 55","chapterbody 56","chapterbody 57","chapterbody 58","chapterbody 59","chapterbody 60"
"009 同样都是那只手","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=446&chapter_id=c009","位同门师兄，在我二〇一四年十一月二十二日回台的第一次法会中，拍摄到二张放光相片。","一张是我持金刚铃，金刚铃的口，朝上时，射出一道红色的光束，光束非常的美。另一张是我结手印，右手食指伸直，食指的尖端射出白色带一点红金的圆形之光，光还有光晕，相当出色。","一时轰传。","叹为稀有，不可思议。","","有人问我：","“那是眞的吗？”","我答：","“那是我的手，当然是眞的。”","那人问：","“我是说放光，是眞的吗？”","我答：","“我的手当然是眞的。至于放光，请你去问光，好吗？”","那人：","“......。”","","我告诉大家：","我的手拿着筷子吃饭，那仍然是我的手。","我的手握着笔在画画，那也是我的手。","我的手拿着卫生纸擦屁股，仍然是我的手了。","我的手伸出来给大家摩顶，那更是我的手。","我的手放光。","根本还是我的手！","","我是一个“明心见性”的人，我的手掌有光，并不是很稀奇。","头上圆光。","背上背光。","手上掌光。","脚下莲光。","周身毛细孔，孔孔放光。","我加持佛像，佛像放光。","我手握金刚铃，金刚铃一定有光。","修行密教大圆满的大成就者，最后都是化为虹光而升入虚空。","","我以前写书时，常写到我身子有三光：","佛光。","灵光。","白光。","","我与我自己聊天-","“当你摇金刚铃时，你自己知道金刚铃放光吗？”","我答：","“不知道。”","“当你的食指伸直的时候，你自己知道食指放光吗？”","我答：","“不知道。”","“当有同门师兄拍照的时候，你知道吗？”","我答：","“不知道。”","“那什么都不知道，你知道什么？”","我答：","“知道不知道。”","一","“这又是什么密义？”","我答：","“自然。”","“做任何一件事，我很专一。”","我又说：","“放光有什么密义吗？”","我答：","“放光的密义！”"
"010 善巧方便","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=446&chapter_id=c010","一位认眞思索的弟子，对我说:","“卢师尊，我现在已知道，你日日写书，主旨是在善巧方便，指引众生通往证悟的大道上,”","我点点头。","他又说：","“书的内容，不出智慧与慈悲，就连你出版了《月河的流水》、《对着月亮说话》、《梦乡日记》这三本，表面上是述情，但，其内在仍然是智慧与慈悲。我这样说，对吗？”","我又点点头。","他最后说：","“我明白，智慧及慈悲是最重要的，我想开悟，是离不开智慧及慈悲的。你说是吗？”","我说:","“请你仔细听着，智慧及慈悲，仍然是善巧方便。智慧是通往开悟的方法，慈悲也是通往开悟的方法。”","","他说：","“卢师尊是说，智慧不是开悟，慈悲不是开悟，那我们如何思维？”","我答：","“比如，佛的开悟是山顶，智慧只是到山顶的道路，慈悲亦然。”","“那山顶是什么？”","我答：","“山顶就是山顶！”","","“你能不能透露一点点开悟的心得？”","我说好的：","无云晴空。","太阳饼里没有太阳。","月饼里没有月亮。","老婆饼里没有老婆。","无缝塔。","黑漆桶。","水中月。","镜中花。","......。","“不懂！”","","我答：","“没什么可以懂的。”","“看得见吗？”","“看不见！”","“听得到吗？”","“听不见！”","“摸得到吗？”","“摸不到！”","“感觉得到吗？”","“感觉什么都没有！”","“不是见闻觉知，那如何知道自己有没有开悟？”","我答：","“因为知道不是见、闻、觉、知，所以才叫做开悟！”","“仍然不懂！”","我如此说：","“你睡觉吗？”","“睡觉。”","“你醒来吗？”","“醒来。”","“你昨晚做梦吗？”","有","“做梦。”","“做梦是眞的吗？”","“醒来才知一切是假。”","“小悟！”","我说：","","",""
"011 开火车的比喻","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=446&chapter_id=c011","常常唱一首儿歌，是唱给“平儿”听的，平儿是三岁的女童，住西雅图雷藏寺的隔壁。","我唱。","小板凳儿排一排。","小朋友啊！坐上来啊！坐上来。","我们的火车就要开。","我做司机把车开。","轰得隆咚，轰得隆咚，轰得隆咚。","嘟......。","","我比喻-","火车-是眞佛列车，开往佛国净土。","乘客-皈依弟子。","司机-莲生活佛卢胜彦。","我的意思是说，我做司机，把眞佛列车上的有缘弟子，载到摩诃双莲池去！","","龙树菩萨有一个偈，如是说：","于彼生灭等，此法得断时；","宣说缘起者，能王我顶礼。","龙树菩萨是说：","对教导我们缘起的佛陀，这是一个让我们舍弃生死的方法。","对这么威猛的圣者，我们要虔诚的顶礼啊！","","又有一偈：","皈命三世寂灭主，宣说缘生正法语；","若了诸法离缘生，所作法行即是离。","","我说：","若一切缘未生，这就是“解脱”啊！","我再比喻：","我不是司机。","根本没有眞佛列车。","也没有乘客。","(这才是了义的眞正本质)","","我这个“明心见性”的人，已经了解了“根本眞实的状态”。","无常。","无我。","空。还有苦。","眞正的本质是","诸行无常。","诸法无我。","涅槃寂静。","这就是人间的眞正本质。","","我曾经问一名医师：","“这种病什么时候会好？”","医师答：","“死的时候，病就好了！而且死了之后，百千万种病全好了！”","我听了，有悟！","你听了，有悟吗？","","我唱：","我","小板凳儿排一排。","小朋友啊！坐上来，坐上来！","我们的火车就要开。","轰得隆咚，轰得隆咚，轰得隆咚。","我做司机把车开。","嘟！","哈！哈！哈！","眞是一场游戏啊！"
"012 碟仙与通灵盘","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=446&chapter_id=c012","看一场美国的鬼电影，是有关“通灵盘”的，看完了，我的念头闪过以前玩的碟仙。","","有一阵子，风行“碟仙”。","大家都在玩。","底下一纸“千字文”。","上放一碟。","三个人伸三只手，轻轻放着。","碟仙自行转动，会指示大小事，有问必答。","","美国“通灵盘”差不多。","一纸英文字母。","三个人伸手轻放。","通灵盘自转，由字母一字一字指出想问的答案。","","我在美国“眞佛密苑”有通灵盘，是钱师姐赠给我做纪念品的。","我没有玩过。","我想告诉大家的是：","是你在推？","是我在推？","是他在推？","","其实都不是，这中间确实有一媒介，那就是“灵”。","你问的答案有“验”有“不验”，只因灵来，不会是高级灵，而是低级灵，所以相当曲折复杂，不单纯。","如果执着。","此生迷。","迷则入其中，欲拔不能。","由碟仙及灵盘，也有可能发生其他的意外，产生了走火入魔的现象。","","我说：","我们去看电影，在那二个小时之中，你的眼识完全投入在电影之中，念头随着电影起起伏伏。","在刹那的当下，你惊、你恐、你融入在电影的情节当中。","当二个小时过去，电影放完了，你站立了起来，仿佛回归现实。","电影情节回味一下。","哈！","原来是这样！","这只是一场戏，从此一刀两断，永远不再想起来了也。","我们看电影，大半如此。放下了！","","但-","大家有没有想，每一个人在每天的生活之中，是前天、今天、昨天......。","一直连续着。","去年、今年、明年......。","过去、现在、未来......。","完全混为一谈的，并且误以为它们是持续存在的一个人生事物。","“你能斩断吗？”","“不能。”","“为什么不能？”","“因为我们不以为那是一场电影！”","","我在这里实实在在的告诉大家：","“如果你能斩断！”","“你只活在当下，如果还有当下的话！”","去","“过去的你，忘了！”","“现在的你，忘了！”","“未来的你，尚未！”","我答：","“这时候的你会怎么样？”","“放下!”","",""
"013 视天下众生是“佛”","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=446&chapter_id=c013","很钦佩印度的修女“圣，陶丽莎”。","因为她济世的精神及毅力，令人感动。","","她有一句名言:","“视天下人皆是上帝。”","","我听过：","她把生病的街友，带回中心。","沐浴净身。","亲侍服药。","用药水洗净疮口。","侍奉他她如同自己的亲生父母一般。","其实“圣，陶丽莎”把所有的人当成“上帝”来服侍。","(后来天主教教廷，给她封圣)","","在佛教中-","我们把年长的女子，视为母亲。","我们把年幼的女子，视为妹妹。","这是禁“淫”用的。","","在密教修观想上：","右手边观想是父系亲人。","左手边观想是母系亲人。","后方观想是恩人师长。","前方观想是怨亲债主。","四周观想是六道众生。","(如此团团围绕，一同修习密法，皆共成佛道)","","另外：","我把天下的众生皆视之如“佛”。","这是把佛陀的话，拿来应用，佛陀说:","“原来一切众生，皆具足佛性。”","有的佛教徒把天下有情众生，皆看成累世的父亲及累世的母亲。","","在佛教的观念中：","“有现世的父母，也有累世的父母，父母转世是无止无尽的，其恩德也是无止无尽的，所以报父母恩，把天下人皆看成累世父母，这样才不会有差错。”","","还有最重要的一点：","众生具足佛性。","只要把一切障碍去除，佛性显现，众生都是不折不扣的佛了。","","我自己问自己：","“这天下人，看起来面目可憎，一种米养百样人，有些人朽木不可雕，有些人卑鄙无耻，有些人具叛逆性格，有些人专门害人，有些人杀人放火，有些人心地凶恶残暴，有些人作奸犯科，有些人是强盗小偷，有些恶形恶状。你能够把这些人都看成佛吗？”","我答：","“能！”","","“如果你自己去救度他们，反而被害呢？”","我答：","“舍身喂虎！”","“如果对方仍然不体谅？”","我答：","“为法捐躯！”","我","“如果捐躯了，人们还耻笑你呢？”","我答：","“下一世再来！”","“再下下一世！”","“如果下一世同样受害？”","“你这是什么观念？”","我答：","“慈无量、悲无量、喜无量、舍无量。平等性、大圆性。”"
"014 咳嗽怎么办","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=446&chapter_id=c014","在二〇一四年十一月十五日回到台湾，约过了二天，早上醒来，喉咙瘖哑。","我初时不以为意。","接着是咳嗽，而且愈来愈严重，咳嗽的次数相当多。","咳嗽激烈非常。","干咳。","略带气上下波动，略喘。","我一看不行，看了“耳鼻喉科”的医师，吃药、喉片、药水。","全吃完了。","没有改善。","","第一星期上法座说法，上法座之前咳，说法时不咳，说完了法，又咳。","第二星期上法座说法，上法座之前咳，说法时不咳，说完了法，又咳。","又，甘露精舍，瑜伽焰口，我说法不咳，其他时间，又咳。","怪哉！只有“说法不咳”。","","我将咳嗽宣布-","弟子们纷纷送药......。","止咳水。","药草。","喉片。","止咳药粉。","发泡锭。","西药。","偏方......。","","我的家中，堆集的药品，可以开一家药铺子了。我择着吃，到今天为止，","我写著文章的时候，还在咳。","我对瑶池金母说：","“再咳！我改信基督教！”(恐吓)","我又对瑶池金母说：","“再咳！我就改信穆斯林(回教)！”(恐吓)","","但-","仍然咳！","我一下子，茫茫然了！怎办？怎办？怎办？怎办？怎办？","我很多医师弟子，都帮了我的忙。","我问自己，怎么办？","我答；","“不知！”","“你会埋怨东，埋怨西吗？”","我答：","“不会！”","“是不是有人下杠头？或是蛊？”","我答：","“不理会。”","","“是台湾的空气品质不佳吗？”","我答：","“空气品质不佳，是事实。但，一起回来的，没有人咳，只有自己咳，不能怪空气。”","“你是用喉咙说法的人，会造成很多不便，怎能不快快根治？”","我答：","“一切随顺了！”","我","“一位伟大的圣者，一个开悟的上师，一个见性的佛，也要受肉体的折磨吗？”","我答：","“释迦牟尼佛有偏头痛，有骨刺，有肠胃病。”","我答：","“你什么时候会好？”","“好的时候！哈哈！”","",""
"015 我是外科医师","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=446&chapter_id=c015","间:二〇一四年十二月二日晚上。","地点：台中日月湖餐厅。","人物：印尼弟子。","有一名印尼女弟子，她会画唐卡佛像，画“金刚亥母”、“金刚瑜伽母”、“金刚萨埵”等等。","画工精细、唯妙唯肖。","她把“金刚亥母”送泗水的“莲洪上师”。","她把“金刚瑜伽母”送给我。","我很高兴。","她的英文名字是“伊丽莎白”。","","她说：","她脑部长癌瘤，被检查了出来，三公分大，医生们要她开刀取出。","她飞到美国西雅图找我加持，我说给妳梦示。","她做梦，梦见卢师尊穿外科医师的制服，手持刀给她手术。","这是一个手术的梦。","她回到自己的国家，再回医院，再受检查，吓！癌瘤不见了。","“医师说不可能！但确实不见!”","“医师说，太不可思议了！”","她很高兴。","","我自己与自己聊天：","“你是外科医师吗？”","“不是。”","“你会动手术给人开刀吗？”","“不会。”","“那你在梦中给女子开刀，是怎么一回事？”","“那是做梦。”","“做梦如何癌瘤会不见了？”","“因缘巧合啦！”","“梦有些有应，有些没有应，是怎么一回事？”","“仍然是缘。”","“你在梦中当了开刀医师，只要长了癌瘤的去求你，你一一给予开刀，结果全部痊愈了，大家都会去求你，不是吗？”","“是的。”","“会全好吗？”","“不一定。”","“为什么大小眼，有的会好，有的不会好？”","我答：","“眞的要看缘分！”","","“举一个例子，谈一谈缘分吧！”","我答：","“我的手能提起二十公斤的东西，在这个范围之内，我可以治。在二十公斤以上的，我就没有办法治了。”","“不是说，佛法无边吗？”","“佛法是无边，但，学佛者有边。”","“你不是明心见性的佛吗？”","我说：","“是的。但弟子有边啊！”","“缘分就是指这个？”","“信心也是其中之一！”","“很多的神迹发生在你的身上，你不觉得你很有法力吗？”","我说：","“我也不能治自己的咳嗽！”","时","“怎么回事？”","“众生有病，我有病。”","","","","","",""
"016 跳肚皮舞的女人","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=446&chapter_id=c016","华雷藏寺办晚会，晚会的第一个节目是“肚皮舞”。吓！是肚皮舞耶！","这使我联想到：","全身装扮着华丽薄纱的女郎，露出肚脐的腹部，配合著音乐。","扭腰摆臀。","晚会一开始-","约有七位女子跳“肚皮舞”，她们不是同门，而是从外面请来的。环肥燕瘦，七彩衣饰，眼花撩乱。","","与我想像有一点不同的是：","“在裸光的肚皮上，又加盖了黑色的薄纱，已看不见肚皮了！”","我问：","“为何加盖黑纱？”","旁人答：","“因为卢师尊是和尚。”","我说：","“我也是男人。”","旁人打“哈哈”，支吾过去了！","","我自己与自己聊天：","“和尚可以看肚皮舞吗？再进一步说，和尚可以看脱衣舞吗？再进一步些，和尚可以看裸体画吗？再再进一步说，和尚可以......。”","“什么是善？”","“什么是恶？”","我说；","“在一般人来说，他们看肚皮舞，是可以的；但，和尚就不可以。”","“善与恶，很难划一个界限。”","他人看，善。","和尚看，恶。","所以肚皮上要挂上黑纱遮住。变成肚皮舞中的不是肚皮舞！","","我记得有个笑话：","一位山上砍柴的樵夫。","在深山中与一位修行的和尚见面。","樵夫问：","“你尚有妄念否？”","和尚答：","“每月三次。”","樵夫说:","“果然功德高深，修持有定境也！令人敬佩。”","和尚接着说：","“每月三次，但一次十天。”","哈哈哈！","","我问我自己：","“你会因为看到肚皮舞，就会升起欲望吗？”","我答：","“不会！”(肚皮有何好看)","“你会因为看了脱衣舞，而升起你的欲望吗？”","我答：","“不会。”(无情无愫)","“你会因为看到裸体素描，而升起你的欲望吗？”","我答：","“不会。”(纸片人)","“别人呢？”","香","“别人我不知道！”","“你为何不会？”","我答：","我又说：","“我的修行，可控制我的欲望，来去自如之故。”","“我知我空，你空，他空。”","我可以看“肚皮舞”！",""
"017 我唱一首歌","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=446&chapter_id=c017","喜欢〈荷塘月色〉这首歌的旋律，听了几回，口中也能哼一小段：","我像只鱼儿，在你的荷塘。","只为和你守候那皎白月光。","游过了四季，荷花依然香。","等你宛在水中央。","","这是一首情歌：","很美。","很甜。","但是充满了“幻”。","","因为：","荷塘里不会只有一只鱼。","月光也不一定非常皎白。","四季变幻。","荷花变残荷，还香吗？","等你到几时？","等不着怎么办？","我记得在从前，我喜爱着〈牵手〉这首歌：","因为爱着你的爱。","因为梦着你的梦。","所以悲伤着你的悲伤。","幸福着你的幸福。","因为路过你的路。","因为苦过你的苦。","所以快乐着你的快乐。","追逐着你的追逐。","","因为誓言不敢听，因为承诺不敢信。","所以放心着你的沉默，去说服明天的命运。","没有风雨躲得过，没有坎坷不必走。","所以安心地牵你的手，不去想该不该回头。","","也许牵了手的手，前生不一定好走。","也许有了伴的路，今生还要更忙碌。","所以牵了手的手，来生还要一起走。","所以有了伴的路，没有岁月可回头。","","这首歌，比较“现实”。","带着“忧伤”也带着“快乐”，带着执着的“情愫”。","最后，还有：","前生。","今生。","来生。","","由于“因为”，才有“所以”，这中间还牵缠着“缘分”，相当感人。","接下来，我们可以问一问自己：","“你的人生有爱吗？”","“有。”","“你是为了爱才活着吗？”","“是。”","“你的人生有恨吗？”","我","“是的，也有。但，我很快的放下。”","“如何放下恨？”","","“爱也不是这样吗？”","我答：“一场梦，一出戏，很快就过了！”","“是的。”我答：“爱恨是一样的东西，所以不要去执着及固执。”","“不要执着爱，不要固执爱，还算爱吗？”","我答："
"018 让让让让让","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=446&chapter_id=c018","上回写到了“眞爱是给他幸福”这句话时，内心其实有话要说，所以又写了<让让让让让>。","我说：","我们人的感情世界实在太复杂了，爱实在太复杂了，复杂到不可收拾及一片混乱。","","也有爱的暴冲：","一位高学历的学生。","爱上一个女老师。","但，女老师已有情人。","于是博士班的学生，持刀杀了女老师。","每刺一刀，喊一句：","“我爱妳！”","拚命喊“我爱妳”，喊到声泪倶下，共刺了数十刀。","唉！","","一位前夫要求与前妻复合。","二人谈判。","前妻坚持不肯复合。","前夫杀了前妻。","唉！","","一位妙龄女子爱上公司的同事。","但，这位同事已有意中人。","妙龄女子趁二人在场时，自动献身。","同事不从。","事后，妙龄女子告这位同事：","“性侵！”","唉！","","这些“恐怖情人”，确实很“恐怖”，爱不到，就杀了对方。","爱不到，就同归于尽；得不到的，谁也不让他得到。","这是爱吗？","我提出：","“爱就是给对方幸福！”","","例如：","你爱一个人，但，你爱的对方，有另外的意中人，而那位意中人的条件比你强，为了对方的幸福，你就应该：","“让让让让让”。","我是石头。","对方是金子。","我要“让让让让让”。","我是土。","对方是水泥。","我要“让让让让让”。","我是笨拙。","对方是智慧。","我要“让让让让让”。","","由于我的让，能让我所爱的人更幸福，这才是眞正的爱。","“爱”是给对方幸福。这是我的原则，所以我这一生很“淡定”。","不会有爱的暴冲！","“为什么你能够让？”","","我","我答：","“强中更有强中手，一山还有一山高，你不可能永远第一。”","“你能忍痛割爱吗？”","“这样的让，岂不是认输！”","“能！为了令爱的人更幸福！”","“赢与输、祸与福、吉与凶，经常互换。”","“你是什么意？”","我答："
"019 摩顶的“痛”","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=446&chapter_id=c019","台湾雷藏寺，每一场“护摩火供”之后，最后我会给信众“摩顶”。","我先观想与本尊合一。","然后伸出手，一一给信众摩顶，法流由我的手流出去，流到信众的身上。","","每次摩顶，我的心很“痛”：","那些奄奄一息的。","插管的。","坐轮椅而不能站立的。","我摩抚他她的头，摩抚他她的脚，想念我若是他她。","","将如何？","有盲者，要我摩他的眼。","有聋者，要我摩他的耳。","有哑者，要我摩他的喉。","有鼻病者，要我摩他的鼻。","中风者摩头。","甲状腺摩喉。","淋巴腺摩腋。","心臓病者摩心。","肺炎者。","肝。","胆。","肾。","胃。","肠。","肿瘤科的良性与恶性。","各种癌症。","各种疼痛。四肢肿痛、腹大如鼓、头痛、全身痛。","......。","","我一面摩顶，一面悲怆的含着泪水，一面强忍心中的痛，还要念着眞言咒，用愉悦的笑容去一一加持他她。","我知道：“病最苦！”","他她渴望我一伸手，他她能够痛苦解除，一切病痊愈。","我尽心尽力的做，我感同身受。","","我自己也有过病痛，曾经失眠经年，形容消痩，骨瘦如柴，一弯下腰，就仿佛要昏死过去，人如行尸走肉。","我也有长期咳嗽、咳到肺部震动，咳到肚子痛，上气接不了下气，气喘咳，咳到出血，咳到肺部发炎。","很多病，我有过，我知病苦，病苦是人生第一苦也。","","因此，我的摩顶，最主要是：","一、给人快乐。","二、拔除人的痛苦。","三、尽心尽力去做。","四、我你他平等平等。","","我有佛性。","你有佛性。","他有佛性。","我视众生是“佛”。","我对病苦众生生起了眞正的爱心，而不感觉到厌恶。","我问我自己：","“你这样做，有何价値？”","在","我答：","“只是能仁！不谈价値。”","","","","","",""
"020 卢胜彦是坏蛋？","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=446&chapter_id=c020","网路上，有一段时光，我说有一段时光的意思是说，我被很多人批判成为：","“坏蛋！”“大坏蛋！”“臭鸡蛋!”","谁是“大坏蛋”？","就是“卢胜彦”。","","我曾问我自己：","“你是坏人吗？”","我答：","“唉！我承认我自己不像是圣人，完美而无缺点。我已七十岁的老人了，缺点不算少，我像个坏人吗？我自己无法分析。”","","“那你是好人吗？”","我答：","“我不是样样都好，我只会写作、修法。其他也不是很好，但，我不害人，这样算不算是好人，我也不清楚。”","“你是好多坏少、坏多好少、不好不坏、非好非坏？”","我答：","“眞的分不清楚，不知道！”","","“对了！你当学生时，有没有考试作弊？”","我答：","“有。”","“作弊是坏的，你知道吗？”","我答：","“知道。但现在我已不作弊了，七十岁，不考试了！”","“你还有干别的坏事吗？”","我答：","“有。偷采别人的水果树。”","“你知道这是坏事吗？”","“知道。”","“你到底干了多少坏事？”","“无法数。”","","“那些批判你的人，都是好人吗？”","我答：","“有些人，我不认识。有些人，我认识。我认识他，那些人也不是圣人！”","“你认为他是敌人吗？至少已不是朋友！”","我答：","“我只认为他们是人。”","“是敌人吗？”","我答：","“我不认为他们是敌人，因为我的心目中并没有敌人了，我认为每一个人都有佛性，每一个人都是佛，我根本没有敌友之分。”","","“你讨厌那些骂你的人吗？”","我答：","“我修行之后，整个人变了，变得无所谓，赞我也好，骂我也好，我全部不理会，也没有什么讨厌不讨厌。”","“你不维护你的名誉了吗？”","我说：","“我学，苦、空、无常、无我、解脱。我自己已是无生，还有名誉吗？”","“人家打你？”","“不还手。”","“人家骂你？”","“不还口。”","“那些批评？”","在","我答：","“不在乎！坏蛋、大坏蛋、臭鸡蛋，哈哈！我就是。”","","","","","",""
"021 少将孙福生","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=446&chapter_id=c021","读测量学校大学部的三十二期同学朱金水先生，常常参加我主持的台湾雷藏寺的护摩火供。","朱金水同学是第一名毕业的。","","二〇一四年十二月六日。","我又有一位学长，三十期的孙福生，他毕业后一直留在军中，当到测量署的少将署长，孙学长也来参加我的法会。","孙福生少将署长，是我们最高阶的测量署长了。","那天，我特别高兴。","","在学校：","孙福生有圆圆的脸，经常挂着笑容。","个性温顺。","人缘很好。","事情很好商量。","我与朱金水同学，与孙福生学长同桌吃饭(法会后)。","","我说：","“我们都老了！”","孙福生说：","“我七十一岁。”","我说：","“我七十歳。”","孙福生说：","“你看起来不老！”","我笑了：","“大家都喜欢这么说，但，实际上是七旬老翁了。”","","我突然沉默了，我在想一个问题，我们当年在测量学校，都是二十岁的青年，如今，五十年都过去了。","同学中，洪积强、陈震华、曾渝敏、沈云海......都不见了。","不胜唏嘘。","我自己问自己：","“你会死吗？”","我答：","“每一个人都会死！”","“你害怕你会失去一切吗？眞佛宗、家、妻子、儿女、孙子、你的车子、你的财物？”","我答：","“没有人能带走一丝东西！”","“你最喜爱的?”","我答：","“最喜爱的，最不喜爱的，一样！”","“财、色、名？”","我答：","“一样！”","“你会觉得有遗憾吗？”","“没有。”","“你眞的看得很开了，是吗？”","“是的。”","","“是谁教你能看得很开呢？”","我答：","“是释迦牟尼佛及文殊师利菩萨。”","“佛陀及菩萨教你什么？”","我答：","我","“死就是梦醒！”","“你确认你会梦醒？”","我答：","","“我早就是梦醒者，我没死，但，已梦醒。”","","",""
"022 逛百货公司","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=446&chapter_id=c022","湾台中，有一家新盖的“大远东百货公司”，简称“大远百”。在“新光三越”的隔壁。","我们原本是去“大远百”十一楼的“鸟窝窝”餐馆吃饭。","晚餐吃完了。","","大家建议：","“时间还早，不如从十一楼散步到一楼，然后大家再回去？”","我说：“好啊！”","因为吃完饭，散散步，也是很好的运动。每一层楼我们都走，然后从手扶梯下到下面一层，大家一直走走看看。","","到了“电器部”，我想到“剃头刀”，剃头刀我尚有二具，所以没有买。","到了“表街”，手表金光闪闪，很多镶钻或镶水晶，新款的，美不胜收。但，我看看自己的表，我的表仍然是最好的，是“胜彦”牌的“劳力士”。","于是我走了过去！","","到了厨房用具部，那是妇女的玩具，我们只是看看，用不着。","走到男装部。","我们只穿喇嘛装。","走到女装部。","我们只是走过。","走到艺品部。","金、银、珠宝、琳琅满目，设计的精巧，令人眼花缭乱。我们欣赏。","","走到儿童馆。","我想到现代人“生育率”低，儿童愈来愈少了，这些货品怎么卖得出去！","走到寝具部。","我觉得寝具很重要，我们人类有一半的人生都在睡觉呢！","走到按摩椅部。","唉！我想到每天那么忙，哪有空闲的时间，坐在按摩椅上？","走在名牌部。","所有一切名牌展现在我眼前，这些名牌，对我没有吸引力！","","因为我走到哪里，大家眼光焦点都在我的身上。","光头。","喇嘛装。","龙袍。","这些是我的“名牌”。","我问我自己：","“你想买什么？”","我答：","“没有。”","“没有一件东西可以吸引你吗？”","我答：","“是的。”","“你想买豪宅吗？”","我答：","“出家人，处处是家。”","“在百货公司，无一物可买？”","“无一物可买。”","“你将来只想买什么？”","我问：","“有解脱可以买吗？有菩提可以买吗？”","","","台","","","","","","","",""
"023 色戒","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=446&chapter_id=c023","这个人，常常把心中的感情流露在颜面上，有时候，在法座上，很直率也很兴奋给表现了出来。","","写书也是；","《梦园小语》。","《给丽小札》。","(早期的)","《写给雨》。","《月河的流水》。","《对着月亮说话》。","《梦乡日记》。","(近期的)","","我甚至在法座上说：","“我最爱看美女。”","一个和尚喇嘛写书写成这样，在法座上讲成这样，总让人觉得怪怪的。","","有人问：","“你是不是太超过了，你是一个宗派的领导人，也算是一个名人，不是吗？”","我抿嘴笑：","“有什么不对吗？”","那人说:","“总之，从来就没有人，敢这么写，敢这么说，就只有你敢！”","我说：","“我是直率人，讲直率话！”","我反问：","“不好吗？”","那人说：","“不，没有什么不好，但......。”","他说：","“近期被跟拍而出事的名人很多！”","“是谁？”","“阿基师。还有九把刀。还有王建民。最早还有林清玄。更有璩美凤。”","“唔！”","他说：","“哎，到时候的情况，摆明应该是这样......。”","“怎么样？”","“喧哗的声音没完没了！”","“有什么影响呢？”","“诚信。”","","我与我自己聊天：","“你莲生活佛卢胜彦算不算是一个名人？”","我答：","“一点点吧!。”","“你是色狼吗？”","我答：","“我会控制自己，所以不是。”","“你会情不自禁吗？”","我答：","“我会自我控制，我说，我理智很强。”","“你的女弟子对你很热情，你怎么办？”","我答：","我","“那只是一时，淡淡的，淡淡的，就度过去了。最多只是笑一笑。”","“恕冒昧，自动献身呢？”","“不会有这个机缘吧！我的周边都是侍者。”","我答：","“如果有机缘？”","“只好用白骨观了！”(把对方看成白骨一具)","",""
