"chaptername","chaptername href","chapterbody","chapterbody 2","chapterbody 3","chapterbody 4","chapterbody 5","chapterbody 6","chapterbody 7","chapterbody 8","chapterbody 9","chapterbody 10","chapterbody 11","chapterbody 12","chapterbody 13","chapterbody 14","chapterbody 15","chapterbody 16","chapterbody 17","chapterbody 18","chapterbody 19","chapterbody 20","chapterbody 21","chapterbody 22","chapterbody 23","chapterbody 24","chapterbody 25","chapterbody 26","chapterbody 27","chapterbody 28","chapterbody 29","chapterbody 30","chapterbody 31","chapterbody 32","chapterbody 33","chapterbody 34","chapterbody 35","chapterbody 36","chapterbody 37","chapterbody 38","chapterbody 39","chapterbody 40","chapterbody 41","chapterbody 42","chapterbody 43","chapterbody 44","chapterbody 45","chapterbody 46","chapterbody 47","chapterbody 48","chapterbody 49","chapterbody 50","chapterbody 51","chapterbody 52","chapterbody 53","chapterbody 54","chapterbody 55","firstcharacter","chapterbody 56","chapterbody 57","chapterbody 58","chapterbody 59","chapterbody 60","chapterbody 61","chapterbody 65","chapterbody 66"
"014 Invocation, Visualization and Mudra","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000194&chapter_id=c014","would like to tell a joke first:","","A man said, “My wife insists on meditation before going to bed, it really bothers me!”","His friend asked, “Does she speak during meditation?”","The man replied, “No! She sits less than three minutes, and starts snoring like thunder!”","","Here is another joke:","A woman said to her husband, “A moment ago, that beggar we saw around the corner looked awful, was he sick?”","Her husband replied, “No, it was because you only threw a dollar to him!”","(Hahaha!)","","The reason I mentioned these two jokes is mainly because they relate to the main topic.","There are key points in practicing invocation, visualization, mantra recitation, and mudra formation of one’s personal deity. The novice practitioners must pay attention to them.","","Let’s begin with the three-stage visualization.","One first empties the mind. Visualize a moon disc appearing. Inside the moon disc is a seed syllable. The seed syllable emits light and the personal deity appears.","","The key to invoke one’s personal deity explained with the following examples:","","If one is to invoke Avalokitesvara, one visualizes her celestial garments floating and fluttering in the air. When focusing more deeply, one visualizes her jade-pearl necklace and bracelets slightly moving. These are the key points.","If one is to invoke Manjushri Bodhisattva, one visualizes the sword in his hand, moving and swinging.","If one is to invoke Vajrapani Bodhisattva or other Dharma protectors, one visualizes lightning bolts and the sound of thunder, “Hum Hum.”","These are the key points.","","In terms of reciting mantras:","For purification – use a soft sound. (Compassionate)","For enhancement - use an eager sound. (Powerful and urgent)","For subjugation - use a stern sound. (Roaring)","For harmonization - use a happy sound. (Joyful)","","In terms of forming the mudras:","For purification – softly hold the mudra.","For enhancement – firmly hold the mudra.","For subjugation – swing the mudra.","For harmonization – gently rub the mudra.","The mudra is and needs to touch the heart of the personal deity. There are other secret keys that I will not discuss here, because there are too many personal deities that are unable to list all.","","In terms of colors:","White - for purification.","Yellow - for enhancement.","Blue - for subjugation.","Red - for harmonization.","","These keys are applied widely and with versatility to the “form yoga” within the Action and Performance Tantras.","However, they are applied less in the Yoga Tantra and Highest Yoga Tantra, mainly because the tantras are the “formless yoga.”","For example, if reciting mantra before entering samadhi, one will recite the mantra silently. One then visualizes a seed syllable appearing in the fire of one’s body and mind and emitting light. In silence, one enters the samadhi.","","I think Vajrayana is very vibrant. For example, there are four analogies used in “merging of self and deity,” in which the personal deity enters into the heart of the practitioner. The four tantras also employ such analogies.","","Looking at each other – the practitioner and the personal deity look at each other.","Smiling - the practitioner and the personal deity like each other.","Embracing - the practitioner and the personal deity become intimate with each other.","","No need to be shocked and mortified.","","I","Unifying – Two sexual organs unite.","The appearance of a father-mother buddha in Vajrayana is simply to symbolize the unification of expediency and wisdom. It is a phenomenon of spiritual union and two merging into one, a representation of perfection.","This is a nexus of the worldly and supramundane.","","","Sheng-yen Lu","●","The fruition of Buddhahood is equal, deep, permanent, unique, wonderful, pure, bright, and with perfect enjoyment."
"015 Illusion within the Illusion","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000194&chapter_id=c015","et me tell you two jokes first:","","A woman asked, “Your boyfriend is great! He is tall, handsome, and also an authoritative cardiologist. How can you break up with him?”","Her friend replied, “What’s the use, he never listens to my heartfelt wishes!”","Hahaha!","","In addition:","A woman listened to her friend explaining the process of her getting ill. The friend explained the illness in great detail, and was most serious.","However, while listening at great length, the woman dozed off.","Suddenly she woke up and asked her friend, “So did you die?”","Hahaha!","There are illusions in both jokes.","","Many people are curious about the illusory body in Vajrayana. What actually is the illusory body?","","Many people have asked me, “What is the illusory body?”","","“The illusory body is unreal.” I replied.","However, everyone will understand the illusory body clearly when we use the term “soul” in ordinary people’s language.","","The soul is essentially the “bardo.”","However, the souls have different levels:","Ghosts. (Lesser power)","Gods. (Greater power)","Nature spirits. (Ability to change)","Buddhas. (Perfection)","And many more.","","In Vajrayana practice, a practitioner must cultivate until the illusory body appears before one dies.","","Sometimes there can be more than one illusory body. When one has many illusory bodies, it is known as the “illusory bodies emanated beyond the flesh.”","","I personally believe that the best method to cultivate the illusory body is to practice the “Mirror Gazing Yoga.”","I have discussed the “Mirror Gazing Yoga” in detail before, and will not repeat it again. The key points are:","The practitioner,","The personal deity, and","The reflection of the practitioner in the mirror","(All three merge into one)","","The illusory body is born in the illusion within the illusion. This illusory body is the finest body within a practitioner’s own body. The illusory body is the emanation of one’s mind power, which is also known as the “mind-made body,” or the “spiritual body.”","","I will share a secret. To achieve the fruition of Buddhahood, two elements must combine:","First, the illusory body.","Second, the pure light.","The fruition of Buddhahood is equal, deep, permanent, unique, wonderful, pure, bright, and with perfect enjoyment.","This is also the supreme Buddha-nature.","","I would like everyone to pay attention to the Six Yogas of Naropa. One can refer to the Illusory Body Yoga and Clear Light Yoga in the six yogas. However, I believe that the best way to achieve the illusory body is through practicing the Mirror Gazing Yoga.","","My illusory bodies are the emanations beyond the flesh. The trillions of emanation bodies manifested by the Buddha as cited in Buddhist sutras are equal to trillions of illusory bodies. I remember after my divine eye was opened by the Golden Mother of the Jade Pond, my illusory body appeared. My illusory body viewed my own past lives, and travelled to the twenty-eight heavens and through the Six Paths of Existence. This is the journey of my illusory body.","If one wants to see one’s own illusory body, one must successfully cultivate the Mirror Gazing Yoga. Only then, can one see the illusory body in meditation.","","","","","L","●","As to whether in the future I will be able to become a buddha, bodhisattva, arhat, heruka, dharma protector, daka, dakini, or celestial deity, I will completely ignore and not think about the outcome.","Sheng-yen Lu","","","","",""
"016 ""Nothing Matters"" Is the Key Point","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000194&chapter_id=c016","et me tell you a joke first!","A newly wed tenderly contemplated sending a romantic text message to her husband who was on a business trip, so she texted to her husband:","If you’re sleeping, send me your beautiful dream.","If you’re laughing, send me your smile.","If you’re eating, send me a small piece.","If you’re drinking wine, send me its bouquet.","If you’re crying, send me your tears.","I love everything about you!","","The husband replied very quickly:","I am sitting on the toilet right at this moment, what may I send to you?","I’ll send you...","(Hahaha!)","","I personally think that this gentleman does not understand humor. If it was me, I would have replied like this:","I’ll send you gold.","I’ll send you an egg roll.","I’ll send you some ice cream.","I’ll send you the pleasure of being relieved.","(Hahaha!)","","Honestly, I would like to tell you, the greatest key of cultivation is “Nothing Matters.”","“Nothing Matters” is close to “Tao.”","One must maintain a mind of “Nothing Matters,” enjoying the feeling of “emptiness” and “brightness.”","“Nothing Matters” is not being a fool.","“Nothing Matters” is not being an idiot.","“Nothing Matters” is not being a blockhead.","“Nothing Matters” is not being a vegetable.","“Nothing Matters” is not being unconscious.","Nothing Matters means one must maintain a clear mind at every moment, but also abide in the state of “void and tranquility” at the same time.","","In short:","One reacts agilely, is happy and unhindered, and does not care about consequences.","","For example:","I do my routine dharma practice each day, and practice “Analytical Meditation” steadfastly.","As to whether in the future I will be able to become a buddha, bodhisattva, arhat, heruka, dharma protector, daka, dakini, or celestial deity, I will completely “ignore and not think about the outcome.”","","Others may insult you, ignore them.","Others may slander you, ignore them.","Others may frame you, ignore them.","Others may compliment you, ignore them.","Others may praise you, ignore them.","Others may award you, ignore them.","","I just continue on with my own “Analytical Meditation.”","Favorable circumstances, ignore them.","Adverse circumstances, ignore them.","There is neither inside nor outside; there is no north, south, east nor west; there is no true nor false; there is no reincarnation nor nirvana; there is no before nor after; there is no right nor wrong; there is no differentiation.","This is: adapting to what comes naturally, then marvelous effects appear.","","I pay no attention to the number of disciples whether it is none, one hundred, ten thousand, or hundreds of millions. Neither do I care whether the disciples come or go.","Hahaha!","This is namely the “Brightness and Emptiness” in the key of Great Perfection. Because of the “Brightness and Emptiness,” “Nothing Matters.”","●","L","Hehehe!","I completely ignore everything.","","Without the teaching by a qualified master, I believe that practicing Vajrayana Buddhism will not be easy.","Sheng-yen Lu","","",""
"017 The Fundamental Template of Vajrayana Cultivation","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000194&chapter_id=c017","typical Vajrayana sadhana contains the following steps:","","1. Respectfully pay homage.","2. Make offerings.","3. Chant the Fourfold Refuge Mantra.","4. Make repentance for one’s sins.","5. Inspire to follow the Four Immeasurable Vows (Immeasurable Loving-kindness, Immeasurable Compassion, Immeasurable Joy, and Immeasurable Equanimity).","6. Beseech all buddhas to turn the dharma wheel.","7. Request the buddhas to remain in the saha world and not enter into nirvana.","8. Visualize emptiness.","9. Visualize the principal deity.","10. Recite the principal deity’s mantra.","11. Enter samadhi.","12. Recite verses of praise.","13. Ddedication.","14. Chant the Hundred Syllable Mantra (mending all faults).","","Steps one to seven of the typical sadhana are known as the “preliminary practices;” steps eight to eleven are called “the main practices;” steps twelve to fourteen are known as “the concluding practices.” This is a complete cultivation sadhana.","In general, lamas use this set of sadhanas for their daily cultivation.","In addition, it can be utilized for a blessing or bardo deliverance ceremony. (Recitation of sutras may be added.)","The sadhana can also be used for consecration and circumambulation of pagodas and temples. Many yogis secluded in mountain caves also practice with such rituals every day.","","As for the higher level practices of cultivating qi, channels and light drops, or specializing in Inner Fire Yoga, the same sadhana can be used for petitioning:","Blessings from one’s guru;","Blessings from one’s principal deity;","Support from one’s dharma protectors.","Of course, rituals are created by humans, so naturally one can recite additional sutras or mantras that one likes. If you are travelling by boat, aircraft or vehicle, of course, it is okay to only carry out “the main practices.” All of these depend on the conditions and circumstances.","","The four tantras requires one to learn the formal sadhana practices, such as setting up the altar (mandala), the skills to produce “offerings.”","The Action Tantra sadhana,","The Performance Tantra sadhana,","The Yoga sadhana, and","The Highest Yoga Tantra sadhana.","In addition, the various principal deities all have their own different practices. Although the essentials of the practices are similar, there are some different features. One must pay attention to the differences, in order to differentiate each practice.","","The practice of Guhyasamaja, Cakrasamvara, Hevajra, Yamantaka, Mahottara Heruka, Kalachakra, and others are not all identical.","There are similarities and differences. One must learn the subtle and profound characteristics of each practice.","","No matter what sadhanas, the practitioner must have faith and a premise, which is inseparable from the “Three Principal Aspects of the Path” of Je Tsongkhapa:","1. Supra-mundane-mind;","2. Bodhicitta;","3. The Middle Way.","","Although I have written so much today, each step of the sadhanas in fact has its own key. These numerous keys are all accumulated from my past experience. Without the teaching by a qualified master, I believe that practicing Vajrayana Buddhism will not be easy.","","I would like to tell a joke:","Not drinking any alcohol is the choice of a temperate person.","Drinking only a little is the mark of a gentleman.","Seeing alcohol and drinking impulsively is the path of an idiot.","Getting drunk every time one drinks is the way of a madman.","Driving drunk must be the son of Lord Yama.","Hahaha!","","","","A","The knowledge regarding the word “alcohol” is quite profound!","●","To train one’s ability to concentrate and subdue one’s own arrogance are the most important.","","","","Sheng-yen Lu",""
"018 Benefits of Performing the Great Homage","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000194&chapter_id=c018","disciple asked me, “What are the benefits for the Tibetans who pay homage every three steps starting from their hometowns to the Jokhang and Ramoche Temples in Lhasa?”","","I replied: The homage that the Tibetans perform every three steps is a full prostration, which is different from kneel and bow in the middle kingdom.","The former throws oneself flat on the ground face downward. (Full-body worship) The latter kneels and touches the ground with the forehead. (Half-body worship)","The great homage of Tibetan Vajrayana Buddhism belongs to the former.","Most Tibetans perform the great homage while circumambulating and worshipping temples, pagodas, holy mountains, and holy lakes.","","The benefits are:","To strengthen one’s determination and perseverance for cultivation.","To accumulate provisions for cultivation.","To appreciate the value of being a human being.","To exercise one’s physical body.","To sever evil deeds and carry out good deeds.","To train one’s ability to concentrate.","To subdue one’s own arrogance.","To form an affinity with buddhas.","And many more.","","The disciple asked: “Wow, I have never thought of so many benefits! Grand Master Lu, which do you think are the most important?”","","I thought for a moment and answered:","To train one’s ability to concentrate and subdue one’s own arrogance are the most important.","The reason is that when performing great homage, one concentrates on the head, hands, feet, and the whole body. Since every part of one’s body works simultaneously, it is not easy for one to generate improper thoughts. Without improper thoughts one focuses wholeheartedly.","","In addition, full prostration places a practitioner in a humble position. With the sky above one’s head and the ground below one’s face, the posture shows the most respect and one’s arrogance will disappear.","","The main purpose for practitioners in cultivating their minds is to eliminate their thoughts of greed, hate, stupidity, doubt, and arrogance.","If arrogant thoughts are not eliminated, pride will arise. We know that pride will lead one to the Path of Asuras, and the desire for competition and fighting. Fighting and competition can unconsciously turn one to evil.","","The disciple asked: “Are there key points in paying great homage?”","I replied: The following is my personal experience.","While paying great homage, I chant: “Homage to 36 Trillion, 119 Thousand and 500 Buddhas by the same name and identification of Amitabha.”","","In my mind, I visualize that trillions of emanation bodies of Amitabha Buddhas appear in the space before my eyes.","Performing a single prostration in such a manner is equal to chanting countless buddha epithets and simultaneously worshipping countless Amitabha Buddhas.","As a result, one will accumulate endless provisions and merits.","","I would like to tell a joke:","A woman said to her husband, “We have been married for years. However, you have never say anything nice about me but only mention my shortcomings. You should mention some of my good attributes!”","Her husband replied: “Except for all the shortcomings, the rest is all good!”","The wife said: “Then say it! What good attributes do I have?”","The husband replied: “Oh, there’s nothing to say!”","","I mean to say:","A practitioner should perform more great homage, and talk less boring nonsense.","","●","","Tremendous motivation leads to tremendous merit.","","Sheng-yen Lu","","","","","A","","","","","","","",""
"019 The Secret of Changing from One Offering to Many","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000194&chapter_id=c019","n Vajrayana practice, there are several kinds of achievements.","In summary, there are three major achievements:","First, mantra chanting accomplishment.","Second, homa accomplishment.","Third, samadhi accomplishment.","","The first achievement is to chant mantras until the appearance of a great pure light.","The second achievement is to practice fire offerings until perfect completion of blessedness and virtue is achieved.","The third achievement is the great achievement of awakening the mind and seeing the Buddha-nature in samadhi.","","Some people say: “In cultivation of Vajrayana Buddhism, it is all about making offerings, because the offering dharma is of primary importance.”","","There is a Great Mandala Offering in Vajrayana Buddhism. I think this offering practice condenses the universe into a mandala with magnificent offerings placed on the mandala.","The mandala has multiple layers:","The dharma wheel is erected at the top – a symbol of the highest light achievement of the universe.","Offerings are placed in the middle – these include gold, silver, jewelry, medicinal herbs, and rice.","At the bottom of the mandala – are stones and sand.","The Tibetan Vajrayana Buddhism sadhana for The Great Mandala Offering is complicated. (One should consult a vajra master for the details.)","There are also thirty-seven offerings,","Eight offerings in front of the holy shrine,","Five mounds of offerings,","Rice offering,","Water offering,","Fire offering,","And many more.","","A disciple asked me: “What is the purpose of offering?”","I replied: “It is to accumulate provisions for blessings, virtue and wisdom.”","","The disciple asked: “What’s the key point?”","I replied: “The key point is effort. One who provides strenuous efforts makes the best offering. Therefore, the merit of offering does not originate from the seven precious objects and eight treasures, but from the heart of oneself. Tremendous motivation leads to tremendous merit.”","","I have told my disciples that my experience is the following:","The Great Mandala Offering that I practice is “the body, speech, and mind are offered to the buddhas, bodhisattvas, vajra protectors, dakas and dakinis, all the devas, and beings in the Six Paths…….”","","Pure offering of body.","Mantra offering through speech.","Visualized offering within the mind.","As for offering food, one should offer all the foods before eating them. One should transform the foods into an expanse of offerings through one’s mind power.","","As for offering clothing, one should transform one’s clothes into an expanse of offerings using one’s mind power.","As for offering one’s home, one should transform one’s house, items, bedding, and everything into an expanse of offerings.","As for offering one’s transportation, one should transform one’s car and all means of transportation into an expanse of offerings.","Whenever one experiences pleasure, one should transform the happiness into an expanse of offerings.","One should transform jewelry, all the seven precious objects and eight treasures, into an expanse of offerings.","And so on and so forth… etc.","","Honestly, I would like to tell all the disciples that one should transform everything, all one’s behaviors, practices, and daily life activities, into an expanse of offerings, by transforming each and every one from one to many.","(This is the key)","","I say:","In the future, if I reincarnate as a man, I will still be number one in the world:","I’ll transform a little food into endless delicious foods.","I’ll transform a beautiful woman into celestial maidens of the ten directions and three times.","I have become a buddha.","I","I’ll transform a piece of gold into a gold mountain.","I’ll transform a piece of land into the whole planet earth.","I’ll transform my single mind into numerous transformations. (Expansive bodhicitta aspirations)","●","Persons of high scope take refuge to save sentient beings from the sea of suffering and effect universal deliverance.","","",""
"020 Opening the Door of Wisdom","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000194&chapter_id=c020","he lives of modern people share a similar pattern. Don’t you agree? Everyone’s life is almost the same from birth to death.","","Birth.","Infant stage.","Student stage.","Career stage.","Marriage stage.","Parenting stage.","Aging stage.","Death.","","I often mention this:","One year old - making debuts.","Ten years old - preoccupied in school studies.","Twenty years old - Love is in the air.","Thirty years old - building careers.","Forty years old - getting stouter.","Fifty years old - geriatric prime.","Sixty years old - rising blood pressure.","Seventy years old - occasionally forgetful.","Eighty years old - swaying.","Ninety years old – losing direction.","A hundred years old - portrait on the wall.","There is not much difference for everyone; therefore, what does life mean to you?","","I believe:","""Only by practicing Buddhism can we be liberated from all the afflictions in life. The Buddhadharma is the key to opening the door of wisdom. In order to end the cycle of reincarnation, to achieve nirvana, and to become an enlightened person, one must cultivate.”","","At the beginning of cultivation, one must first take refuge with a guru, the buddha, dharma, and sangha.","Persons of modest scope take refuge because they fear the pains associated with the animal realm, hungry ghost realm, and hell realm. They seek the comforts in the human world and the heavens.","Persons of medium scope take refuge aiming to stop the cycle of reincarnation and enter nirvana.","Persons of high scope take refuge to save sentient beings from the sea of suffering and effect universal deliverance.","","In terms of growing faith in taking refuge:","Some people read my books and listened to my dharma discourses.","Some experienced spiritual responses, and their pains released by my blessings.","Some witnessed others who received spiritual responses.","","I personally feel that many people have the initial resolve to seek enlightenment, but they don’t have the spiritual perseverance, which is a common problem amongst human beings. If people do not have strong faith and a firm belief, most will give up halfway. People’s minds often change, because the mind is impermanent. I often say people’s minds are like water, flowing from one place to another. They take refuge with one master at one moment and with another at the next moment. They have faith in Buddhism at one moment, and then don’t in the next moment. This is after all normal behavior, and not unexpected.","","Therefore, there are rules in Vajrayana teachings:","One must recite over a hundred thousand times the Fourfold Refuge Mantra:","Namo Guru bei. (Take refuge in the guru)","Namo Buddha ye. (Take refuge in the buddha)","Namo Dharma ye. (Take refuge in the dharma)","Namo Sangha ye. (Take refuge in the sangha)","My taking refuge was triggered by the Golden Mother of the Jade Pond opening my divine eye. I saw the White Maha Padmakumara as my former life and his pure land, the Maha Twin Lotus Ponds. From that moment, I started to wholeheartedly study Buddhism, study the Buddhadharma, and behave virtuously.","","The reasons that my faith has never wavered are:","1. I have truly “seen.”","2. I have spiritual responses.","3. I have dharma power.","5. I have awakened the mind and seen the Buddha-nature.","When in the future, my holy disciples reach the same attainments by firmly believing that Living Buddha Lian-sheng, Sheng-yen Lu has indeed achieved the six abilities mentioned above and continuously practice the True Buddha Tantric Dharma, they will naturally never lose the faith. These are holy disciples truly with long lasting bodhicitta.","","T","4. I am able to save sentient beings.","6. I have attained Buddhahood.","In order to save sentient beings, it is necessary for me to let disciples have spiritual responses, so that they will have strong faith.","Wise disciples should be able to see my tireless efforts and achievements.","","","The key point for disciples never giving up occurs when they have spiritual responses which induce faith.","If not, then continue to be like water flowing aimlessly, or get lost."
"021 Reciting the Vajrasattva Mantra","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000194&chapter_id=c021","often teach people to recite the Vajrasattva Mantra:","","The short form is: Om, be-dza, sah-do, ah, hum, pei.","The long form is the Hundred Syllable Mantra.","We know that the Primordial Buddha is the highest, the Five Dhyani Buddhas are below him, and finally there is Vajrasattva.","Therefore, Vajrasattva is the dharma prince of the Five Dhyani Buddhas.","Vajrayana Buddhism considers Vajrasattva as the founder.","","The Vajrasattva Mantra has two major significances:","1. Emptiness.","2. Brightness and emptiness.","Chanting the Hundred Syllable Mantra is the great dharma of repentance.","","Why should one repent?","One should repent because sentient beings give rise to thoughts that manifest nothing but negative karma.","In addition, each person, in the present or countless past lives, has accumulated a great deal of negative karma. If one does not repent, the negative karma will become obstacles, which will prevent one from having achievements in their spiritual practice. Consequently, one will fall into the three evil paths.","This is the main reason for us to practice the dharma of repentance.","","First, one should visualize that there is a white lotus flower with a thousand petals above one’s crown chakra. On the white lotus is Vajrasattva in a father-mother form.","In the heart chakra of Vajrasattva, there is a Hum () syllable surrounded by the Hundred Syllable Mantra.","While reciting the Hundred Syllable Mantra, the practitioner visualizes the syllables transforming into a white nectar. The white nectar continuously flows into the practitioner’s body through the crown chakra. As a result, all diseases within the body transform into black blood, all harmful obstructions transform into poisonous insects, and all negative karma transforms into black smoke.","The black blood, poisonous insects and black smoke are discharged from the skin pores, the anus and the soles of the feet.","The practitioner is purified and perfect. One then recites the Hundred Syllable Mantra for 7 times, 21 times, or 108 times. The more the better.","Finally, one recites the Repentance Verse.","","I personally feel that the key for practicing repentance is:","“To repent sincerely.”","Repentance is not a formality, nor a ritual, but a practice one must perform wholeheartedly.","A sage once said, “All sins originate from the heart, so one should repent from the heart.”","","Vajrasattva made the following vow:","“If sentient beings commit the five cardinal sins, and have broken the Samaya Pledge, as long as they hear my epithet, have faith in me, and recite the king of mantras, which is the Hundred Syllable Mantra, then all hindrances will be cleared.”","","I believe that the Vajrasattva practice is the number one repentance dharma.","","Finally, I would like to tell everyone these important key points:","If one’s karmic hindrances have been eliminated by practicing repentance, auspicious signs must manifest. The auspicious signs can manifest as the following:","Dreams of eating a white substance and spitting out a black substance.","Dreams of expelling black blood and filth through the anus.","Dreams of poisonous insects crawling out from the skin pores.","Dreams of black smoke emitting from the body, or from the soles of the feet.","One sees that their body is transparent, radiating pure light.","One is standing on a lotus or riding upon a heavenly horse.","One is flying in the empty sky.","Dreams of Vajrasattva or one’s personal deity placing their palm upon one’s head.","Receiving a prediction from one’s personal deity...","These are the auspicious signs from practicing the repentance dharma.","","I would like to tell a joke:","A family was about to leave on a trip.","The wife was slowly choosing outfits to wear.","The husband was impatiently shouting, “Hurry up, stop putting off anymore!”","","●","Equanimity is the basis of developing bodhicitta, which is a heart with equality and without discrimination.","I","Their son interrupted, “Dad, Mother is putting on clothes, not putting off.”","Hahaha! Repentance should not be delayed!","","Sheng-yen Lu","","","",""
"022 The Pure Heart of Bodhicitta","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000194&chapter_id=c022","et me begin with a joke:","In order to test the loving compassion of a pupil, a teacher posed a question to the student, “What would you do if you are on a bus and see an old lady standing in front of you and is having difficulty moving?”","The student answered, “Old lady, you are already so old. No need to save any more money. Go take a taxi!”","(Hahaha!)","","I often tell this story:","A profession robber attempted to steal from a village.","Upon entering the village, he noticed a baby who had just learned how to crawl was dangerously close to the edge of a well. The baby was only a step from falling into the well.","Instinctively, he stepped forward, picked up and placed the infant in a safe area.","Afterwards, the robber continued to the village to carry out the robbery.","","My comment is that:","Even a robber has compassion.","","As spiritual practitioners, we of course should develop the bodhicitta which includes the so-called Aspiration Bodhicitta, Action Bodhicitta, and Absolute Bodhicitta.","","We often say:","To give people happiness – benevolence.","To remove people’s sufferings - compassion.","To fulfill one’s vows happily - joy.","To give equally without discrimination - equanimity.","I understand that the focus of a bodhisattva is on equanimity, which is the key point.","“Benevolence without specificity and great compassion based on sameness in essence” is not a hackneyed phrase, but means equanimity.","","We are aware:","The human body leads to suffering.","The human world is a burning house.","Human beings are all so pitiful, especially those who are your enemies and those who hate you. They do not understand, have muddled thoughts, and are not awakened. Those who have resentment and hatred are even more pitiful.","You have to save them.","","This is equanimity.","Equanimity is the basis of developing bodhicitta, which is a heart with equality and without discrimination.","","Think of others without considering oneself.","This is called being a bodhisattva.","The key point of Aspiration Bodhicitta is - to “exchange oneself with others.”","The key point of Action Bodhicitta is - the “wisdom of equality.”","The key point of Absolute Bodhicitta is - “emptiness.”","","There are three ways to develop bodhicitta:","King-like bodhicitta – one achieves Buddhahood first, then helps others to achieve it.","Boatman-like bodhicitta – one reaches Buddhahood with other sentient beings.","Shepherd-like bodhicitta – one helps others to achieve Buddhahood before one achieves it.","","In this life I, Living Buddha Lian-sheng, Sheng-yen Lu, descended to the saha world to save sentient beings. The main purpose is to play a role in a drama of saving sentient beings that includes:","Donating wealth - to the Sheng-Yen Lu Foundation.","Teaching Buddhadharma – through numerous dharma disseminations and empowerments.","Bestowing fearlessness – to help others cross to the other shore together.","Five precepts - to prevent misconduct.","Ten Wholesome Actions – to benefit sentient beings.","Patience – others and one-self are equal.","Perseverance – laziness and lethargy must be abandoned.","Wisdom – listening, contemplating and cultivating Buddhadharma to cross to the other shore.","This is a drama of saving sentient beings. When the drama is over, it will be time for me to leave!","Hahaha!","L","Meditative – being detached to everything.","","","●","The Buddhadharma benefits both human and celestial realms, therefore producing the greatest merits and field of blessings.","","",""
"023 What Merits the Greatest Field of Blessings?","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000194&chapter_id=c023","recall a joke that goes like this:","","A student said to a math teacher, “My father would like to listen to your lecture. Is it okay?”","The math teacher replied, “Certainly, is he interested in math?”","The student answered, “No! My father thinks that sleeping is the greatest blessing!”","The math teacher asked, “What does sleeping have to do with mathematics?”","The student answered, “My father is a chronic insomniac. All treatments have been useless. After hearing how I can easily fall asleep in your math class, he wants to come and try!”","Hahaha!","The greatest field of blessings is sleep!","","What bears the greatest field of blessings for practitioners?","I believe it is:","To pray for buddhas to remain in the saha world.","To pray for buddhas to turn the dharma wheel.","This yields the greatest field of blessings.","Some people think that giving produces the greatest field of blessings. This is also correct, as one can receive the karmic merits of the Heavens through giving.","Some people think that providing offerings to the Sangha will produce the greatest field of blessings. This is also correct, as providing offerings to the Sangha, one will gather a great field of blessings, and easily receive the blessings of buddhas and bodhisattvas.","Some people think that taking care of sick people will produce the greatest field of blessings. This is also correct, as sickness is the most painful thing. If one can remove the sufferings of patients, the virtues and merits are naturally great.","","However, for one to truly earn the greatest field of blessings is:","To pray for buddhas to remain in the saha world.","To pray for buddhas to turn the dharma wheel.","This occurs because only by so doing, the Buddhadharma will exist in the saha world.","Buddhadharma benefits both human and celestial realms, therefore producing the greatest merits and field of blessings.","If there is no Buddhadharma, what is the field of blessings?","","I remember that:","When Shakyamuni Buddha was about to enter nirvana, there was a layman named Cunda who prayed for the Buddha to remain in the saha world.","The Buddha delayed his entering into nirvana for three months and discoursed one more significant sutra.","","Moreover:","Immediately after achieving enlightenment under the bodhi tree for forty-nine days, Shakyamuni Buddha only wanted to liberate himself into nirvana without teaching the Buddhadharma or saving sentient beings.","Then, Maha Brahma and Indra descended.","They offered the Buddha a right spiral conch and a golden wheel.","They beseeched the Buddha to expound the dharma.","The Buddha then spoke the dharma and turned the dharma wheel.","In this way, Buddhism was able to spread throughout the world.","This really merits the greatest field of blessings!","","Which one is greater, a worldly field of blessings or a supramundane field of blessings?","My key on the field of blessings is:","To pray for buddhas to remain in the saha world.","To pray for buddhas to turn the dharma wheel.","This is the greatest key for the perfect accomplishment of provisions.","","I composed two verses:","Field of blessings, field of blessings","Chased by everyone diligently","Accumulation of gold, silver and treasures","None can be carried away from the world","","Additionally...","Is not as good as having karmic affinity with a buddha","This is the true key for the greatest field of blessings!","●","I","Field of blessings, field of blessings","Pray for buddhas to turn the dharma wheel Merits will manifest before one’s eyes","","In a condition free of any state whatsoever, there is no need to explain anything.","Sheng-yen Lu","","",""
